round,round 1,circuit,date,pole position,fastest lap,winning rider,country,winning team,report
5,R1,Monza,11 May,Troy Bayliss,Noriyuki Haga,Max Neukirchner,Italy,Alstare Suzuki,Report
5,R2,Monza,11 May,Troy Bayliss,Noriyuki Haga,Noriyuki Haga,Italy,Yamaha Motor Italia,Report
6,R1,Miller Motorsports Park,1 June,Carlos Checa,Carlos Checa,Carlos Checa,United States,Ten Kate Honda,Report
6,R2,Miller Motorsports Park,1 June,Carlos Checa,Carlos Checa,Carlos Checa,United States,Ten Kate Honda,Report
7,R1,Nurburgring,15 June,Max Neukirchner,Troy Bayliss,Noriyuki Haga,Germany,Yamaha Motor Italia,Report
7,R2,Nurburgring,15 June,Max Neukirchner,Noriyuki Haga,Noriyuki Haga,Germany,Yamaha Motor Italia,Report
8,R1,Misano Adriatico,29 June,Troy Corser,Jakub Smrž,Max Neukirchner,San Marino,Alstare Suzuki,Report
8,R2,Misano Adriatico,29 June,Troy Corser,Troy Corser,Ruben Xaus,San Marino,Sterilgarda Go Eleven,Report
9,R1,Brno,20 July,Troy Bayliss,Troy Bayliss,Troy Bayliss,Czech Republic,Xerox Ducati,Report
9,R2,Brno,20 July,Troy Bayliss,Michel Fabrizio,Troy Bayliss,Czech Republic,Xerox Ducati,Report
10,R1,Brands Hatch,3 August,Troy Bayliss,Ryuichi Kiyonari,Ryuichi Kiyonari,Great Britain,Ten Kate Honda,Report
10,R2,Brands Hatch,3 August,Troy Bayliss,Michel Fabrizio,Ryuichi Kiyonari,Great Britain,Ten Kate Honda,Report
11,R1,Donington Park,7 September,Troy Bayliss,Troy Bayliss,Troy Bayliss,Europe,Xerox Ducati,Report
11,R2,Donington Park,7 September,Troy Bayliss,James Ellison,Ryuichi Kiyonari,Europe,Ten Kate Honda,Report
12,R1,Vallelunga,21 September,Troy Bayliss,Carlos Checa,Noriyuki Haga,Italy,Yamaha Motor Italia,Report
12,R2,Vallelunga,21 September,Troy Bayliss,Troy Corser,Noriyuki Haga,Italy,Yamaha Motor Italia,Report
13,R1,Magny-Cours,5 October,Noriyuki Haga,Carlos Checa,Noriyuki Haga,France,Yamaha Motor Italia,Report
13,R2,Magny-Cours,5 October,Noriyuki Haga,Troy Bayliss,Troy Bayliss,France,Xerox Ducati,Report
14,R1,Portimão,2 November,Troy Bayliss,Troy Bayliss,Troy Bayliss,Portugal,Xerox Ducati,Report
14,R2,Portimão,2 November,Troy Bayliss,Troy Bayliss,Troy Bayliss,Portugal,Xerox Ducati,Report
