Rank,Census subdivision,Province,Type,"Land area (km2, 2011)",Population 2011,Population 2006,Population 2001,Population 1996,Change in percentage 2006-2011,Change in percentage 1996-2011
40,Kingston,Ontario,city,451.17,123363,117207,114195,112605,5.3,9.8
41,Whitby,Ontario,town,146.53,122022,111184,87413,73794,9.7,64.9
42,Guelph,Ontario,city,87.20,121688,114943,106170,95821,5.9,26.1
43,Kelowna,British Columbia,city,211.62,117312,106707,96288,89442,9.6,31.5
44,Saanich,British Columbia,district municipality,103.78,109752,108265,103654,101388,1.4,7.9
45,Ajax,Ontario,town,67.07,109600,90167,73753,64430,21.6,70.3
46,Thunder Bay,Ontario,city,328.24,108359,109140,109016,113662,-0.7,-4.4
47,Terrebonne,Quebec,ville,154.74,106322,94703,80536,75116,12.3,41.3
48,St. John's,Newfoundland and Labrador,city,446.04,106172,100646,99182,101936,5.5,4.0
49,Langley,British Columbia,district municipality,308.03,104177,93726,86896,80179,11.2,30.0
50,Chatham-Kent,Ontario,municipality,"2,458.09",103671,108177,107341,109950,-4.2,-5.8
51,Delta,British Columbia,district municipality,180.11,99863,96723,96950,95411,3.3,4.7
52,Waterloo,Ontario,city,64.02,98780,97475,86543,77949,1.3,26.7
53,Cape Breton,Nova Scotia,regional municipality,"2,433.35",97398,102250,105968,114733,-4.7,-15.2
54,Brantford,Ontario,city,72.47,93650,90192,86417,86417,3.8,8.4
55,Strathcona County,Alberta,specialized municipality,"1,180.56",92490,82511,71986,64176,12.1,44.1
56,Saint-Jean-sur-Richelieu,Quebec,ville,225.78,92394,87492,79600,76461,5.6,20.8
57,Red Deer,Alberta,city,104.29,90564,82772,67829,60080,8.9,50.7
58,Pickering,Ontario,city,231.59,88721,87838,87139,78989,1.0,12.3
59,Kamloops,British Columbia,city,299.23,85678,80376,77281,76394,6.6,12.2
60,Clarington,Ontario,municipality,611.30,84548,77820,69834,60615,8.6,39.5
61,North Vancouver,British Columbia,district municipality,160.76,84412,82562,82310,80418,2.2,5.0
62,Milton,Ontario,town,363.22,84362,53939,31471,32104,56.5,162.8
63,Nanaimo,British Columbia,city,91.30,83810,78692,73000,70130,6.5,18.0
64,Lethbridge,Alberta,city,122.36,83517,74637,67374,63053,11.8,32.5
65,Niagara Falls,Ontario,city,209.71,82997,82184,78815,76917,1.0,7.9
66,Repentigny,Quebec,ville,61.79,82000,76237,72218,70677,7.6,16.0
67,Victoria,British Columbia,city,19.47,80017,78057,74125,73405,2.5,9.0
68,Newmarket,Ontario,town,38.33,79978,74295,65788,57125,7.6,40.0
69,Brossard,Quebec,ville,45.20,79273,71154,65026,65927,11.4,20.2
70,Peterborough,Ontario,city,63.80,78698,74898,71446,69742,4.4,12.8
71,Chilliwack,British Columbia,city,261.50,77936,69217,62567,60186,12.6,29.5
72,Maple Ridge,British Columbia,district municipality,266.78,76052,68949,63169,56173,10.3,35.4
73,Sault Ste. Marie,Ontario,city,223.26,75141,74948,74566,80054,0.3,-6.3
74,Kawartha Lakes,Ontario,city,"3,083.06",73214,74561,69179,67926,-1.8,7.8
75,Sarnia,Ontario,city,164.71,72366,71419,70876,72738,1.3,-0.5
76,Prince George,British Columbia,city,318.26,71974,70981,72406,75510,1.4,-4.7
77,Drummondville,Quebec,ville,246.85,71852,67392,63029,58588,6.6,22.6
78,Saint John,New Brunswick,city,315.82,70063,68043,69661,72494,3.0,-3.4
79,Moncton,New Brunswick,city,141.17,69074,64128,61046,59313,7.7,16.5
80,Saint-Jerome,Quebec,ville,90.52,68456,63729,59614,59533,7.4,15.0
81,New Westminster,British Columbia,city,15.63,65976,58549,54656,49350,12.7,33.7
82,Wood Buffalo,Alberta,specialized municipality,"63,637.47",65565,51496,41445,35213,27.3,86.2
83,Granby,Quebec,ville,152.72,63433,47637,44121,43316,6.8,46.4
84,Norfolk County,Ontario,city,"1,607.60",63175,62563,60847,60534,1.0,4.4
85,St. Albert,Alberta,city,48.27,61466,57719,53081,46888,6.4,31.1
86,Medicine Hat,Alberta,city,112.01,60005,56997,51249,46783,5.3,28.3
87,Caledon,Ontario,town,688.15,59460,57050,50605,39893,4.2,49.1
88,Halton Hills,Ontario,town,276.25,59008,55289,48184,42390,6.7,39.2
89,Port Coquitlam,British Columbia,city,29.17,56342,52687,51257,46682,6.9,20.7
90,Fredericton,New Brunswick,city,131.67,56224,50535,47580,46507,11.3,20.9
91,Grande Prairie,Alberta,city,72.80,55032,47076,36983,31353,16.8,75.5
92,North Bay,Ontario,city,319.05,53651,53966,52771,54332,-0.6,-1.2
93,Blainville,Quebec,ville,55.10,53510,46493,36029,29603,15.1,80.8
94,Saint-Hyacinthe,Quebec,ville,188.69,53236,51616,50394,50027,3.1,6.4
95,Aurora,Ontario,town,49.78,53203,47629,40167,34857,11.7,52.6
96,Welland,Ontario,city,81.09,50631,50331,48402,48411,0.6,4.6
97,Shawinigan,Quebec,ville,733.48,50060,51904,52040,56721,-3.6,-11.7
98,Dollard-des-Ormeaux,Quebec,ville,15.10,49637,48930,48206,47826,1.4,3.8
99,Belleville,Ontario,city,247.21,49454,48821,46029,46195,1.3,7.1
100,North Vancouver,British Columbia,city,11.83,48196,45165,44303,41475,6.7,16.2
