Rnd.,Pick num,NFL team,Player,Pos.,College,Conf.,Notes
2,43.0,Detroit Lions,Drew Stanton,QB,Michigan State,Big Ten,from Buffalo
2,44.0,Minnesota Vikings,Sidney Rice,WR,South Carolina,SEC,from Atlanta
2,45.0,Carolina Panthers,Dwayne Jarrett,WR,USC,Pac-10,
2,46.0,Pittsburgh Steelers,LaMarr Woodley,DE,Michigan,Big Ten,
2,47.0,New York Jets,David Harris,LB,Michigan,Big Ten,from Green Bay
2,48.0,Jacksonville Jaguars,Justin Durant,LB,Hampton,MEAC,
2,49.0,Cincinnati Bengals,Kenny Irons,RB,Auburn,SEC,
2,50.0,Tennessee Titans,Chris Henry,RB,Arizona,Pac-10,
2,51.0,New York Giants,Steve Smith,WR,USC,Pac-10,
2,52.0,St. Louis Rams,Brian Leonard,FB,Rutgers,Big East,
2,53.0,Cleveland Browns,Eric Wright,CB,UNLV,MWC,from Dallas
2,54.0,Kansas City Chiefs,Turk McBride,DE,Tennessee,SEC,
2,55.0,Seattle Seahawks,Josh Wilson,CB,Maryland,ACC,
2,56.0,Denver Broncos,Tim Crowder,DE,Texas,Big 12,
2,57.0,Philadelphia Eagles,Victor Abiamiri,DE,Notre Dame,Ind.,
2,58.0,Detroit Lions,Ikaika Alama-Francis,DE,Hawaiʻi,WAC,from New Orleans
2,59.0,Carolina Panthers,Ryan Kalil,C,USC,Pac-10,from New York Jets
2,60.0,Miami Dolphins,Samson Satele,C,Hawaiʻi,WAC,from New England
2,61.0,Detroit Lions,Gerald Alexander,S,Boise State,WAC,from Baltimore
2,62.0,Chicago Bears,Dan Bazuin,DE,Central Michigan,MAC,from San Diego
2,63.0,Green Bay Packers,Brandon Jackson,RB,Nebraska,Big 12,from Chicago via New York Jets
2,64.0,Tampa Bay Buccaneers,Sabby Piscitelli,S,Oregon State,Pac-10,from Indianapolis
3,65.0,Oakland Raiders,Quentin Moses,DE,Georgia,SEC,
3,66.0,New Orleans Saints,Usama Young,CB,Kent State,MAC,from Detroit
3,67.0,Dallas Cowboys,James Marten,OT,Boston College,ACC,from Cleveland
3,68.0,Tampa Bay Buccaneers,Quincy Black,LB,New Mexico,MWC,
3,69.0,Arizona Cardinals,Buster Davis,LB,Florida State,ACC,
3,70.0,Denver Broncos,Ryan Harris,OT,Notre Dame,Ind.,from Washington
3,71.0,Miami Dolphins,Lorenzo Booker,RB,Florida State,ACC,
3,72.0,Minnesota Vikings,Marcus McCauley,CB,Fresno State,WAC,
3,73.0,Houston Texans,Jacoby Jones,WR,Lane,SIAC,
3,74.0,Baltimore Ravens,Yamon Figurs,WR,Kansas State,Big 12,from Buffalo via Detroit
3,75.0,Atlanta Falcons,Laurent Robinson,WR,Illinois State,Gateway,
3,76.0,San Francisco 49ers,Jason Hill,WR,Washington State,Pac-10,
3,77.0,Pittsburgh Steelers,Matt Spaeth,TE,Minnesota,Big Ten,
3,78.0,Green Bay Packers,James Jones,WR,San Jose State,WAC,
3,79.0,Jacksonville Jaguars,Mike Sims-Walker,WR,Central Florida,C-USA,
3,80.0,Tennessee Titans,Paul Williams,WR,Fresno State,WAC,
3,,Cincinnati Bengals,selection forfeited because of use of 3rd round selection in 2006 Supplemental Draft,selection forfeited because of use of 3rd round selection in 2006 Supplemental Draft,selection forfeited because of use of 3rd round selection in 2006 Supplemental Draft,selection forfeited because of use of 3rd round selection in 2006 Supplemental Draft,selection forfeited because of use of 3rd round selection in 2006 Supplemental Draft
3,81.0,New York Giants,Jay Alford,DT,Penn State,Big Ten,
3,82.0,Kansas City Chiefs,"DeMarcus \Tank\"" Tyler""",DT,NC State,ACC,from St. Louis
3,83.0,Carolina Panthers,Charles Johnson,DE,Georgia,SEC,
3,84.0,St. Louis Rams,Jonathan Wade,CB,Tennessee,SEC,from Kansas City
3,85.0,Seattle Seahawks,Brandon Mebane,DT,California,Pac-10,
3,86.0,Baltimore Ravens,Marshal Yanda,OT,Iowa,Big Ten,from Denver via Jacksonville
3,87.0,Philadelphia Eagles,Stewart Bradley,LB,Nebraska,Big 12,from Dallas
3,88.0,New Orleans Saints,Andy Alleman,G,Akron,MAC,
3,89.0,Green Bay Packers,Aaron Rouse,S,Virginia Tech,ACC,from New York Jets
3,90.0,Philadelphia Eagles,Tony Hunt,RB,Penn State,Big Ten,
3,91.0,Oakland Raiders,Mario Henderson,OT,Florida State,ACC,from New England
3,92.0,Buffalo Bills,Trent Edwards,QB,Stanford,Pac-10,from Baltimore
3,93.0,Chicago Bears,Garrett Wolfe,RB,Northern Illinois,MAC,from San Diego
3,94.0,Chicago Bears,Michael Okwo,LB,Stanford,Pac-10,
3,95.0,Indianapolis Colts,Dante Hughes,CB,California,Pac-10,
3*,96.0,San Diego Chargers,Anthony Waters,LB,Clemson,ACC,
3*,97.0,San Francisco 49ers,Ray McDonald,DE,Florida,SEC,
3*,98.0,Indianapolis Colts,Quinn Pitcock,DT,Ohio State,Big Ten,
3*,99.0,Oakland Raiders,Johnnie Lee Higgins,WR,UTEP,C-USA,
4,100.0,Oakland Raiders,Michael Bush,RB,Louisville,Big East,
4,101.0,Jacksonville Jaguars,Adam Podlesh,P,Maryland,ACC,from Detroit via Baltimore
4,102.0,Minnesota Vikings,Brian Robison,DE,Texas,Big 12,from Tampa Bay
4,103.0,Dallas Cowboys,Isaiah Stanback,QB,Washington,Pac-10,from Cleveland
4,104.0,San Francisco 49ers,Jay Moore,DE,Nebraska,Big 12,from Washington
4,105.0,Detroit Lions,A. J. Davis,CB,NC State,ACC,from Arizona via Oakland
4,106.0,Tampa Bay Buccaneers,Tanard Jackson,S,Syracuse,Big East,from Minnesota
4,107.0,New Orleans Saints,Antonio Pittman,RB,Ohio State,Big Ten,from Houston
4,108.0,Miami Dolphins,Paul Soliai,DT,Utah,MWC,
4,109.0,Atlanta Falcons,Stephen Nicholas,LB,South Florida,Big East,
4,110.0,Oakland Raiders,John Bowie,CB,Cincinnati,Big East,from San Francisco via New England
4,111.0,Buffalo Bills,Dwayne Wright,RB,Fresno State,WAC,
4,112.0,Pittsburgh Steelers,Daniel Sepulveda,P,Baylor,Big 12,from Green Bay
4,113.0,Jacksonville Jaguars,Brian Smith,LB,Missouri,Big 12,
4,114.0,Cincinnati Bengals,Marvin White,S,TCU,MWC,
4,115.0,Tennessee Titans,Leroy Harris,C,NC State,ACC,
4,116.0,New York Giants,Zak DeOssie,LB,Brown,Ivy,
4,117.0,Detroit Lions,Manuel Ramirez,G,Texas Tech,Big 12,from St. Louis
4,118.0,Carolina Panthers,Ryne Robinson,WR,Miami (OH),MAC,
4,119.0,Green Bay Packers,Allen Barbre,OT,Missouri Southern,MIAA,from Pittsburgh
4,120.0,Seattle Seahawks,Baraka Atkins,DE,Miami (FL),ACC,
4,121.0,Denver Broncos,Marcus Thomas,DT,Florida,SEC,from Denver via Minnesota and Atlanta
4,122.0,Dallas Cowboys,Doug Free,OT,Northern Illinois,MAC,
4,123.0,Houston Texans,Fred Bennett,CB,South Carolina,SEC,from Kansas City via New Orleans
4,124.0,Seattle Seahawks,Mansfield Wrotto,G,Georgia Tech,ACC,from New York Jets via San Francisco
4,125.0,New Orleans Saints,Jermon Bushrod,OT,Towson,A-10,from Philadelphia
4,126.0,San Francisco 49ers,Dashon Goldson,S,Washington,Pac-10,from New Orleans via Indianapolis
4,127.0,New England Patriots,Kareem Brown,DT,Miami (FL),ACC,
4,128.0,Tennessee Titans,Chris Davis,WR,Florida State,ACC,from Baltimore
4,129.0,San Diego Chargers,Scott Chandler,TE,Iowa,Big Ten,
4,130.0,Chicago Bears,Josh Beekman,G,Boston College,ACC,
4,131.0,Indianapolis Colts,Brannon Condren,S,Troy,Sun Belt,
4*,132.0,Pittsburgh Steelers,Ryan McBean,DT,Oklahoma State,Big 12,
4*,133.0,Atlanta Falcons,Martrez Milner,TE,Georgia,SEC,
4*,134.0,Baltimore Ravens,Antwan Barnes,LB,Florida International,Sun Belt,
4*,135.0,San Francisco 49ers,Joe Cohen,DE,Florida,SEC,
4*,136.0,Indianapolis Colts,Clint Session,LB,Pittsburgh,Big East,
4*,137.0,Baltimore Ravens,Le'Ron McClain,FB,Alabama,SEC,
5,138.0,Oakland Raiders,Jay Richardson,DE,Ohio State,Big Ten,
5,139.0,St. Louis Rams,Dustin Fry,C,Clemson,ACC,from Detroit
5,140.0,Cleveland Browns,Brandon McDonald,CB,Memphis,C-USA,
5,141.0,Tampa Bay Buccaneers,Greg Peterson,DE,North Carolina Central,CIAA,
5,142.0,Arizona Cardinals,Steve Breaston,WR,Michigan,Big Ten,
5,143.0,Washington Redskins,Dallas Sartz,LB,USC,Pac-10,
5,144.0,Houston Texans,Brandon Harrison,S,Stanford,Pac-10,
5,145.0,New Orleans Saints,David Jones,CB,Wingate,SAC,from Miami via Detroit
5,146.0,Minnesota Vikings,Aundrae Allison,WR,East Carolina,C-USA,
5,147.0,San Francisco 49ers,Tarell Brown,CB,Texas,Big 12,
5,148.0,Kansas City Chiefs,Kolby Smith,RB,Louisville,Big East,from Buffalo via St. Louis
5,149.0,Jacksonville Jaguars,Uche Nwaneri,G,Purdue,Big Ten,from Atlanta
5,150.0,Jacksonville Jaguars,Josh Gattis,S,Wake Forest,ACC,
5,151.0,Cincinnati Bengals,Jeff Rowe,QB,Nevada,WAC,
5,152.0,Tennessee Titans,Antonio Johnson,DT,Mississippi State,SEC,
5,153.0,New York Giants,Kevin Boss,TE,Western Oregon,Ind.,
5,154.0,St. Louis Rams,Clifton Ryan,DT,Michigan State,Big Ten,from St. Louis via Detroit
5,155.0,Carolina Panthers,Dante Rosario,TE,Oregon,Pac-10,
5,156.0,Pittsburgh Steelers,Cameron Stephenson,G,Rutgers,Big East,
5,157.0,Green Bay Packers,David Clowney,WR,Virginia Tech,ACC,
5,158.0,Detroit Lions,Johnny Baldwin,LB,Alabama A&M,SWAC,from Denver
5,159.0,Philadelphia Eagles,C. J. Gaddis,CB,Clemson,ACC,from Dallas
5,160.0,Kansas City Chiefs,Justin Medlock,K,UCLA,Pac-10,
5,161.0,Seattle Seahawks,Will Herring,LB,Auburn,SEC,
5,162.0,Philadelphia Eagles,Brent Celek,TE,Cincinnati,Big East,
5,163.0,Houston Texans,Brandon Frye,OT,Virginia Tech,ACC,from New Orleans
5,164.0,Carolina Panthers,Tim Shaw,LB,Penn State,Big Ten,from New York Jets
5,165.0,Oakland Raiders,Eric Frampton,S,Washington State,Pac-10,from New England
5,166.0,Jacksonville Jaguars,Derek Landri,DT,Notre Dame,Ind.,from Baltimore
5,167.0,Chicago Bears,Kevin Payne,S,Louisiana-Monroe,Sun Belt,from San Diego
5,168.0,Chicago Bears,Corey Graham,CB,New Hampshire,A-10,
5,169.0,Indianapolis Colts,Roy Hall,WR,Ohio State,Big Ten,
5*,170.0,Pittsburgh Steelers,William Gay,CB,Louisville,Big East,
5*,171.0,New England Patriots,Clint Oldenburg,OT,Colorado State,MWC,
5*,172.0,San Diego Chargers,Legedu Naanee,WR,Boise State,WAC,
5*,173.0,Indianapolis Colts,Michael Coe,CB,Alabama State,SWAC,
5*,174.0,Baltimore Ravens,Troy Smith,QB,Ohio State,Big Ten,
6,175.0,Oakland Raiders,Oren O'Neal,FB,Arkansas State,Sun Belt,
6,176.0,Minnesota Vikings,Rufus Alexander,LB,Oklahoma,Big 12,from Detroit via Denver
6,177.0,New York Jets,Jacob Bender,OT,Nicholls State,Southland,from Tampa Bay
6,178.0,Dallas Cowboys,Nick Folk,K,Arizona,Pac-10,from Cleveland
6,179.0,Washington Redskins,H. B. Blades,LB,Pittsburgh,Big East,
6,180.0,New England Patriots,Justin Rogers,DE,SMU,C-USA,from Arizona
6,181.0,Miami Dolphins,Reagan Maui'a,FB,Hawaiʻi,WAC,
6,182.0,Tampa Bay Buccaneers,Adam Hayward,LB,Portland State,Big Sky,from Minnesota
6,183.0,Houston Texans,Kasey Studdard,G,Texas,Big 12,
6,184.0,Buffalo Bills,John Wendling,FS,Wyoming,MWC,
6,185.0,Atlanta Falcons,Trey Lewis,DT,Washburn,MIAA,
6,186.0,San Francisco 49ers,Thomas Clayton,RB,Kansas State,Big 12,
6,187.0,Cincinnati Bengals,Matt Toeaina,DT,Oregon,Pac-10,
6,188.0,Tennessee Titans,Joel Filani,WR,Texas Tech,Big 12,
6,189.0,New York Giants,Adam Koets,OT,Oregon State,Pac-10,
6,190.0,St. Louis Rams,Ken Shackleford,OT,Georgia,SEC,
6,191.0,Green Bay Packers,Korey Hall,LB,Boise State,WAC,from Carolina via New York Jets
6,192.0,Green Bay Packers,Desmond Bishop,LB,California,Pac-10,from Pittsburgh
6,193.0,Green Bay Packers,Mason Crosby,K,Colorado,Big 12,
6,194.0,Atlanta Falcons,David Irons,CB,Auburn,SEC,from Jacksonville
6,195.0,Dallas Cowboys,Deon Anderson,FB,Connecticut,Big East,from Dallas via Cleveland
6,196.0,Kansas City Chiefs,Herbert Taylor,OT,TCU,MWC,
6,197.0,Seattle Seahawks,Courtney Taylor,WR,Auburn,SEC,
6,198.0,Atlanta Falcons,Doug Datish,C,Ohio State,Big Ten,from Denver via Jacksonville
6,199.0,Miami Dolphins,Drew Mormino,C,Central Michigan,MAC,from New Orleans
6,200.0,Cleveland Browns,Melila Purcell,DE,Hawaiʻi,WAC,from New York Jets via Dallas
6,201.0,Philadelphia Eagles,Rashad Barksdale,CB,Albany,NEC,
6,202.0,New England Patriots,Matthew Finamore,G,Kent State,MAC,
6,203.0,Atlanta Falcons,Daren Stone,S,Maine,A-10,from Baltimore via Jacksonville
6,204.0,Tennessee Titans,Jacob Ford,DE,Central Arkansas,Ind.,from San Diego
6,205.0,Washington Redskins,Jordan Palmer,QB,UTEP,C-USA,from Chicago
6,206.0,Tennessee Titans,Ryan Smith,CB,Florida,SEC,from Indianapolis
6*,207.0,Baltimore Ravens,Prescott Burgess,LB,Michigan,Big Ten,
6*,208.0,New England Patriots,Justise Hairston,RB,Central Connecticut,NEC,
6*,209.0,New England Patriots,Corey Hilliard,OT,Oklahoma State,Big 12,
6*,210.0,Seattle Seahawks,Jordan Kent,WR,Oregon,Pac-10,
7,211.0,New England Patriots,Oscar Lua,LB,USC,Pac-10,from Oakland
7,212.0,Dallas Cowboys,Courtney Brown,CB,Cal Poly,Great West,from Detroit via New York Jets
7,213.0,Cleveland Browns,Chase Pittman,DE,LSU,SEC,
7,214.0,Tampa Bay Buccaneers,Chris Denman,OT,Fresno State,WAC,
7,215.0,Arizona Cardinals,Ben Patrick,TE,Delaware,A-10,
7,216.0,Washington Redskins,Tyler Ecker,TE,Michigan,Big Ten,
7,217.0,Minnesota Vikings,Tyler Thigpen,QB,Coastal Carolina,Big South,
7,218.0,Houston Texans,Zac Diles,LB,Kansas State,Big 12,
7,219.0,Miami Dolphins,Kelvin Smith,LB,Syracuse,Big East,
7,220.0,New Orleans Saints,Marvin Mitchell,LB,Tennessee,SEC,from Atlanta
7,221.0,Chicago Bears,Trumaine McBride,CB,Ole Miss,SEC,from San Francisco via Cleveland
7,222.0,Buffalo Bills,Derek Schouman,TE,Boise State,WAC,
7,223.0,Tennessee Titans,Mike Otto,OT,Purdue,Big Ten,
7,224.0,New York Giants,Michael Johnson,S,Arizona,Pac-10,
7,225.0,Miami Dolphins,Brandon Fields,P,Michigan State,Big Ten,from St. Louis
7,226.0,Carolina Panthers,C.J. Wilson,CB,Baylor,Big 12,
7,227.0,Pittsburgh Steelers,Dallas Baker,WR,Florida,SEC,
7,228.0,Green Bay Packers,DeShawn Wynn,RB,Florida,SEC,
7,229.0,Jacksonville Jaguars,John Broussard,WR,San Jose State,WAC,
7,230.0,Cincinnati Bengals,Dan Santucci,G,Notre Dame,Ind.,
7,231.0,Kansas City Chiefs,Michael Allan,TE,Whitworth,NWC,
7,232.0,Seattle Seahawks,Steve Vallos,G,Wake Forest,ACC,
7,233.0,Minnesota Vikings,Chandler Williams,WR,Florida International,Sun Belt,from Deceased Denver
7,234.0,Cleveland Browns,Syndric Steptoe,KR/WR,Arizona,Pac-10,from Dallas
7,235.0,New York Jets,Chansi Stuckey,WR,Clemson,ACC,from New York Jets via Green Bay
7,236.0,Philadelphia Eagles,Nate Ilaoa,RB,Hawaiʻi,WAC,
7,237.0,Dallas Cowboys,Alan Ball,CB,Illinois,Big Ten,from New Orleans
7,238.0,Miami Dolphins,Abraham Wright,DE,Colorado,Big 12,from New England
7,239.0,Buffalo Bills,C. J. Ah You,DE,Oklahoma,Big 12,from Baltimore
7,240.0,San Diego Chargers,Brandon Siler,LB,Florida,SEC,
7,241.0,Chicago Bears,Aaron Brant,OT,Iowa State,Big 12,
7,242.0,Indianapolis Colts,Keyunta Dawson,LB,Texas Tech,Big 12,
7*,243.0,Green Bay Packers,Clark Harris,TE,Rutgers,Big East,
7*,244.0,Atlanta Falcons,Jason Snelling,FB,Virginia,ACC,
7*,245.0,Tampa Bay Buccaneers,Marcus Hamilton,CB,Virginia,ACC,
7*,246.0,Tampa Bay Buccaneers,Kenneth Darby,RB,Alabama,SEC,
7*,247.0,New England Patriots,Mike Elgin,C,Iowa,Big Ten,
7*,248.0,St. Louis Rams,"Keith Jackson, Jr.",DT,Arkansas,SEC,
7*,249.0,St. Louis Rams,Derek Stanley,WR,,WIAC,
7*,250.0,New York Giants,Ahmad Bradshaw,RB,Marshall,C-USA,
7*,251.0,Jacksonville Jaguars,Chad Nkang,LB,Elon,SoCon,
7*,252.0,Jacksonville Jaguars,Andrew Carnahan,OT,Arizona State,Pac-10,
7*,253.0,Cincinnati Bengals,Chinedum Ndukwe,S,Notre Dame,Ind.,
7^,254.0,Oakland Raiders,Jonathan Holland,WR,Louisiana Tech,WAC,
7^,255.0,Detroit Lions,Ramzee Robinson,CB,Alabama,SEC,
