name,1968 cf designator,place of manufacture,primary roles,service period,num used
Canadian Vickers Vigil,,Canada,training/utility,,1
Canadian Vickers Vista,,Canada,patrol flying boat,,1
Cessna 182/L-182,CO-119,US,utility,,10
Cessna Bird Dog/L-19,CO-119,US,utility/liaison,,25
Cessna Crane,,US,trainer,,826
Consolidated Catalina/Canso,,US/Canada,maritime patrol seaplane,,254
Consolidated Courier,,US,utility,,3
Consolidated Liberator,,US,maritime patrol,,148
Consolidated Privateer,,US,maritime patrol,,1
Curtiss Canuck,,Canada,trainer,,10
Curtiss H-16,,US,patrol flying boat,,2
Curtiss HS-2L,,US,patrol flying boat,,30
Curtiss Kittyhawk,,US,fighter,,134
Curtiss Seamew,,US,utility floatplane,,82
Curtiss Tomahawk,,US,fighter,,4
Curtiss Warhawk,,US,fighter,,9
Curtiss-Reid Rambler,,Canada,trainer/utility,,9
Dassault Falcon,CC-117,France,VIP transport,,8
de Havilland Comet,,UK,transport,,2
de Havilland Dragonfly,,UK,transport,,6
de Havilland Fox Moth,,Canada,transport,,1
de Havilland Genet Moth,,UK,role,,2
de Havilland Hawk Moth,,UK,transport,,3
de Havilland Menasco Moth,,Canada,trainer,,136
de Havilland Mosquito,,UK/Canada,bomber/fighter-bomber,,444
De Havilland Moth,,UK,trainer,,89
de Havilland Puss Moth,,UK,transport,,19
de Havilland Sea Hornet,,UK,fighter,,1
de Havilland DH.82C Tiger Moth,,Canada,trainer,,1410
de Havilland Vampire,,UK,fighter,,86
de Havilland Canada Buffalo,CC-115,Canada,transport,,15
de Havilland Canada Caribou,CC-108,Canada,transport,,9
de Havilland Canada Chipmunk,CT-120,Canada,elementary trainer,,100
de Havilland Canada Dash 7,CC-132,Canada,transport,,2
De Havilland Canada Dash-8,CT-142,Canada,transport/trainer,,6
de Havilland Canada Otter,CSR-123,Canada,transport,,69
de Havilland Canada Twin Otter,CC-138,Canada,transport,,9
Douglas Boston,,US,bomber,,3
Douglas Dakota,CC-129,US,transport,,169
Douglas Digby,,US,bomber,,20
Douglas MO-2B,,US,utility/patrol,,1
EADS Eagle 1,CU-160,Netherlands,UAV,,1
ELBIT Skylark,CU-168,Israel,UAV,,5
Fairchild 51 & 51A,,US/Canada,transport,,9
"Fairchild 71, 71B & 71C",,US/Canada,transport,,23
Fairchild Argus,,US,utility,,2
Fairchild Cornell,,US,elementary trainer,,1555
"Fairchild FC-2, 2L & 2W",,US/Canada,transport,,27
Fairchild KR-34,,US,utility,,1
Fairchild Super 71,,Canada,transport,,2
Fairchild Flying Boxcar,,US,transport,,35
Fairey IIIC & IIIF,,UK,bomber,,2
Fairey Albacore,,UK,torpedo bomber,,6
Fairey Battle,,UK,bomber/trainer/target tug,,740
Fairey Swordfish Mk.II & III,,UK,torpedo bomber,,105
Felixstowe F.3,,UK,patrol flying boat,,11
Fleet Fawn,,Canada,elementary trainer,,51
Fleet Finch,,Canada,elementary trainer,,431
Fleet Fort,,Canada,intermediate/radio trainer,,101
Fleet Freighter,,Canada,transport,,2
Fokker Super Universal,,US,transport,,1
Ford 6-AT Trimotor,,US,transport,,1
General Aircraft Hotspur Mk.II,,UK,training glider,,22
General Atomics Altair,CU-163,US,UAV,,1?
Gloster Meteor,,UK,fighter,,4
Grumman Albatross,CSR-110,US,Search and Rescue amphibian,,10
Grumman Goblin,,US/Canada,fighter,,15
Grumman Goose,,US,utility amphibian,,31
Grumman Tracker,CP-121,Canada,carrier-borne ASW,,72
Handley Page Hampden,,UK,bomber,,96
Handley Page Harrow,,UK,bomber/transport,,2
Handley Page Halifax,,UK,heavy bomber,,5
Hawker Audax,,UK,army cooperation,,6
Hawker Hart,,UK,bomber,,3
Hawker Hind,,UK,instructional airframe,,4
Hawker Hurricane,,UK/Canada,fighter,,502
Hawker Sea Hurricane,,UK,fighter,,1
Hawker Tempest Mk.VI,,UK,fighter,,1
Hawker Tomtit,,UK,trainer,,2
Hiller Nomad,CH-112,US,utility helicopter,,27
IAI Heron,CU-170,Israel,UAV,,2+
Keystone Puffer,,US,crop duster/utility,,2
Lockheed Arcturus,CP-140A,US,training/reconnaissance,,3
Lockheed Aurora,CP-140,US,maritime patrol,,18
Lockheed Electra,,US,transport,,15
Lockheed Electra Junior,,US,transport,,10
Lockheed Hercules,CC-130,US,transport,,61
Lockheed Hudson,,US,bomber,,247
Lockheed Lodestar,,US,transport,,18
Lockheed Model 212,,US,transport,,1
Lockheed Neptune,CP-122,US,maritime patrol,,25
Lockheed Shooting Star/Silver Star,,US,trainer,,31
Lockheed Starfighter,CF-104,US,fighter,,39
Lockheed Starlifter,CC-141,US,transport,cancelled,0
Lockheed Ventura,,US,maritime patrol/target tug,,286
Martin Baltimore,,US,bomber,,1
Martinsyde F6,,UK,fighter,,1
MBB/Kawasaki BK 117,CH-143,Germany/Japan,utility helicopter,,1
McDonnell Douglas CF-18 Hornet,CF-188,US,fighter,,138
McDonnell Voodoo,CF-101,US,interceptor,,66
Meggitt Vindicator II,CU-162,UK,UAV,,?
Mil Mi-17,CH-178,Russia,transport helicopter,,4
Noorduyn Norseman,,Canada,utility transport,,100
North American AT-6D Texan,,US,advanced trainer,,100
North American Harvard,,US/Canada,advanced trainer,,2156
North American Mitchell,,US,bomber,,164
North American Mustang Mk.IV,,US,fighter,,130
North American NA-26,,US,trainer,,1
North American NA-44,,US,fighter/utility,,1
North American Sabre,,US,fighter,,1
North American Yale,,US,intermediate/radio trainer,,119
Northrop Delta,,Canada,transport/patrol,,20
Northrop Nomad,,US,light bomber,,32
Percival Prentice,,UK,trainer,,1
Piasecki H-21A,CH-125,US,utility/rescue helicopter,,18
Piasecki Model 44A,CH-127,US,utility/rescue helicopter,,5
Pitcairn Mailwing,,US,utility,,1
Royal Aircraft Factory S.E.5a,,UK,fighter,,12
SAGEM Sperwer,CU-161,France,UAV,,31
Schweizer 2-12,,US,training glider,,2
Sikorsky Cyclone (S-92),CH-148,US,anti-submarine warfare helicopter,not delivered,0
Sikorsky H-5 (S-51),,US,utility/rescue helicopter,,7
Sikorsky H-19 (S-55),,US,utility/transport helicopter,,15
Sikorsky H-34 (S-58),CH-126,US,utility/transport helicopter,,6
Sikorsky Sea King (S-61),CH-124,US,Anti-submarine helicopter,,40
Slingsby Firefly,CT-111,UK,trainer,,12
Sopwith Camel,,UK,fighter,,10
Sopwith Snipe,,UK,fighter,,3
Stearman Kaydet (Model 75),,US,elementary trainer,,301
Stinson Voyager (Model 105),,US,utility,,25
Supermarine Spitfire,,UK,fighter,,8
Supermarine Stranraer,,Canada,patrol seaplane,,40
Supermarine Walrus,,UK,fleet spotter/utility amphibian,,8
Vickers Viking Mk.IV,,UK,patrol amphibian,,8
Waco AQC-6,,US,utility,,1
Waco CG-15A,,US,transport glider,,1
Waco Hadrian Mk.II,,US,transport glider,,32
Waco PG-2A,,US,transport,,1
Westland Lysander,,UK/Canada,army co-operation/target tug,,329
Westland Wapiti,,UK,army co-operation,,25
