Composer,Born,Died,Nationality,Notable works for piano,Remarks
Francis Poulenc,1899,1963.0,French,,
Sergei Prokofiev,1891,1953.0,Russian,,
Sergei Rachmaninoff,1873,1943.0,Russian,,Romantic
Maurice Ravel,1875,1937.0,French,,Impressionist; sometimes jazz-influenced
Vladimir Rebikov,1866,1920.0,Russian,,"Impressionist, Romantic"
Emmanuel Rhene-Baton,1879,1940.0,French,,
Jean Roger-Ducasse,1873,1954.0,French,,
Erik Satie,1866,1925.0,French,,Impressionist; Minimalist (precursor)
Ahmed Adnan Saygun,1907,1991.0,Turkish,,"Neoclassical, traditional Turkish folksong influence"
Florent Schmitt,1870,1958.0,French,,"Impressionist, Late-Romantic"
Arnold Schoenberg,1874,1951.0,"Austrian, American","Drei Klavierstucke, Op. 11 Funf Klavierstucke, Op. 23 Sechs Kleine Klavierstucke, Op. 19 Suite fur Klavier, Op. 25","Serial (mature/late career), Late-Romantic (early career)"
James Scott,1885,1938.0,"American, African-American",,Ragtime
Alexander Scriabin,1872,1915.0,Russian,10 piano sonatas,"Late-Romantic (early); Atonal, Mystical (mature)"
Dmitri Shostakovich,1906,1975.0,"Russian, Soviet",,Post-Romantic; neoclassical; elements of grotesque
Jean Sibelius,1865,1957.0,Finnish,"Sonata in F major, Op. 12 Three Sonatinas, Op. 67",Late-Romantic; post-Romantic
Kaikhosru Shapurji Sorabji,1892,1988.0,English,"Opus clavicembalisticum Études transcendantes (100) Sequentia cyclica super \Dies irae\"" ex Missa pro defunctis",
Piano Symphony No. 2,,,,,
"\""Gulistān\""—Nocturne for Piano""","Neoclassical, neoromantic, postimpressionistic",,,,
Alexei Stanchinsky,1888,1914.0,Russian,,"Post-Romantic, modal"
Wilhelm Stenhammar,1871,1927.0,Swedish,,
Richard Strauss,1864,1949.0,German,,
Igor Stravinsky,1882,1971.0,"Russian, French, American","Piano Sonata in F-sharp minor Quatre etudes, Op. 7 Piano-Rag-Music Trois mouvements de Petrouchka",Post-Romantic (early); Neoclassical (middle); Serial (late career)
Soulima Stravinsky,1910,1994.0,"Swiss, American",,
Toru Takemitsu,1930,1996.0,Japanese,,"Eclectic, with influences ranging from jazz, popular music, avant-garde procedures, and traditional Japanese music; strongly influenced by Debussy and Messiaen"
Joaquin Turina,1882,1949.0,Spanish,,
Galina Ustvolskaya,1919,2006.0,Russian,,Eclectic
Heitor Villa-Lobos,1887,1959.0,Brazilian,,
Ángel Villoldo,1861,1919.0,Argentine,,Tango
Pancho Vladigerov,1899,1978.0,Bulgarian,,
