Rank,Athlete,Nationality,Time
66.0,Manuel Matias,Portugal,1:05:23
67.0,Roman Kejžar,Slovenia,1:05:25
68.0,Pedro Ortiz,Colombia,1:05:28
69.0,Viktor Rogovoy,Ukraine,1:05:29
70.0,Tolosa Gebre,Ethiopia,1:05:37
71.0,Thorsten Naumann,Germany,1:05:43
72.0,Ronaldo da Costa,Brazil,1:05:49
73.0,Peter van der Velden,Netherlands,1:05:50
74.0,Wodage Zvadya,Israel,1:05:51
75.0,Igor Šalamun,Slovenia,1:05:53
76.0,Ronny Ligneel,Belgium,1:06:04
77.0,Marly Sopyev,Turkmenistan,1:06:06
78.0,Fernando Couto,Portugal,1:06:13
79.0,Marcos Villa,Mexico,1:06:16
80.0,Viktor Korniyenko,Ukraine,1:06:31
81.0,Aleksandr Kostikov,Russia,1:06:32
82.0,Mohamed El-Massoudi,France,1:06:36
83.0,Chris Verbeeck,Belgium,1:06:37
84.0,Julius Ruto,Kenya,1:06:40
85.0,Simon Mphulanyane,South Africa,1:06:47
86.0,Marcelo Cascabelo,Argentina,1:06:48
87.0,Gezahegn Abera,Ethiopia,1:06:48
88.0,Mark Flint,Great Britain,1:06:49
89.0,Seiichi Miyajima,Japan,1:06:50
90.0,Ronald Schut,Netherlands,1:06:53
91.0,Ivo Claes,Belgium,1:06:59
92.0,Khelil Benhalima,Algeria,1:07:01
93.0,Andrey Kovalenko,Belarus,1:07:05
94.0,Mirko Vindiš,Slovenia,1:07:10
95.0,Teppo Jalonen,Finland,1:07:13
96.0,Tayeb Kalloud,Algeria,1:07:21
97.0,Eduardo do Nascimento,Brazil,1:07:26
98.0,Bigboy Goromonzi,Zimbabwe,1:07:28
99.0,Terje Näss,Norway,1:07:31
100.0,Daniel Dasta,Israel,1:07:37
101.0,Peter De Vocht,Belgium,1:07:40
102.0,Chris Dagg,New Zealand,1:07:41
103.0,David Morris,United States,1:07:48
104.0,Bashir Hussain,Great Britain,1:08:03
105.0,Ebrahim Etta-Ati,Iran,1:08:10
106.0,Wilson Theleso,Botswana,1:08:12
107.0,Atadjan Duzdyev,Turkmenistan,1:08:15
108.0,Haja Ramananjatavo,Madagascar,1:08:25
109.0,Ramiz Taipi,Yugoslavia,1:08:37
110.0,Petri Kuusinen,Finland,1:08:39
111.0,Kefemawg Selogilwe,Botswana,1:08:39
112.0,Stephane Schweickhardt,Switzerland,1:08:57
113.0,Eike Loch,Germany,1:09:14
114.0,Jens Wilky,Germany,1:09:17
115.0,Frederick Baldacchino,Malta,1:09:26
116.0,Ajay Chuttoo,Mauritius,1:09:29
117.0,Linton McKenzie,Jamaica,1:09:37
118.0,Parakhat Kurtgeldiyev,Turkmenistan,1:09:50
119.0,Aleksey Tarasyuk,Belarus,1:09:59
120.0,Geza Grabar,Slovenia,1:10:13
121.0,Robert Sádek,Slovakia,1:10:24
122.0,Edo Janić,Yugoslavia,1:10:38
123.0,Nazim Noorbux,Mauritius,1:10:40
124.0,Hossein Behdouj,Iran,1:10:44
125.0,Prasanna Gamage,Sri Lanka,1:11:31
126.0,Rachamim Gasha,Israel,1:11:53
127.0,Ali Mohammad Vahed-Puor,Iran,1:11:57
128.0,Hossein Fazeli-Sani,Iran,1:12:49
129.0,Benjamin Keleketu,Botswana,1:13:19
130.0,Lee Kar Lun,Hong Kong,1:13:28
131.0,Richard Muscat,Gibraltar,1:13:54
132.0,Colin Graham,Jamaica,1:14:09
133.0,Binesh Prasad,Fiji,1:15:38
134.0,Louis Chichon,Gibraltar,1:15:44
135.0,Paul Levick,Gibraltar,1:16:19
136.0,Kadri Uka,Albania,1:16:31
137.0,Genc Lugja,Albania,1:16:53
138.0,Geront Quirici,Albania,1:19:06
139.0,Andrew Gutzmore,Jamaica,1:21:43
140.0,Edouard Exant,Haiti,1:28:36
,Kamal Kohil,Algeria,DNF
,Antonio Silio,Argentina,DNF
,Heiki Sarapuu,Estonia,DNF
,Brian Rushworth,Great Britain,DNF
,Pablo Ceron,Mexico,DNF
,Baha Tulumbo,Tanzania,DNF
,Stevan Stefanović,Yugoslavia,DNF
