Region/Country,1882- 1918,1919- 1948,1948- 1951,1952- 1960,1961- 1971,1972- 1979,1980- 1989,1990- 2001,2002- 2010,2011- 2013,Total
Syria,,10292.0,2678.0,1870.0,2138.0,842.0,995,1664,23.0,0.0,20502
Tajikistan,,,,0.0,0.0,0.0,0,10427,141.0,19.0,10577
Turkey,,13000.0,34547.0,6871.0,14073.0,3118.0,2088,1311,817.0,244.0,75346
Turkmenistan,,,0.0,0.0,0.0,0.0,0,2268,708.0,48.0,3007
Uzbekistan,,,,,,1500.0,19500,78905,8570.0,582.0,109057
Yemen,5000.0,18000.0,48315.0,1170.0,1066.0,51.0,17,683,103.0,69.0,74474
Other (Asia),,13135.0,947.0,0.0,60.0,21.0,45,205,30.0,55.0,14498
Europe,,471477.0,330282.0,99564.0,168488.0,190336.0,75852,958834,119628.0,32412.0,2446873
Albania,,,0.0,5.0,8.0,0.0,0,376,0.0,0.0,389
Austria,,18400.0,2632.0,610.0,1021.0,595.0,356,368,150.0,37.0,24137
Belgium,,521.0,291.0,394.0,1112.0,847.0,788,1053,873.0,517.0,6396
Bulgaria,,10000.0,37260.0,1680.0,794.0,118.0,180,3999,341.0,62.0,54434
Czechoslovakia,,26700.0,18788.0,783.0,2754.0,888.0,462,527,217.0,33.0,51952
France,,1637.0,3378.0,2286.0,20162.0,12148.0,12827,16882,21351.0,7041.0,98121
Germany,,64600.0,8210.0,1386.0,3175.0,2080.0,1759,2442,866.0,197.0,84727
Greece,,17000.0,2131.0,676.0,514.0,326.0,147,127,48.0,18.0,20985
Hungary,,25300.0,14324.0,9819.0,2601.0,1100.0,1005,2444,730.0,398.0,57721
Ireland,,,14.0,46.0,145.0,157.0,233,136,54.0,5.0,790
Italy,,1554.0,1305.0,414.0,940.0,713.0,510,656,389.0,231.0,6712
Luxembourg,,,30.0,15.0,15.0,7.0,12,0,4.0,2.0,85
Netherlands,,1208.0,1077.0,646.0,1470.0,1170.0,1239,997,365.0,76.0,8248
Nordic Countries,,,85.0,131.0,886.0,903.0,1178,1145,297.0,126.0,4731
Thereof: Denmark,,,27.0,46.0,298.0,292.0,411,389,85.0,17.0,1565
Thereof: Finland,,,9.0,20.0,172.0,184.0,222,212,33.0,12.0,864
Thereof: Norway,,,17.0,14.0,46.0,55.0,126,120,19.0,5.0,402
Thereof: Sweden,,,32.0,51.0,378.0,372.0,419,424,160.0,37.0,1873
Poland,10000.0,180700.0,106414.0,39618.0,14706.0,6218.0,2807,3064,764.0,97.0,363441
Portugal,,,16.0,22.0,66.0,56.0,55,47,28.0,11.0,301
Romania,1000.0,49800.0,117950.0,32462.0,86184.0,18418.0,14607,6254,711.0,149.0,327835
Soviet Union (Europe),70000.0,52300.0,4916.0,6096.0,22699.0,135909.0,28763,908205,86154.0,21709.0,1336801
Thereof: Russia,,,,,,,22600,291231,41599.0,7223.0,362653
Thereof: Belarus,,,,,,,4500,70409,4305.0,611.0,79825
Thereof: Baltic Countries,,,,,,,37300,21174,1018.0,,59492
(1): Lithuania,,,,,,,24500,6774,,40.0,31314
(2): Latvia,,,,,,,16000,12661,,124.0,28785
Thereof: Ukraine,,,,,,,47700,299821,26677.0,4099.0,378297
Thereof: Moldova,,,,,,,24200,48261,2555.0,426.0,75442
Spain,,,80.0,169.0,406.0,327.0,321,269,178.0,151.0,1916
Switzerland,,,131.0,253.0,886.0,634.0,706,981,585.0,130.0,4306
United Kingdom,,1574.0,2306.0,1730.0,7444.0,6844.0,7754,6634,5265.0,1561.0,41115
Yugoslavia,,1944.0,7661.0,320.0,322.0,126.0,140,2029,162.0,20.0,12724
Other (Europe),,2329.0,1281.0,3.0,173.0,32.0,0,198,93.0,60.0,4169
Not known,,52982.0,20014.0,3307.0,2265.0,392.0,469,422,0.0,0.0,79851
Total,72260.0,572556.0,674089.0,288973.0,443560.0,283607.0,239757,1242941,222552.0,52883.0,4020918
