Rank,Bib,Name,Nation,Run 1,Rank.1,Run 2,Rank.2,Total,Difference
22.0,10,Maria Pietilä-Holmner,Sweden,1:09.15,17.0,1:13.87,23.0,2:23.02,2.48
23.0,22,Marie-Michele Gagnon,Canada,1:09.95,27.0,1:13.37,12.0,2:23.32,2.78
24.0,25,Marie-Pier Prefontaine,Canada,1:09.91,26.0,1:13.58,17.0,2:23.49,2.95
25.0,15,Andrea Fischbacher,Austria,1:09.13,16.0,1:14.40,26.0,2:23.53,2.99
26.0,39,Marusa Ferk,Slovenia,1:10.35,29.0,1:13.70,18.0,2:24.05,3.51
27.0,23,Irene Curtoni,Italy,1:09.56,22.0,1:14.50,27.0,2:24.06,3.52
28.0,35,Britt Janyk,Canada,1:10.18,28.0,1:15.55,32.0,2:25.73,5.19
29.0,41,Wendy Holdener,Switzerland,1:10.63,32.0,1:15.17,30.0,2:25.80,5.26
30.0,28,Veronika Staber,Germany,1:10.80,33.0,1:15.16,28.0,2:25.96,5.42
31.0,32,Maria Jose Rienda,Spain,1:11.24,37.0,1:15.13,29.0,2:26.37,5.83
32.0,48,Andrea Jardi,Spain,1:11.03,35.0,1:15.52,31.0,2:26.55,6.01
33.0,36,Carolina Ruiz Castillo,Spain,1:10.93,34.0,1:15.98,33.0,2:26.91,6.37
34.0,30,Megan McJames,United States,1:11.13,36.0,1:16.49,35.0,2:27.62,7.08
35.0,43,Denise Feierabend,Switzerland,1:11.37,38.0,1:16.61,36.0,2:27.98,7.44
36.0,44,Kristina Saalova,Slovakia,1:12.22,42.0,1:16.44,34.0,2:28.66,8.12
37.0,51,Katerina Paulathova,Czech Republic,1:12.10,41.0,1:16.71,38.0,2:28.81,8.27
38.0,52,Jana Gantnerova,Slovakia,1:12.01,39.0,1:17.29,41.0,2:29.30,8.76
39.0,46,Vladislava Bureeva,Russia,1:12.83,45.0,1:16.63,37.0,2:29.46,8.92
40.0,37,Mizue Hoshi,Japan,1:10.43,31.0,1:19.53,53.0,2:29.96,9.42
41.0,34,Emi Hasegawa,Japan,1:12.67,44.0,1:17.58,43.0,2:30.25,9.71
42.0,62,Žana Novaković,Bosnia and Herzegovina,1:13.05,46.0,1:17.24,40.0,2:30.29,9.75
43.0,42,Sofija Novoselić,Croatia,1:13.18,48.0,1:17.40,42.0,2:30.58,10.04
44.0,49,Jana Skvarkova,Slovakia,1:13.63,50.0,1:17.22,39.0,2:30.85,10.31
45.0,40,Maria Belen Simari Birkner,Argentina,1:13.14,47.0,1:17.84,44.0,2:30.98,10.44
46.0,50,Moe Hanaoka,Japan,1:13.20,49.0,1:18.56,47.0,2:31.76,11.22
47.0,65,Maria Shkanova,Belarus,1:13.86,53.0,1:18.28,45.0,2:32.14,11.6
48.0,55,Katarzyna Karasinska,Poland,1:13.92,54.0,1:18.46,46.0,2:32.38,11.84
49.0,59,Daniela Markova,Czech Republic,1:13.78,52.0,1:18.87,49.0,2:32.65,12.11
50.0,58,Nevena Ignjatović,Serbia,1:14.38,58.0,1:18.56,47.0,2:32.94,12.4
51.0,80,Maria Kirkova,Bulgaria,1:13.70,51.0,1:19.56,54.0,2:33.26,12.72
52.0,77,Bogdana Matsotska,Ukraine,1:14.21,56.0,1:19.18,51.0,2:33.39,12.85
53.0,68,Zsofia Doeme,Hungary,1:14.57,59.0,1:18.93,50.0,2:33.50,12.96
54.0,56,Anna-Laura Buhler,Liechtenstein,1:14.22,57.0,1:19.36,52.0,2:33.58,13.04
55.0,67,Martina Dubovska,Czech Republic,1:14.62,60.0,1:19.95,55.0,2:34.57,14.03
,7,Kathrin Hölzl,Germany,1:09.41,20.0,DNS,,,
,4,Maria Riesch,Germany,1:07.86,4.0,DNF,,,
,38,Rebecca Buhler,Liechtenstein,1:12.03,40.0,DNF,,,
,47,Vanessa Schädler,Liechtenstein,1:12.47,43.0,DNF,,,
,69,Iris Gudmundsdottir,Iceland,1:13.93,55.0,DNF,,,
,45,Tea Palić,Croatia,1:14.73,61.0,DNQ,,,
,74,Macarena Simari Birkner,Argentina,1:15.18,62.0,DNQ,,,
,72,Lavinia Chrystal,Australia,1:15.35,63.0,DNQ,,,
,81,Lelde Gasuna,Latvia,1:15.37,64.0,DNQ,,,
,64,Aleksandra Klus,Poland,1:15.41,65.0,DNQ,,,
,78,Nino Tsiklauri,Georgia,1:15.54,66.0,DNQ,,,
,66,Sarah Jarvis,New Zealand,1:15.94,67.0,DNQ,,,
,61,Anna Berecz,Hungary,1:15.95,68.0,DNQ,,,
,83,Sandra-Elena Narea,Romania,1:16.67,69.0,DNQ,,,
,85,Iulia Petruta Craciun,Romania,1:16.80,70.0,DNQ,,,
,82,Isabel van Buynder,Belgium,1:17.06,71.0,DNQ,,,
,97,Liene Fimbauere,Latvia,1:17.83,72.0,DNQ,,,
,86,Kristina Krone,Puerto Rico,1:17.93,73.0,DNQ,,,
,88,Nicole Valcareggi,Greece,1:18.19,74.0,DNQ,,,
,100,Sophie Fjellvang-Sølling,Denmark,1:18.37,75.0,DNQ,,,
,95,Ornella Oettl Reyes,Peru,1:18.61,76.0,DNQ,,,
,73,Xia Lina,China,1:19.12,77.0,DNQ,,,
,94,Kseniya Grigoreva,Uzbekistan,1:19.16,78.0,DNQ,,,
,87,Tugba Dasdemir,Turkey,1:21.50,79.0,DNQ,,,
,92,Malene Madsen,Denmark,1:22.25,80.0,DNQ,,,
,84,Liu Yang,China,1:22.80,81.0,DNQ,,,
,91,Yom Hirshfeld,Israel,1:22.87,82.0,DNQ,,,
,75,Salome Bancora,Argentina,1:23.08,83.0,DNQ,,,
,93,Ronnie Kiek-Gedalyahu,Israel,1:23.38,84.0,DNQ,,,
,96,Chiara Marano,Brazil,1:24.16,85.0,DNQ,,,
,113,Anne Libak Nielsen,Denmark,1:25.08,86.0,DNQ,,,
,105,Donata Hellner,Hungary,1:26.97,87.0,DNQ,,,
,102,Liu Yu,China,1:27.03,88.0,DNQ,,,
,109,Lida Zvoznikova,Kyrgyzstan,1:27.17,89.0,DNQ,,,
,103,Szelina Hellner,Hungary,1:27.27,90.0,DNQ,,,
,114,Irina Volkova,Kyrgyzstan,1:29.73,91.0,DNQ,,,
,106,Svetlana Baranova,Uzbekistan,1:30.62,92.0,DNQ,,,
,108,Tatjana Baranova,Uzbekistan,1:31.81,93.0,DNQ,,,
,110,Fatemeh Kiadarbandsari,Iran,1:32.16,94.0,DNQ,,,
,107,Ziba Kalhor,Iran,1:32.64,95.0,DNQ,,,
,104,Paraskevi Mavridou,Greece,1:32.83,96.0,DNQ,,,
,99,Marjan Kalhor,Iran,1:34.94,97.0,DNQ,,,
,112,Mitra Kalhor,Iran,1:37.93,98.0,DNQ,,,
,115,Laura Bauer,South Africa,1:42.19,99.0,DNQ,,,
,111,Sarah Ekmekejian,Lebanon,1:42.22,100.0,DNQ,,,
,18,Fabienne Suter,Switzerland,DNS,,,,,
,98,Maja Klepić,Bosnia and Herzegovina,DNS,,,,,
,33,Agniezska Gasienica Daniel,Poland,DNF,,,,,
,53,Karolina Chrapek,Poland,DNF,,,,,
,54,Mireia Gutierrez,Andorra,DNF,,,,,
,57,Brittany Phelan,Canada,DNF,,,,,
,60,Tereza Kmochova,Czech Republic,DNF,,,,,
,63,Michelle van Herwerden,Netherlands,DNF,,,,,
,70,Maya Harrisson,Brazil,DNF,,,,,
,71,Elizabeth Pilat,Australia,DNF,,,,,
,76,Katrin Kristjansdottir,Iceland,DNF,,,,,
,79,Julietta Quiroga,Argentina,DNF,,,,,
,89,Evija Benhena,Latvia,DNF,,,,,
,90,Qin Xiyue,China,DNF,,,,,
,101,Sophia Ralli,Greece,DNF,,,,,
,116,Siranush Maghakyan,Armenia,DNF,,,,,
