Name,Nationality,Position,Spartak career,Appearances,Goals
Viktor Papayev,Soviet Union,MF,,174,10
Aleksei Paramonov,Soviet Union,MF,,264,61
Dmytro Parfenov,Ukraine,DF,,125,15
Nikolai Parshin,Soviet Union,FW,,106,36
Viktor Pasulko,Soviet Union,MF,,75,16
Aleksandr Pavlenko,Russia,MF,,110,11
Vadim Pavlenko,Soviet Union,FW,,47,16
Roman Pavlyuchenko,Russia,FW,,141,69
Hennadiy Perepadenko,Ukraine,MF,,51,6
Boris Petrov,Soviet Union,FW,1962,18,5
Vladimir Petrov,Soviet Union,DF,,174,5
Andrei Piatnitski,Russia,MF,,100,17
Nikolai Pisarev,Russia,FW,,115,32
Aleksandr Piskaryov,Soviet Union,FW,,117,33
Mihajlo Pjanović,Serbia,FW,,48,11
Stipe Pletikosa,Croatia,GK,,63,0
Dmitri Popov,Russia,DF,,78,7
Boris Pozdnyakov,Soviet Union,DF,,145,3
Vladimir Pribylov,Soviet Union,FW,,35,6
Aleksandr Prokhorov,Soviet Union,GK,,143,0
Andrei Protasov,Soviet Union,FW,,32,10
Dmitri Radchenko,Russia,FW,,61,27
Vladimir Redin,Soviet Union,MF,,90,12
Valeri Reyngold,Soviet Union,FW,,176,32
Luis Robson,Brazil,FW,,102,32
Sergey Rodionov,Russia,FW,,303,124
Clemente Rodriguez,Argentina,DF,,71,3
Oleg Romantsev,Soviet Union,DF,,180,6
Miroslav Romaschenko,Belarus,MF,,42,7
Sergei Rozhkov,Soviet Union,MF,,143,8
Andrei Rudakov,Soviet Union,FW,,49,17
Leonid Rumyantsev,Soviet Union,FW,,26,8
Mikhail Rusyayev,Russia,FW,,47,9
Konstantin Ryazantsev,Soviet Union,MF,,114,5
Aleksandr Rystsov,Soviet Union,FW,,100,16
Sergei Salnikov,Soviet Union,FW,,201,64
Aleksandr Samedov,Russia,MF,,47,6
Viktor Samokhin,Soviet Union,MF,,188,3
Yuri Sedov,Soviet Union,DF,,176,2
Anatoli Seglin,Soviet Union,DF,,83,0
Viktor Semyonov,Soviet Union,FW,,104,49
Yuri Sevidov,Soviet Union,FW,,146,54
Igor Shalimov,Russia,MF,,95,20
Sergey Shavlo,Soviet Union,MF,,256,48
Aleksandr Shirko,Russia,FW,,128,40
Roman Shishkin,Russia,DF,,54,1
Valeri Shmarov,Russia,FW,,143,54
Sergei Shvetsov,Soviet Union,DF,,68,14
Yevgeni Sidorov,Soviet Union,MF,,191,18
Dzhemal Silagadze,Soviet Union,FW,,91,12
Nikita Simonyan,Soviet Union,FW,,215,135
Boris Smyslov,Soviet Union,FW,,45,6
Florin Şoavă,Romania,DF,,52,1
Vladimir Sochnov,Soviet Union,DF,,148,9
Aleksei Sokolov,Soviet Union,FW,,114,49
Vasili Sokolov,Soviet Union,DF,,262,2
Viktor Sokolov,Soviet Union,DF,,121,0
Anatoli Soldatov,Soviet Union,DF,,113,1
Aleksandr Sorokin,Soviet Union,MF,,107,9
Andrei Starostin,Soviet Union,MF,,95,4
Vladimir Stepanov,Soviet Union,FW,,101,33
Andrejs Štolcers,Latvia,MF,2000,11,5
Martin Stranzl,Austria,DF,,80,3
Yuri Susloparov,Soviet Union,DF,,80,1
Yuri Syomin,Soviet Union,MF,,43,6
Dmitri Sychev,Russia,FW,2002,18,9
Boris Tatushin,Soviet Union,FW,,116,38
Viktor Terentyev,Soviet Union,FW,,103,34
Andrey Tikhonov,Russia,MF,,191,68
Oleg Timakov,Soviet Union,MF,,182,19
Nikolai Tishchenko,Soviet Union,DF,,106,0
Yegor Titov,Russia,MF,,324,86
Eduard Tsykhmeystruk,Ukraine,FW,,35,5
Ilya Tsymbalar,Russia,MF,,146,42
Grigori Tuchkov,Soviet Union,DF,,74,2
Vladas Tučkus,Soviet Union,GK,,60,0
Ivan Varlamov,Soviet Union,DF,,75,0
Welliton,Brazil,FW,,77,51
Vladimir Yanishevskiy,Soviet Union,FW,,46,7
Vladimir Yankin,Soviet Union,MF,,93,19
Georgi Yartsev,Soviet Union,FW,,116,55
Valentin Yemyshev,Soviet Union,FW,,23,9
Aleksei Yeryomenko,Soviet Union,MF,,26,5
Viktor Yevlentyev,Soviet Union,MF,,56,11
Sergei Yuran,Russia,FW,"1995, 1999",26,5
Valeri Zenkov,Soviet Union,DF,,59,1
