Number,Name,Team,Position,Years with franchise,Note
2,Chuck Daly,Detroit Pistons,—,,As head coach; the number represents the two NBA championship teams he coached.
4,Joe Dumars,Detroit Pistons,G,,
10,Dennis Rodman,Detroit Pistons,F,,"Number currently issued to Greg Monroe at the time of the announcement, and he is allowed to continue wearing the number."
11,Isiah Thomas,Detroit Pistons,G,,Wore No. 42 for one playoff game in 1985 (due to his jersey stolen).
15,Vinnie Johnson,Detroit Pistons,G,,
16,Bob Lanier,Detroit Pistons,C,,
21,Dave Bing,Detroit Pistons,G,,
40,Bill Laimbeer,Detroit Pistons,C,,
—,William Davidson,Detroit Pistons,—,,As team owner.
—,Jack McCloskey,Detroit Pistons,—,,As general manager.
13,Wilt Chamberlain,Golden State Warriors,C,,
14,Tom Meschery,Golden State Warriors,F,,
16,Al Attles,Golden State Warriors,G,,
17,Chris Mullin,Golden State Warriors,SG/SF,,Also served as Executive Vice President of Basketball Operations (2004-2009).
24,Rick Barry,Golden State Warriors,F,,
42,Nate Thurmond,Golden State Warriors,C,,
22,Clyde Drexler,Houston Rockets,G,,
23,Calvin Murphy,Houston Rockets,G,,
24,Moses Malone,Houston Rockets,C,,
34,Hakeem Olajuwon,Houston Rockets,C,,
45,Rudy Tomjanovich,Houston Rockets,F,,
CD,Carroll Dawson,Houston Rockets,—,,
30,George McGinnis,Indiana Pacers,F,,
31,Reggie Miller,Indiana Pacers,G,,
34,Mel Daniels,Indiana Pacers,C,,
35,Roger Brown,Indiana Pacers,F,,
529,Bobby Leonard,Indiana Pacers,—,,As head coach; the number represents his 529 victories coaching the Pacers.
13,Wilt Chamberlain,Los Angeles Lakers,C,,
22,Elgin Baylor,Los Angeles Lakers,F,,
25,Gail Goodrich,Los Angeles Lakers,G,,
32,"Earvin \Magic\"" Johnson""",Los Angeles Lakers,G,,Also served as head coach in 1994.
33,Kareem Abdul-Jabbar,Los Angeles Lakers,C,,
34,Shaquille O'Neal,Los Angeles Lakers,C,,
42,James Worthy,Los Angeles Lakers,F,,
44,Jerry West,Los Angeles Lakers,G,,
52,Jamaal Wilkes,Los Angeles Lakers,F,,
Microphone,Chick Hearn,Los Angeles Lakers,—,,As broadcaster.
10,Tim Hardaway,Miami Heat,G,,
23,Michael Jordan,Miami Heat,G,—,"Never played for the franchise; number retired for \contributions to basketball\""."""
32,Shaquille O'Neal,Miami Heat,C,,
33,Alonzo Mourning,Miami Heat,C,,
1,Oscar Robertson,Milwaukee Bucks,G,,
2,Junior Bridgeman,Milwaukee Bucks,F,,
4,Sidney Moncrief,Milwaukee Bucks,G,,
14,Jon McGlocklin,Milwaukee Bucks,G,,
16,Bob Lanier,Milwaukee Bucks,C,,
32,Brian Winters,Milwaukee Bucks,G,,
33,Kareem Abdul-Jabbar,Milwaukee Bucks,C,,Served under the name of Lew Alcindor for two seasons before becoming Kareem Abdul-Jabbar.
2,Malik Sealy,Minnesota Timberwolves,F,,Died in a car crash while playing for the team. His jersey was retired posthumously.
7,Pete Maravich,New Orleans Pelicans,G,—,
13,Bobby Phills,New Orleans Pelicans,G,,Died in a car crash while playing for the team; with the team when it was in Charlotte. His jersey was retired posthumously.
10,Walt Frazier,New York Knicks,G,,Also served as a broadcaster.
12,Dick Barnett,New York Knicks,G,,
15,Earl Monroe,New York Knicks,G,,
15,Dick McGuire,New York Knicks,G,,
18,Phil Jackson,New York Knicks,C,,
19,Willis Reed,New York Knicks,C,,
22,Dave DeBusschere,New York Knicks,F,,
24,Bill Bradley,New York Knicks,F,,
33,Patrick Ewing,New York Knicks,C,,
613,Red Holzman,New York Knicks,—,,As head coach; the number represents his 613 victories coaching the Knicks.
6,The fans,Orlando Magic,—,—,
2,Moses Malone,Philadelphia 76ers,C,,"Not officially retired, but taken out of circulation."
3,Allen Iverson,Philadelphia 76ers,G,,
6,Julius Erving,Philadelphia 76ers,F,,
10,Maurice Cheeks,Philadelphia 76ers,G,,
13,Wilt Chamberlain,Philadelphia 76ers,C,,
15,Hal Greer,Philadelphia 76ers,G,,
24,Bobby Jones,Philadelphia 76ers,F,,
32,Billy Cunningham,Philadelphia 76ers,F,,
34,Charles Barkley,Philadelphia 76ers,F,,
Microphone,Dave Zinkoff,Philadelphia 76ers,—,,As P.A. announcer.
5,Dick Van Arsdale,Phoenix Suns,G,,Also served as head coach (1987).
6,Walter Davis,Phoenix Suns,G,,
7,Kevin Johnson,Phoenix Suns,G,,
9,Dan Majerle,Phoenix Suns,F,,
24,Tom Chambers,Phoenix Suns,F,,Currently an announcer for Suns games.
33,Alvan Adams,Phoenix Suns,C,,
34,Charles Barkley,Phoenix Suns,F,,
42,Connie Hawkins,Phoenix Suns,F,,
44,Paul Westphal,Phoenix Suns,G,,
—,Jerry Colangelo,Phoenix Suns,—,,
—,Cotton Fitzsimmons,Phoenix Suns,—,,As head coach; inducted in the Suns' Ring of Honor posthumously.
—,John MacLeod,Phoenix Suns,—,,
—,Joe Proski,Phoenix Suns,—,,As athletic trainer.
1,Larry Weinberg,Portland Trail Blazers,—,,As team founder and owner; number still available.
13,Dave Twardzik,Portland Trail Blazers,G,,
14,Lionel Hollins,Portland Trail Blazers,G,,
15,Larry Steele,Portland Trail Blazers,G,,
20,Maurice Lucas,Portland Trail Blazers,F,,
22,Clyde Drexler,Portland Trail Blazers,G,,
30,Terry Porter,Portland Trail Blazers,G,,
30,Bob Gross,Portland Trail Blazers,F,,
32,Bill Walton,Portland Trail Blazers,C,,
36,Lloyd Neal,Portland Trail Blazers,C,,
45,Geoff Petrie,Portland Trail Blazers,G,,
77,Jack Ramsay,Portland Trail Blazers,—,,As head coach; the number represents the 1977 NBA Championship he won while coaching the Blazers.
1,Nate Archibald,Sacramento Kings,G,,
2,Mitch Richmond,Sacramento Kings,G,,
4,Chris Webber,Sacramento Kings,F,,
6,The fans,Sacramento Kings,,,
11,Bob Davies,Sacramento Kings,G,,The team was then known as the Rochester Royals.
12,Maurice Stokes,Sacramento Kings,F,,
14,Oscar Robertson,Sacramento Kings,G,,The team was then known as the Cincinnati Royals.
21,Vlade Divac,Sacramento Kings,C,,
27,Jack Twyman,Sacramento Kings,F,,
44,Sam Lacey,Sacramento Kings,C,,
00,Johnny Moore,San Antonio Spurs,G,,
6,Avery Johnson,San Antonio Spurs,G,,
12,Bruce Bowen,San Antonio Spurs,F,,
13,James Silas,San Antonio Spurs,G,,
32,Sean Elliott,San Antonio Spurs,F,,
44,George Gervin,San Antonio Spurs,G,,
50,David Robinson,San Antonio Spurs,C,,
1,Gus Williams,Seattle SuperSonics,G,,
10,Nate McMillan,Seattle SuperSonics,G,,
19,Lenny Wilkens,Seattle SuperSonics,G,,
24,Spencer Haywood,Seattle SuperSonics,F,,
32,Fred Brown,Seattle SuperSonics,G,,
43,Jack Sikma,Seattle SuperSonics,C,,
Microphone,Bob Blackburn,Seattle SuperSonics,—,,Announcer for the Seattle SuperSonics.
1,Frank Layden,Utah Jazz,—,,
4,Adrian Dantley,Utah Jazz,F,,
7,Pete Maravich,Utah Jazz,G,,
9,Larry Miller,Utah Jazz,—,,As owner.
12,John Stockton,Utah Jazz,G,,
14,Jeff Hornacek,Utah Jazz,G,,
32,Karl Malone,Utah Jazz,F,,
35,Darrell Griffith,Utah Jazz,G,,
53,Mark Eaton,Utah Jazz,C,,
"1,223",Jerry Sloan,Utah Jazz,—,,As head coach; the number represents his 1223 victories coaching the Jazz.
Microphone,Rod Hundley,Utah Jazz,—,,As broadcaster.
10,Earl Monroe,Washington Wizards,G,,The team was then known as the Baltimore Bullets.
11,Elvin Hayes,Washington Wizards,F,,
25,Gus Johnson,Washington Wizards,F,,The team was then known as the Baltimore Bullets.
41,Wes Unseld,Washington Wizards,C,,
