name,county,population (2012 est ),population (2010),land area
Gig Harbor,Pierce,7549,7126,5.95 sq mi (15.4 km2)
Gold Bar,Snohomish,2101,2075,1.03 sq mi (2.7 km2)
Goldendale,Klickitat,3471,3407,2.52 sq mi (6.5 km2)
Grand Coulee,Grant,1044,988,1.19 sq mi (3.1 km2)
Grandview,Yakima,11012,10862,6.23 sq mi (16.1 km2)
Granger,Yakima,3298,3246,1.79 sq mi (4.6 km2)
Granite Falls,Snohomish,3416,3364,2.18 sq mi (5.6 km2)
Harrington,Lincoln,420,424,0.38 sq mi (0.98 km2)
Hoquiam,Grays Harbor,8535,8726,9.02 sq mi (23.4 km2)
Ilwaco,Pacific,936,936,2.10 sq mi (5.4 km2)
Issaquah,King,32633,30434,11.38 sq mi (29.5 km2)
Kahlotus,Franklin,204,193,0.47 sq mi (1.2 km2)
Kalama,Cowlitz,2346,2344,2.77 sq mi (7.2 km2)
Kelso,Cowlitz,11832,11925,8.14 sq mi (21.1 km2)
Kenmore,King,21280,20460,6.15 sq mi (15.9 km2)
Kennewick,Benton,75971,73917,26.93 sq mi (69.7 km2)
Kent,King,122999,92411,28.63 sq mi (74.2 km2)
Kettle Falls,Stevens,1593,1595,1.07 sq mi (2.8 km2)
Kirkland,King,50697,48787,10.79 sq mi (27.9 km2)
Kittitas,Kittitas,1405,1381,0.76 sq mi (2.0 km2)
La Center,Clark,2852,2800,1.27 sq mi (3.3 km2)
Lacey,Thurston,43860,42393,16.06 sq mi (41.6 km2)
Lake Forest Park,King,12972,12598,3.53 sq mi (9.1 km2)
Lake Stevens,Snohomish,29104,28069,8.88 sq mi (23.0 km2)
Lakewood,Pierce,58852,58163,17.17 sq mi (44.5 km2)
Langley,Island,1041,1035,1.08 sq mi (2.8 km2)
Leavenworth,Chelan,1993,1965,1.23 sq mi (3.2 km2)
Liberty Lake,Spokane,7889,7591,6.14 sq mi (15.9 km2)
Long Beach,Pacific,1393,1392,1.35 sq mi (3.5 km2)
Longview,Cowlitz,36458,36648,14.48 sq mi (37.5 km2)
Lynden,Whatcom,12605,11951,5.17 sq mi (13.4 km2)
Lynnwood,Snohomish,36275,35836,7.84 sq mi (20.3 km2)
Mabton,Yakima,2324,2286,0.80 sq mi (2.1 km2)
Maple Valley,King,24171,22684,5.72 sq mi (14.8 km2)
Marysville,Snohomish,62402,60020,20.68 sq mi (53.6 km2)
Mattawa,Grant,4543,4437,0.74 sq mi (1.9 km2)
McCleary,Grays Harbor,1647,1653,2.05 sq mi (5.3 km2)
Medical Lake,Spokane,4940,5060,3.40 sq mi (8.8 km2)
Medina,King,3029,2969,1.44 sq mi (3.7 km2)
Mercer Island,King,23661,22699,6.32 sq mi (16.4 km2)
Mesa,Franklin,518,489,1.64 sq mi (4.2 km2)
Mill Creek,Snohomish,18671,18244,4.67 sq mi (12.1 km2)
Millwood,Spokane,1797,1786,0.70 sq mi (1.8 km2)
Milton,Pierce King,7048,6968,2.51 sq mi (6.5 km2)
Monroe,Snohomish,17503,17304,6.05 sq mi (15.7 km2)
Montesano,Grays Harbor,3962,3976,10.41 sq mi (27.0 km2)
Morton,Lewis,1132,1126,0.82 sq mi (2.1 km2)
Moses Lake,Grant,21182,20366,15.75 sq mi (40.8 km2)
Mossyrock,Lewis,764,759,0.68 sq mi (1.8 km2)
Mount Vernon,Skagit,32287,31743,12.30 sq mi (31.9 km2)
Mountlake Terrace,Snohomish,20198,19909,4.06 sq mi (10.5 km2)
Moxee,Yakima,3361,3308,1.69 sq mi (4.4 km2)
Mukilteo,Snohomish,20605,20254,6.40 sq mi (16.6 km2)
Napavine,Lewis,1778,1766,2.38 sq mi (6.2 km2)
Newcastle,King,10792,10380,4.45 sq mi (11.5 km2)
Newport,Pend Oreille,2116,2126,1.07 sq mi (2.8 km2)
Nooksack,Whatcom,1355,1338,0.70 sq mi (1.8 km2)
Normandy Park,King,6504,6335,2.52 sq mi (6.5 km2)
North Bend,King,6030,5731,4.27 sq mi (11.1 km2)
North Bonneville,Skamania,963,956,2.41 sq mi (6.2 km2)
Oak Harbor,Island,22260,22075,9.42 sq mi (24.4 km2)
Oakville,Grays Harbor,682,684,0.50 sq mi (1.3 km2)
Ocean Shores,Grays Harbor,5622,5569,8.51 sq mi (22.0 km2)
Okanogan,Okanogan,2568,2552,1.95 sq mi (5.1 km2)
Olympia,Thurston,47698,46478,17.82 sq mi (46.2 km2)
Omak,Okanogan,4881,4845,3.50 sq mi (9.1 km2)
Oroville,Okanogan,1698,1686,1.64 sq mi (4.2 km2)
Orting,Pierce,6872,6746,2.73 sq mi (7.1 km2)
Othello,Adams,7532,7364,3.81 sq mi (9.9 km2)
Pacific,King Pierce,6838,6606,2.42 sq mi (6.3 km2)
Palouse,Whitman,1011,998,1.08 sq mi (2.8 km2)
Pasco,Franklin,65398,59781,30.50 sq mi (79.0 km2)
Pateros,Okanogan,673,667,0.49 sq mi (1.3 km2)
Pomeroy,Garfield,1422,1425,1.78 sq mi (4.6 km2)
Port Angeles,Clallam,19056,19038,10.70 sq mi (27.7 km2)
Port Orchard,Kitsap,11680,11144,7.24 sq mi (18.8 km2)
Port Townsend,Jefferson,9117,9113,6.98 sq mi (18.1 km2)
Poulsbo,Kitsap,9393,9200,4.67 sq mi (12.1 km2)
Prescott,Walla Walla,323,318,0.40 sq mi (1.0 km2)
Prosser,Benton,5799,5714,4.49 sq mi (11.6 km2)
Pullman,Whitman,31359,29799,9.88 sq mi (25.6 km2)
Puyallup,Pierce,38147,37022,13.93 sq mi (36.1 km2)
Quincy,Grant,7013,6750,4.96 sq mi (12.8 km2)
Rainier,Thurston,1826,1794,1.73 sq mi (4.5 km2)
Raymond,Pacific,2883,2882,4.06 sq mi (10.5 km2)
Redmond,King,56561,54144,16.28 sq mi (42.2 km2)
Renton,King,95448,90927,23.12 sq mi (59.9 km2)
Republic,Ferry,1093,1073,1.59 sq mi (4.1 km2)
Richland,Benton,51440,48058,35.72 sq mi (92.5 km2)
Ridgefield,Clark,5260,4763,7.08 sq mi (18.3 km2)
Ritzville,Adams,1699,1673,1.70 sq mi (4.4 km2)
Rock Island,Douglas,799,788,0.61 sq mi (1.6 km2)
Roslyn,Kittitas,910,893,4.37 sq mi (11.3 km2)
Roy,Pierce,803,793,0.49 sq mi (1.3 km2)
Royal City,Grant,2193,2140,1.35 sq mi (3.5 km2)
Ruston,Pierce,759,749,0.26 sq mi (0.67 km2)
Sammamish,King,49069,45780,18.22 sq mi (47.2 km2)
SeaTac,King,27667,26909,10.03 sq mi (26.0 km2)
Seattle,King,634535,608660,83.94 sq mi (217.4 km2)
Sedro-Woolley,Skagit,10636,10540,3.81 sq mi (9.9 km2)
Selah,Yakima,7333,7147,4.44 sq mi (11.5 km2)
Sequim,Clallam,6624,6606,6.31 sq mi (16.3 km2)
Shelton,Mason,9800,9834,5.76 sq mi (14.9 km2)
Shoreline,King,54352,53007,11.67 sq mi (30.2 km2)
Snohomish,Snohomish,9275,9098,3.44 sq mi (8.9 km2)
Snoqualmie,King,11594,10670,6.40 sq mi (16.6 km2)
Soap Lake,Grant,1550,1514,1.25 sq mi (3.2 km2)
South Bend,Pacific,1631,1637,1.62 sq mi (4.2 km2)
Spangle,Spokane,280,278,0.36 sq mi (0.93 km2)
Spokane,Spokane,209525,208916,59.25 sq mi (153.5 km2)
Spokane Valley,Spokane,90641,89755,37.77 sq mi (97.8 km2)
Sprague,Lincoln,441,446,0.63 sq mi (1.6 km2)
Stanwood,Snohomish,6422,6231,2.82 sq mi (7.3 km2)
Stevenson,Skamania,1473,1465,1.64 sq mi (4.2 km2)
Sultan,Snohomish,4710,4651,3.15 sq mi (8.2 km2)
Sumas,Whatcom,1325,1307,1.48 sq mi (3.8 km2)
Sumner,Pierce,9541,9451,7.51 sq mi (19.5 km2)
Sunnyside,Yakima,16054,15858,6.63 sq mi (17.2 km2)
Tacoma,Pierce,202010,198397,49.72 sq mi (128.8 km2)
Tekoa,Whitman,787,778,1.14 sq mi (3.0 km2)
Tenino,Thurston,1724,1695,1.44 sq mi (3.7 km2)
Tieton,Yakima,1211,1191,0.82 sq mi (2.1 km2)
Toledo,Lewis,729,725,0.40 sq mi (1.0 km2)
Tonasket,Okanogan,1038,1032,0.80 sq mi (2.1 km2)
Toppenish,Yakima,9017,8949,2.09 sq mi (5.4 km2)
Tukwila,King,19611,19107,9.17 sq mi (23.8 km2)
Tumwater,Thurston,18102,17371,14.32 sq mi (37.1 km2)
Union Gap,Yakima,6060,6047,5.05 sq mi (13.1 km2)
University Place,Pierce,31562,31144,8.42 sq mi (21.8 km2)
Vader,Lewis,626,621,0.93 sq mi (2.4 km2)
Vancouver,Clark,165489,161791,46.46 sq mi (120.3 km2)
Waitsburg,Walla Walla,1235,1217,1.11 sq mi (2.9 km2)
Walla Walla,Walla Walla,31864,31731,12.80 sq mi (33.2 km2)
Wapato,Yakima,5065,4997,1.17 sq mi (3.0 km2)
Warden,Grant,2758,2692,2.58 sq mi (6.7 km2)
Washougal,Clark,14584,14095,5.42 sq mi (14.0 km2)
Wenatchee,Chelan,32562,31925,7.77 sq mi (20.1 km2)
West Richland,Benton,12663,11811,21.92 sq mi (56.8 km2)
Westport,Grays Harbor,2092,2099,3.70 sq mi (9.6 km2)
White Salmon,Klickitat,2266,2224,1.22 sq mi (3.2 km2)
Winlock,Lewis,1346,1339,1.29 sq mi (3.3 km2)
Woodinville,King,11234,10938,5.60 sq mi (14.5 km2)
Woodland,Cowlitz Clark,5540,5509,3.37 sq mi (8.7 km2)
Woodway,Snohomish,1324,1307,1.11 sq mi (2.9 km2)
Yakima,Yakima,93101,91067,27.18 sq mi (70.4 km2)
Yelm,Thurston,7121,6848,5.68 sq mi (14.7 km2)
Zillah,Yakima,3011,2964,1.78 sq mi (4.6 km2)
