County,Feinstein,Votes,Seymour,Votes.1,Horne,Votes.2,Meeu.,Votes.3,Boddie,Votes.4,W/I,V's
Tuolumne,50.56%,11895,40.59%,9550,2.90%,682,3.40%,801,2.54%,597,0.01%,2
Stanislaus,50.11%,62110,41.59%,51549,2.84%,3519,3.49%,4325,1.98%,2450,0.00%,0
Santa Barbara,49.63%,77900,42.71%,67043,3.43%,5386,2.25%,3535,1.98%,3101,0.00%,0
San Joaquin,48.90%,76607,43.11%,67531,2.78%,4360,3.27%,5123,1.94%,3043,0.00%,1
Imperial,48.77%,12433,43.42%,11070,3.77%,962,2.55%,651,1.48%,378,0.00%,0
Amador,48.29%,7319,42.64%,6463,2.40%,364,4.07%,617,2.60%,394,0.00%,0
Alpine,47.91%,287,42.07%,252,3.01%,18,4.51%,27,2.50%,15,0.00%,0
Merced,47.61%,22010,43.79%,20246,2.79%,1289,2.95%,1365,2.86%,1323,0.00%,0
San L. Obispo,47.47%,48376,43.94%,44775,2.54%,2587,3.08%,3134,2.97%,3030,0.00%,0
San Diego,46.97%,442855,43.63%,411362,3.21%,30287,3.09%,29149,3.10%,29212,0.00%,3
Calaveras,46.64%,7839,42.00%,7059,2.32%,390,5.38%,905,3.65%,614,0.00%,0
Plumas,46.44%,4647,43.64%,4367,2.30%,230,4.53%,453,3.10%,310,0.00%,0
Nevada,46.04%,20044,44.73%,19476,2.90%,1261,3.32%,1444,3.02%,1313,0.00%,0
Placer,45.75%,40511,45.73%,40497,2.38%,2109,3.30%,2920,2.84%,2518,0.00%,0
Mariposa,45.38%,3681,43.98%,3568,3.09%,251,5.07%,411,2.48%,201,0.00%,0
El Dorado,45.34%,28957,45.56%,29101,2.37%,1512,3.80%,2427,2.93%,1873,0.00%,0
Ventura,45.30%,119366,46.32%,122064,2.72%,7167,3.04%,8019,2.61%,6882,0.00%,1
Sierra,45.12%,818,44.57%,808,2.48%,45,3.47%,63,4.36%,79,0.00%,0
Mono,45.11%,1931,44.64%,1911,2.83%,121,3.95%,169,3.48%,149,0.00%,0
Fresno,45.07%,94988,48.48%,102172,2.32%,4888,2.25%,4740,1.88%,3959,0.00%,4
Butte,44.72%,37396,45.57%,38111,2.96%,2477,3.56%,2980,3.19%,2666,0.00%,0
Riverside,44.56%,187548,45.44%,191258,3.52%,14808,3.95%,16632,2.54%,10689,0.00%,0
Siskiyou,44.35%,8963,45.42%,9180,2.34%,473,5.16%,1043,2.73%,551,0.00%,0
San Bernardino,44.35%,200979,45.67%,206969,3.64%,16511,3.71%,16804,2.61%,11825,0.01%,48
Trinity,42.41%,2743,43.66%,2824,3.80%,246,6.29%,407,3.83%,248,0.00%,0
Yuba,40.76%,6890,46.63%,7882,3.07%,518,6.09%,1030,3.45%,584,0.00%,0
Kings,40.70%,9805,50.29%,12115,3.74%,901,3.57%,860,1.70%,410,0.00%,0
Lassen,40.39%,4005,47.64%,4724,3.29%,326,5.59%,554,3.10%,307,0.00%,0
Orange,39.87%,377170,50.93%,481810,2.86%,27056,3.42%,32316,2.93%,27729,0.00%,0
Madera,39.79%,11682,52.14%,15309,2.94%,862,3.63%,1066,1.50%,441,0.00%,0
Tehama,39.31%,8253,48.19%,10116,2.99%,627,5.43%,1140,4.08%,856,0.00%,0
Shasta,37.81%,25111,51.48%,34192,2.90%,1928,4.62%,3070,3.19%,2116,0.00%,0
Colusa,37.58%,2083,54.37%,3014,2.53%,140,3.18%,176,2.35%,130,0.00%,0
Inyo,37.41%,3067,52.66%,4318,2.68%,220,4.34%,356,2.90%,238,0.00%,0
Sutter,36.43%,9135,53.54%,13427,2.38%,596,5.24%,1313,2.42%,606,0.00%,0
Kern,36.31%,63661,54.46%,95483,3.22%,5640,3.59%,6289,2.43%,4258,0.00%,3
Modoc,35.77%,1572,52.95%,2327,3.00%,132,5.21%,229,3.07%,135,0.00%,0
Tulare,35.71%,30665,56.46%,48493,2.72%,2332,3.11%,2674,2.00%,1720,0.00%,0
Glenn,33.10%,2864,56.73%,4908,2.51%,217,4.81%,416,2.85%,247,0.00%,0
