Rank,Bib,Athlete,Country,Time,Deficit,Note
74.0,86,Irina Khodiakova,Kyrgyzstan,3:52.24,+48.35,
75.0,79,Vera Viczián,Hungary,3:54.40,+50.51,
76.0,82,Rosana Kiroska,Macedonia,3:55.96,+52.07,
77.0,75,Kristine Liepiņa,Latvia,3:57.70,+53.81,
78.0,77,Ágnes Simon,Hungary,4:04.44,+1:00.55,
79.0,81,Natālija Kovaļova,Latvia,4:08.67,+1:04.78,
80.0,87,Ildiko Papp,Hungary,4:11.74,+1:07.85,
81.0,83,Viktoria Zámbo,Hungary,4:21.85,+1:17.86,
82.0,73,Syuzanna Varosyan,Armenia,4:25.77,+1:21.88,
83.0,85,Ana Angelova,Macedonia,4:30.67,+1:26.78,
84.0,76,Valya Varosyan,Armenia,4:30.74,+1:26.85,
85.0,80,Zane Eglīte,Latvia,4:37.37,+1:33.48,
86.0,78,Olga Reshetkova,Kyrgyzstan,4:43.84,+1:39.95,
,61,Brooke Gosling,Canada,DNS,,
