city,county(ies),population (2000 census),population (2010 census),class,incorporation date
Glenwood City,St. Croix,1183,1242,4th,1895
Green Bay,Brown,102767,104057,2nd,1854
Greenfield,Milwaukee,35476,36720,3rd,1957
Green Lake,Green Lake,1100,960,4th,1962
Greenwood,Clark,1079,1026,4th,1891
Hartford,Dodge Washington,10905,14223,3rd,1883
Hayward,Sawyer,2129,2318,4th,1915
Hillsboro,Vernon,1302,1417,4th,1885
Horicon,Dodge,3775,3655,4th,1897
Hudson,St. Croix,8775,12719,4th,1858
Hurley,Iron,1818,1547,4th,1918
Independence,Trempealeau,1244,1336,4th,1942
Janesville,Rock,59498,63575,2nd,1853
Jefferson,Jefferson,7338,7973,4th,1878
Juneau,Dodge,2485,2814,4th,1887
Kaukauna,Outagamie,12983,15462,3rd,1885
Kenosha,Kenosha,90352,99218,2nd,1850
Kewaunee,Kewaunee,2806,2952,4th,1883
Kiel,Calumet Manitowoc,3450,3738,4th,1920
La Crosse,La Crosse,51818,51320,2nd,1856
Ladysmith,Rusk,3932,3414,4th,1905
Lake Geneva,Walworth,7148,7651,4th,1883
Lake Mills,Jefferson,4843,5708,4th,1905
Lancaster,Grant,4070,3868,4th,1878
Lodi,Columbia,2882,3050,4th,1941
Loyal,Clark,1308,1261,4th,1948
Madison,Dane,208054,233209,2nd,1856
Manawa,Waupaca,1330,1371,4th,1954
Manitowoc,Manitowoc,34053,33736,3rd,1870
Marinette,Marinette,11749,10968,3rd,1887
Marion,Shawano Waupaca,1297,1260,4th,1898
Markesan,Green Lake,1396,1476,4th,1959
Marshfield,Marathon Wood,18800,19118,3rd,1883
Mauston,Juneau,3740,4423,4th,1883
Mayville,Dodge,4902,5154,4th,1885
Medford,Taylor,4350,4326,4th,1889
Mellen,Ashland,845,731,4th,1907
Menasha,Calumet Winnebago,16331,17353,3rd,1874
Menomonie,Dunn,14937,16264,4th,1882
Mequon,Ozaukee,22643,23132,4th,1957
Merrill,Lincoln,10146,9661,4th,1883
Middleton,Dane,15770,17442,3rd,1963
Milton,Rock,5132,5546,4th,1969
Milwaukee,Milwaukee Washington Waukesha,596974,594833,1st,1846
Mineral Point,Iowa,2617,2487,4th,1857
Mondovi,Buffalo,2634,2777,4th,1889
Monona,Dane,8018,7533,4th,1969
Monroe,Green,10843,10827,4th,1882
Montello,Marquette,1397,1495,4th,1938
Montreal,Iron,838,807,4th,1924
Mosinee,Marathon,4063,3988,4th,1931
Muskego,Waukesha,21397,24135,3rd,1964
Neenah,Winnebago,24507,25501,3rd,1873
Neillsville,Clark,2731,2463,4th,1882
Nekoosa,Wood,2590,2580,4th,1926
New Berlin,Waukesha,38220,39584,3rd,1959
New Holstein,Calumet,3301,3236,4th,1889
New Lisbon,Juneau,1436,2554,4th,1889
New London,Outagamie Waupaca,7085,7295,4th,1877
New Richmond,St. Croix,6310,8375,4th,1885
Niagara,Marinette,1880,1624,4th,1992
Oak Creek,Milwaukee,28456,34451,3rd,1955
Oconomowoc,Waukesha,12382,15712,3rd,1875
Oconto,Oconto,4708,4513,4th,1869
Oconto Falls,Oconto,2843,2891,4th,1919
Omro,Winnebago,3177,3517,4th,1944
Onalaska,La Crosse,14839,17736,4th,1887
Oshkosh,Winnebago,62916,66083,2nd,1853
Osseo,Trempealeau,1669,1701,4th,1941
Owen,Clark,936,940,4th,1925
Park Falls,Price,2739,2462,4th,1912
Peshtigo,Marinette,3474,3502,4th,1903
Pewaukee,Waukesha,11783,13195,3rd,1999
Phillips,Price,1675,1478,4th,1891
Pittsville,Wood,866,874,4th,1887
Platteville,Grant,9989,11224,4th,1876
Plymouth,Sheboygan,7781,8445,4th,1877
Port Washington,Ozaukee,10467,11250,4th,1882
Portage,Columbia,9728,10324,4th,1854
Prairie du Chien,Crawford,6018,5911,4th,1872
Prescott,Pierce,3764,4258,4th,1857
Princeton,Green Lake,1504,1214,4th,1920
Racine,Racine,81855,78860,2nd,1848
Reedsburg,Sauk,7827,10014,4th,1887
Rhinelander,Oneida,7735,7798,4th,1894
Rice Lake,Barron,8312,8438,4th,1887
Richland Center,Richland,5114,5184,4th,1887
Ripon,Fond du Lac,7450,7733,4th,1858
River Falls,Pierce St. Croix,12560,15000,3rd,1875
St. Croix Falls,Polk,2033,2133,4th,1958
St. Francis,Milwaukee,8662,9365,4th,1951
Schofield,Marathon,2117,2169,4th,1951
Seymour,Outagamie,3335,3451,4th,1879
Shawano,Shawano,8298,9305,4th,1874
Sheboygan,Sheboygan,50792,49288,2nd,1853
Sheboygan Falls,Sheboygan,6772,7775,4th,1913
Shell Lake,Washburn,1309,1347,4th,1961
Shullsburg,Lafayette,1246,1226,4th,1889
South Milwaukee,Milwaukee,21256,21156,4th,1897
Sparta,Monroe,8648,9522,4th,1883
Spooner,Washburn,2653,2682,4th,1909
Stanley,Chippewa Clark,1898,3608,4th,1898
Stevens Point,Portage,24551,26717,3rd,1858
Stoughton,Dane,12354,12611,4th,1882
Sturgeon Bay,Door,9437,9144,4th,1883
Sun Prairie,Dane,20369,29364,3rd,1958
Superior,Douglas,27368,27244,2nd,1858
Thorp,Clark,1536,1621,4th,1948
Tomah,Monroe,8419,9093,4th,1883
Tomahawk,Lincoln,3770,3397,4th,1891
Two Rivers,Manitowoc,12639,11712,3rd,1878
Verona,Dane,7052,10619,4th,1977
Viroqua,Vernon,4335,5079,4th,1885
Washburn,Bayfield,2280,2117,4th,1904
Waterloo,Jefferson,3259,3333,4th,1962
Watertown,Dodge Jefferson,21598,23861,3rd,1853
Waukesha,Waukesha,64825,70718,2nd,1895
Waupaca,Waupaca,5676,6069,4th,1878
Waupun,Dodge Fond du Lac,10944,11340,4th,1878
Wausau,Marathon,38426,39106,3rd,1872
Wautoma,Waushara,1998,2218,4th,1901
Wauwatosa,Milwaukee,47271,46396,2nd,1897
West Allis,Milwaukee,61254,60411,2nd,1906
West Bend,Washington,28152,31078,3rd,1885
Westby,Vernon,2045,2200,4th,1920
Weyauwega,Waupaca,1806,1900,4th,1939
Whitehall,Trempealeau,1651,1558,4th,1941
Whitewater,Jefferson Walworth,13437,14390,4th,1885
Wisconsin Dells,Adams Columbia Juneau Sauk,2418,2678,4th,1925
Wisconsin Rapids,Wood,18435,18367,3rd,1869
