Number,Event,Type,Matthew,Mark,Luke,John
73,Parable of the Sower,parable,,,,
74,The Birds of Heaven,ministry,,,,
75,The Tares,parable,,,,
76,The Barren Fig Tree,parable,,,,
77,An Infirm Woman,miracle,,,,
78,Parable of the Mustard Seed,parable,,,,
79,The Leaven,parable,,,,
80,Parable of the Pearl,parable,,,,
81,Drawing in the Net,parable,,,,
82,The Hidden Treasure,parable,,,,
83,Rejection of Jesus,ministry,,,,
84,Beheading of St. John the Baptist,ministry,,,,
85,Feeding the 5000,miracle,,,,
86,Jesus' walk on water,miracle,,,,
87,Healing in Gennesaret,miracle,,,,
88,Discourse on Defilement,sermon,,,,
89,Canaanite woman's daughter,miracle,,,,
90,Deaf mute of Decapolis,miracle,,,,
91,Feeding the 4000,miracle,,,,
92,Blind Man of Bethsaida,miracle,,,,
93,Confession of Peter,ministry,,,,
94,Transfiguration of Jesus,miracle,,,,
95,Boy possessed by a demon,miracle,,,,
96,Coin in the fish's mouth,miracle,,,,
97,Bread of Life Discourse,sermon,,,,
98,The Little Children,ministry,,,,
99,Man with dropsy,miracle,,,,
100,Counting the Cost,parable,,,,
101,The Lost Sheep,parable,,,,
102,The Unforgiving Servant,parable,,,,
103,The Little Children,ministry,,,,
104,The Lost Coin,parable,,,,
105,Parable of the Prodigal Son,parable,,,,
106,The Unjust Steward,parable,,,,
107,Rich man and Lazarus,parable,,,,
108,The Master and Servant,parable,,,,
109,Cleansing ten lepers,miracle,,,,
110,The Unjust Judge,parable,,,,
111,Pharisees and the Publican,parable,,,,
112,Jesus and the rich young man,ministry,,,,
113,Jesus and the woman taken in adultery,ministry,,,,
114,The Workers in the Vineyard,parable,,,,
115,Jesus predicts his death,ministry,,,,
116,The Blind at Birth,miracle,,,,
117,Son of man came to serve,ministry,,,,
118,The Good Shepherd,ministry,,,,
119,Blind near Jericho,miracle,,,,
120,Raising of Lazarus,miracle,,,,
121,Jesus and Zacchaeus,ministry,,,,
122,Palm Sunday,ministry,,,,
123,Cleansing of the Temple,ministry,,,,
124,Cursing the fig tree,miracle,,,,
125,Authority of Jesus Questioned,ministry,,,,
126,The Two Sons,parable,,,,
127,The Wicked Husbandmen,parable,,,,
128,The Great Banquet,parable,,,,
129,Render unto Caesar...,ministry,,,,
130,Woes of the Pharisees,ministry,,,,
131,Widow's mite,sermon,,,Luke 21:01-04,
132,Second Coming Prophecy,ministry,,,,
133,The Budding Fig Tree,parable,,,,
134,The Faithful Servant,parable,,,,
135,The Ten Virgins,parable,,,,
136,The Talents or Minas,parable,,,,
137,The Sheep and the Goats,parable,,,,
138,Anointing of Jesus,ministry,,Mark 14:03-09,,John 12:02-08
139,Bargain of Judas,miscellaneous,,,Luke 22:01-06,
140,The Grain of Wheat,ministry,,,,
141,Last Supper,ministry,,,,
142,Promising a Paraclete,ministry,,,,
143,Gethsemane,miscellaneous,,,,
144,The kiss of Judas,passion,,,,John 18:02-09
145,Healing the ear of a servant,miracle,,,,
146,Arrest of Jesus,passion,,,,
147,Sanhedrin Trial of Jesus,passion,,,,
148,Blood curse,passion,,,,
149,Carrying the cross,passion,,,,
150,Crucifixion of Jesus,passion,,,,
151,Myrrhbearers,resurrection appearance,Matthew 28:01,Mark 16:01,Luke 24:01,
152,Empty tomb,resurrection appearance,Matthew 28:02-08,Mark 16:02-08,,
153,Resurrection of Jesus,resurrection appearance,,,Luke 24:01-08,
154,Noli me tangere,resurrection appearance,,,,
155,Road to Emmaus appearance,resurrection appearance,,,,
156,Resurrected Jesus appears to Apostles,resurrection appearance,,,,
157,Great Commission,resurrection appearance,,,,
158,Doubting Thomas,resurrection appearance,,,,
159,Catch of 153 fish,miracle,,,,
160,Ascension of Jesus,resurrection appearance,,,,
