Yacht,Nation,Owner,Skipper,Launch year
Inner Circle,(NSW),Ken Robinson/Darren Cooney,Ken Robinson,1987.0
Jazz,,Chris Bull,Chris Bull,2003.0
Knee Deep,(WA),Philip Childs/Frank Van Ruth,Philip Childs,1999.0
Krakatoa II,(NSW),Rod Skellet,Rod Skellet,2006.0
Limit,(WA),Alan Brierty,Roger Hickman,2002.0
Living Doll,(VIC),Michael Hiatt,Michael Hiatt,2005.0
Matangi,(TAS),David Stephenson,David Stephenson,1989.0
Morna,(NSW),Greg Zyner,Greg Zyner,1995.0
Mr Beaks Ribs,(NSW),David Beak,David Beak,2004.0
Mr Kite,(NSW),Andrew Buckland/Andrew Hunn,Andrew Buckland/Andrew Hunn,2005.0
Namadgi,(ACT),Canberra Ocean Racing Club,Rick Scott-Murphy,2003.0
Noonmark VI,,Sir Geoffrey Mulcahy,Mike Gilburt,1998.0
Palandri Wines Minds Eye,(WA),Brad Skeggs,Brad Skeggs,2006.0
Papillon,(NSW),Phil Molony,Phil Molony,2005.0
Patrice Six,(NSW),Adrian Dunphy,Adrian Dunphy/ Tony Kirby,
Phillip's Foote Witchdoctor,(NSW),The Rum Consortium,Maurie Cameron,1979.0
Pirelli,(NSW),Martin James,Les Goodridge,1989.0
Pisces,(TAS),David Taylor,David Taylor,1998.0
Pretty Fly II,(NSW),Colin Woods,Colin Woods,2003.0
Pretty Woman,(NSW),R. Hudson/M. Lockley/R. Murphy,Richard Hudson,1996.0
Quantum Racing,(NSW),Ray Roberts,Ray Roberts,2007.0
Quetzalcoatl,(NSW),Bruce/Hampshire/Lee-Warner/Sweetapple,Antony Sweetapple,2001.0
Ragamuffin,(NSW),Syd Fischer,Syd Fischer,2004.0
Rosebud,,Roger Sturgeon,Roger Sturgeon,2007.0
Rush,(VIC),Ian and John Paterson,John Paterson,1997.0
Sailors With disABILITIES,(NSW),David Pescud,David Pescud/John Hearne,2000.0
Salona,(NSW),Phillip King,Phillip King,2006.0
Scarlet Runner,(VIC),Robert Date,Robert Date,2001.0
Secret Men's Business #1,(NSW),SMB Syndicate,Ross Trembath/R Curtis,1996.0
Sextant,(NSW),Denis Doyle,Denis Doyle,1999.0
She,(NSW),Peter Rodgers,Peter Rodgers,1981.0
Sheridan Road Rail (Tartan),(NSW),Ian Sanford,Ian Sanford,1984.0
Shogun,(VIC),Rob Hanna,Rob Hanna,2007.0
Skandia,(VIC),Grant Wharington,Grant Wharington,2003.0
Spirit of Koomooloo,(QLD),Mike Freebairn,Mike Freebairn,1968.0
Splash Gordon,(QLD),Stephen Ellis,Stephen Ellis,1998.0
Stormy Petrel,(NSW),Kevin O'Shea,Kevin O'Shea,1970.0
Swan Song,(NSW),Geoffrey Hill,Geoffrey Hill,2000.0
Swish,(NSW),Steven Proud,Steven Proud,2001.0
The Bigger Picture,(NSW),Mike Roberts/Anthony Hooper,Ian Douglas,2002.0
The Goat,(NSW),Foye/Gordon,Bruce Foye,2003.0
Toyota Aurion,(NSW),Andrew Short,Andrew Short,1993.0
True North,(SA),Andrew Saies,Andrew Saies,2000.0
Wedgetail,(QLD),Bill Wild,Bill Wild,2005.0
Wild Oats XI,(NSW),Bob Oatley,Mark Richards,2005.0
Wot Yot,(NSW),Graeme Wood,Graeme Wood,2000.0
Wot's Next,(NSW),Graeme Wood,Bill Sykes,2005.0
Yendys,(NSW),Geoff Ross,Geoff Ross,2006.0
Zen,(NSW),Gordon Ketelbey,Gordon Ketelbey,2004.0
Zephyr,(NSW),James Connell & Alex Brandon,James Connell,1984.0
