Name of place,Counties,Principal county,Lower zip code
Carmichael Hill,1,Oneida County,
Carnegie,1,Erie County,14075.0
Caroga,1,Fulton County,
Caroga Lake,1,Fulton County,12032.0
Caroline,1,Tompkins County,14817.0
Caroline,1,Tompkins County,
Caroline Center,1,Tompkins County,14817.0
Caroline Depot,1,Tompkins County,
Carpenters Corners,1,Fulton County,
Carroll,1,Cattaraugus County,
Carroll,1,Chautauqua County,
Carrollton,1,Cattaraugus County,14748.0
Carrollton,1,Cattaraugus County,
Carson,1,Steuben County,14823.0
Carterville,1,Oswego County,
Carthage,1,Jefferson County,13619.0
Carver,1,New York County,
Cascade,1,Cayuga County,13118.0
Cascade Valley,1,Broome County,
Case,1,Onondaga County,13084.0
Casowasco,1,Cayuga County,13118.0
Cass,1,Erie County,14206.0
Cassadaga,1,Chautauqua County,14718.0
Cassville,1,Oneida County,13318.0
Castile,1,Wyoming County,14427.0
Castile,1,Wyoming County,
Castile Center,1,Wyoming County,14427.0
Castle,1,Westchester County,10801.0
Castle Clinton National Monument,1,New York County,10005.0
Castle Creek,1,Broome County,13744.0
Castle Hill,1,Bronx County,10462.0
Castle Point,1,Dutchess County,12511.0
Castleton Corners,1,Richmond County,10314.0
Castleton on Hudson,1,Rensselaer County,12033.0
Castleton-on-Hudson,1,Rensselaer County,12033.0
Castorland,1,Lewis County,13620.0
Catatonk,1,Tioga County,13827.0
Catawba,1,Steuben County,
Catfish Corners,1,Oswego County,
Catharine,1,Schuyler County,14869.0
Catharine,1,Schuyler County,
Cathedral,1,New York County,10025.0
Catherine,1,Schuyler County,
Catherineville,1,St. Lawrence County,
Catlin,1,Chemung County,
Catlin Hill,1,Tioga County,
Town of Cato,1,Cayuga County,13033.0
Village of Cato,1,Cayuga County,
Caton,1,Steuben County,14830.0
Caton,1,Steuben County,
Cator Corners,1,Wayne County,
Catskill (town),1,Greene County,12414.0
Catskill (village),1,Greene County,
Cattaraugus,1,Cattaraugus County,14719.0
Cattaraugus Indian Reservation,3,Cattaraugus County,14204.0
Cattaraugus Indian Reservation,3,Chautauqua County,14204.0
Cattaraugus Indian Reservation,3,Erie County,14204.0
Cattaraugus Indian Reservation,1,Cattaraugus County,14204.0
Cattaraugus Indian Reservation,1,Chautauqua County,14204.0
Cattaraugus Indian Reservation,1,Erie County,14204.0
Cattown,1,Otsego County,13337.0
Caughdenoy,1,Oswego County,13036.0
Cauterskill,1,Greene County,
Cayuga,1,Cayuga County,13034.0
Cayuga Heights,1,Tompkins County,14850.0
Cayuga Junction,1,Cayuga County,
Cayuga Nation,2,Cattaraugus County,
Cayuga Nation,2,Cayuga County,
Cayuta,1,Schuyler County,14824.0
Cayuta,1,Schuyler County,
Cayutaville,1,Schuyler County,14805.0
Caywood,1,Seneca County,14860.0
Cazenovia,1,Madison County,13035.0
Cazenovia,1,Madison County,
Cecil Park,1,Westchester County,
Cedar Bluffs,1,Saratoga County,
Cedar Cliff,1,Orange County,
Cedarcrest,1,Livingston County,14487.0
Cedar Flats,1,Rockland County,10980.0
Cedar Hill,1,Albany County,12158.0
Cedarhurst,1,Nassau County,11516.0
Cedar Knolls,1,Westchester County,
Cedar Lake,1,Herkimer County,
Cedar Manor,1,Queens County,
Cedars,1,St. Lawrence County,
Cedar Swamp,1,Monroe County,
Cedarvale,1,Onondaga County,13215.0
Cedarville,1,Herkimer County,13357.0
Cedarville Station,1,Herkimer County,
Celoron,1,Chautauqua County,14720.0
Cementon,1,Greene County,12415.0
Centenary,1,Rockland County,10956.0
Center Avenue,1,Nassau County,
Center Berlin,1,Rensselaer County,12022.0
Center Brunswick,1,Rensselaer County,12180.0
Centerbury Hill,1,Oneida County,13440.0
Center Cambridge,1,Washington County,12816.0
Centereach,1,Suffolk County,11720.0
Center Falls,1,Washington County,12834.0
Centerfield,1,Ontario County,14424.0
Center Lisle,1,Broome County,13797.0
Center Moriches,1,Suffolk County,11934.0
Centerport,1,Cayuga County,13166.0
Centerport,1,Suffolk County,11721.0
Center Valley,1,Otsego County,
Center Village,1,Broome County,
Centerville,1,Allegany County,14029.0
Centerville,1,Allegany County,
Centerville,1,Delaware County,13756.0
Centerville,1,Oswego County,
Centerville,1,Suffolk County,
Centerville,1,Ulster County,
Center White Creek,1,Washington County,12057.0
Central,1,Queens County,11435.0
Central Bridge,1,Schoharie County,12035.0
Centralia,1,Chautauqua County,14782.0
Central Islip,1,Suffolk County,11722.0
Central Nyack,1,Rockland County,10960.0
Central Park,1,Erie County,14215.0
Central Square,1,Oswego County,13036.0
Central Valley,1,Orange County,10917.0
Central White Plains,1,Westchester County,10606.0
Centre Island,1,Nassau County,11771.0
Center Village,1,Broome County,13787.0
Centuck,1,Westchester County,10710.0
Ceres,1,Allegany County,14721.0
Chace,1,Wyoming County,
Chadwicks,1,Oneida County,13319.0
Chaffee,1,Erie County,14030.0
Chamberlain Corners,1,St. Lawrence County,13660.0
Chambers,1,Chemung County,14812.0
Champion,1,Jefferson County,13619.0
Champion,1,Jefferson County,
Champion Huddle,1,Jefferson County,13619.0
Champlain,1,Clinton County,12919.0
Champlain,1,Clinton County,
Champlain Park,1,Clinton County,12901.0
Champlain Park,1,Clinton County,12901.0
Chapel Hill Estates,1,Westchester County,10598.0
Chapin,1,Ontario County,14424.0
Chapinville,1,Otsego County,
Chappaqua,1,Westchester County,10514.0
Charleston,1,Montgomery County,
Charleston,1,Montgomery County,
Charleston,1,Richmond County,10301.0
Charleston Four Corners,1,Montgomery County,12166.0
Charlesworth Corners,1,Montgomery County,
Charlotte,1,Chautauqua County,
Charlotte,1,Monroe County,14612.0
Charlotte Center,1,Chautauqua County,14782.0
Charlotteville,1,Schoharie County,12036.0
Charlton,1,Saratoga County,12019.0
Charlton,1,Saratoga County,
Chase,1,Otsego County,
Chase Lake,1,Lewis County,13343.0
Chase Mills,1,St. Lawrence County,13621.0
Chaseville,1,Otsego County,12116.0
Chasm Falls,1,Franklin County,12953.0
Chateaugay,1,Franklin County,12920.0
Chateaugay,1,Franklin County,
Chateaugay,1,Oswego County,
Chatfield Corner,1,Saratoga County,
Chatham,1,Columbia County,12037.0
Chatham,1,Columbia County,
Chatham Center,1,Columbia County,12184.0
Chaumont,1,Jefferson County,13622.0
Chauncey,1,Westchester County,10502.0
Chautauqua,1,Chautauqua County,14722.0
Chautauqua,1,Chautauqua County,
Chautauqua Institution,1,Chautauqua County,
Chazy,1,Clinton County,12921.0
Chazy,1,Clinton County,
Chazy Lake,1,Clinton County,12935.0
Chazy Landing,1,Clinton County,12921.0
Chedwel,1,Chautauqua County,
Cheektowaga,1,Erie County,14225.0
Cheektowaga,1,Erie County,14225.0
Cheektowaga Northwest,1,Erie County,14225.0
Cheektowaga Southwest,1,Erie County,14227.0
Chelsea,1,Dutchess County,12512.0
Chelsea,1,Richmond County,10314.0
Chemung,1,Chemung County,14825.0
Chemung,1,Chemung County,
Chemung Center,1,Chemung County,14825.0
Chemung County Airport,1,Chemung County,14845.0
Chemung Junction,1,Chemung County,
Chenango,1,Broome County,
Chenango Bridge,1,Broome County,13745.0
Chenango Forks,1,Broome County,13746.0
Chenango Lake,1,Chenango County,13815.0
Cheneys Point,1,Chautauqua County,14710.0
Cheningo,1,Cortland County,13158.0
Chepachet,1,Herkimer County,
Cherokee,1,New York County,10028.0
Cherry Creek,1,Chautauqua County,14723.0
Cherry Creek,1,Chautauqua County,
Cherry Grove,1,Suffolk County,11782.0
Cherry Hill,1,Chautauqua County,
Cherryplain,1,Rensselaer County,12040.0
Cherrytown,1,Ulster County,12446.0
Cherry Valley,1,Otsego County,13320.0
Cherry Valley,1,Otsego County,
Cherry Valley Junction,1,Schoharie County,12043.0
Cheshire,1,Ontario County,14424.0
Chester,1,Orange County,10918.0
Chester,1,Orange County,
Chester,1,Warren County,
Chesterfield,1,Essex County,
Chester Heights,1,Westchester County,
Chester Hill Park,1,Westchester County,
Chestertown,1,Warren County,12817.0
Chestnut Hill,1,Onondaga County,13088.0
Chestnut Ridge,1,Dutchess County,
Chestnut Ridge,1,Niagara County,14094.0
Chestnut Ridge,1,Rockland County,10977.0
Cheviot,1,Columbia County,12526.0
Chichester,1,Ulster County,12416.0
Childs,1,Orleans County,14411.0
Childwold,1,St. Lawrence County,12922.0
Chili,1,Monroe County,
Chili,1,Monroe County,
Chili Center,1,Monroe County,14624.0
Chili Junction,1,Monroe County,
Chiloway,1,Delaware County,
Chilson,1,Essex County,12883.0
Chimney Corners,1,Westchester County,
China,1,Delaware County,13754.0
Chinatown,1,New York County,10013.0
Chipman,1,St. Lawrence County,
Chipman Corners,1,Cayuga County,
Chipmunk,1,Cattaraugus County,14706.0
Chippewa Bay,1,St. Lawrence County,13623.0
Chittenango,1,Madison County,13037.0
Chittenango,1,Madison County,
Chittenango Falls,1,Madison County,13035.0
Chittenango Springs,1,Madison County,
Choconut Center,1,Broome County,13905.0
Christian Hill,1,Tompkins County,
Christian Hill,1,Warren County,
Chuckery Corners,1,Oneida County,13323.0
Church Corners,1,Montgomery County,
Church Street,1,New York County,10007.0
Churchtown,1,Columbia County,12521.0
Churchville,1,Monroe County,14428.0
Churchville,1,Oneida County,13478.0
Churchville Greene,1,Monroe County,14428.0
Churubusco,1,Clinton County,12923.0
Cibro,1,Onondaga County,
Cicero,1,Onondaga County,13039.0
Cicero,1,Onondaga County,
Cicero Center,1,Onondaga County,13041.0
Cincinnatus,1,Cortland County,13040.0
Cincinnatus,1,Cortland County,
Circleville,1,Orange County,10919.0
City Island,1,Bronx County,10464.0
Clairemont Farms,1,Onondaga County,13088.0
Clare,1,St. Lawrence County,
Claremont Park,1,Bronx County,10457.0
Clarence,1,Erie County,14031.0
Clarence,1,Erie County,
Clarence Center,1,Erie County,14032.0
Clarence Compact,1,Erie County,
Clarendon,1,Orleans County,14429.0
Clarendon,1,Orleans County,
Clark,1,Chautauqua County,
Clark Corners,1,Lewis County,
Clark Corners,1,Oswego County,
Clark Heights,1,Dutchess County,12569.0
Clark Mills,1,Oneida County,13321.0
Clark Point,1,Jefferson County,
Clarksburg,1,Erie County,14057.0
Clarks Corner,1,Saratoga County,
Clarks Corners,1,Chautauqua County,14747.0
Clarks Mills,1,Washington County,12834.0
Clarkson,1,Monroe County,14430.0
Clarkson,1,Monroe County,
Clarkstown,1,Rockland County,
Clarksville,1,Albany County,12041.0
Clarksville,1,Allegany County,
Clarkville,1,Saratoga County,
Claryville,1,Sullivan County,12725.0
Clason Point,1,Bronx County,10473.0
Classon,1,Kings County,11238.0
Claverack,1,Columbia County,12513.0
Claverack,1,Columbia County,
Claverack-Red Mills,1,Columbia County,
Clay,1,Onondaga County,13041.0
Clay,1,Onondaga County,
Clayburg,1,Clinton County,12981.0
Clayton,1,Jefferson County,13624.0
Clayton,1,Jefferson County,
Clayton Center,1,Jefferson County,
Clayville,1,Oneida County,13322.0
Clear Creek,2,Cattaraugus County,14726.0
Clear Creek,2,Chautauqua County,14726.0
Clearfield,1,Erie County,14221.0
Cleaver,1,Delaware County,13856.0
Clemons,1,Washington County,12819.0
Clermont,1,Columbia County,12526.0
Clermont,1,Columbia County,
Cleveland,1,Oswego County,13042.0
Cleveland Hill,1,Erie County,14225.0
Cleverdale,1,Warren County,12820.0
Cliff Haven,1,Clinton County,12901.0
Clifford,1,Oswego County,13069.0
Cliffside,1,Otsego County,12116.0
Clifton,1,Monroe County,14428.0
Clifton,1,Richmond County,10304.0
Clifton,1,St. Lawrence County,
Clifton Gardens,1,Saratoga County,12065.0
Clifton Heights,1,Erie County,14085.0
Clifton Knolls,1,Saratoga County,12065.0
Clifton Park,1,Saratoga County,12065.0
Clifton Park,1,Saratoga County,
Clifton Park Center,1,Saratoga County,12065.0
Clifton Springs,1,Ontario County,14432.0
Climax,1,Greene County,12042.0
Clinton,1,Clinton County,
Clinton,1,Dutchess County,
Clinton,1,Oneida County,13323.0
Clinton Corners,1,Dutchess County,12514.0
Clinton County Airport,1,Clinton County,
Clintondale,1,Ulster County,
Clintondale,1,Ulster County,12515.0
Clinton Heights,1,Rensselaer County,12144.0
Clinton Hollow,1,Dutchess County,12578.0
Clinton Mills,1,Clinton County,
Clinton Park,1,Clinton County,12901.0
Clinton Park,1,Rensselaer County,12144.0
Clintonville,1,Clinton County,12924.0
Clintonville,1,Onondaga County,
Clintonville,1,Otsego County,
Clockville,1,Madison County,13043.0
Clough Corners,1,Broome County,13862.0
Clove,1,Dutchess County,
Clove,1,Schoharie County,12043.0
Clover Bank,1,Erie County,14075.0
Clove Valley,1,Dutchess County,
Clums Corner,1,Rensselaer County,
Cluny Point,1,Livingston County,
Clyde,1,Wayne County,14433.0
Clymer,1,Chautauqua County,14724.0
Clymer,1,Chautauqua County,
Clymer Center,1,Chautauqua County,
Clymer Hill,1,Chautauqua County,
Cobb,1,Suffolk County,11976.0
Cobbtown,1,Jefferson County,
Cobleskill,1,Schoharie County,12043.0
Cobleskill,1,Schoharie County,
Cochecton,1,Sullivan County,12726.0
Cochecton,1,Sullivan County,
Cochecton Center,1,Sullivan County,12727.0
Coeymans,1,Albany County,12045.0
Coeymans,1,Albany County,
Coeymans Hollow,1,Albany County,12046.0
Coffins Mills,1,St. Lawrence County,13670.0
Cohocton,1,Steuben County,14826.0
Cohocton,1,Steuben County,
Cohoes,1,Albany County,12047.0
Coila,1,Washington County,12816.0
Cokertown,1,Dutchess County,12571.0
Colburns,1,Chautauqua County,
Colchester,1,Delaware County,13856.0
Colchester,1,Delaware County,
Coldbrook,1,Erie County,14072.0
Cold Brook,1,Herkimer County,13324.0
Coldbrook,1,Schenectady County,12303.0
Cold Brook,1,Ulster County,
Cold Brook Estates,1,Albany County,12303.0
Colden,1,Erie County,14033.0
Colden,1,Erie County,
Coldenham,1,Orange County,12549.0
Colden Hill,1,Orange County,12550.0
Cold Spring,1,Cattaraugus County,
Coldspring,1,Cattaraugus County,
Cold Spring,1,Cayuga County,13021.0
Cold Spring,1,Onondaga County,
Cold Spring,1,Putnam County,10516.0
Cold Spring Harbor,1,Suffolk County,
Cold Spring Harbor,1,Suffolk County,11724.0
Cold Spring Park,1,Essex County,
Cold Springs,1,Onondaga County,13027.0
Cold Springs,1,Seneca County,
Cold Springs,1,Steuben County,14810.0
Cold Spring Terrace,1,Suffolk County,11743.0
Coldwater,1,Monroe County,14624.0
Colegrave,1,Erie County,
Colemans,1,Oneida County,
Colemans Mills,1,Oneida County,13492.0
Coleman Station,1,Dutchess County,
Colesville,1,Broome County,
Colgate,1,Madison County,13346.0
Collabar,1,Orange County,12549.0
Collamer,1,Monroe County,14468.0
Collamer,1,Onondaga County,13057.0
College,1,New York County,10030.0
College Park,1,Dutchess County,12571.0
College Point,1,Queens County,11356.0
Colliers,1,Otsego County,
Colliersville,1,Otsego County,13747.0
Collingwood,1,Onondaga County,13084.0
Collingwood Estates,1,Niagara County,14174.0
Collins,1,Erie County,14034.0
Collins,1,Erie County,
Collins Center,1,Erie County,14035.0
Collins Landing,1,Jefferson County,13607.0
Collinsville,1,Lewis County,13433.0
Colonial Acres,1,Albany County,12077.0
Colonial Acres,1,Westchester County,10583.0
Colonial Heights,1,Dutchess County,12603.0
Colonial Heights,1,Westchester County,
Colonial Park,1,New York County,10039.0
Colonial Park,1,Oneida County,13440.0
Colonial Springs,1,Suffolk County,11798.0
Colonial Village,1,Niagara County,14092.0
Colonie,1,Albany County,12212.0
Colonie,1,Albany County,
Colonie-Schenectady,1,Albany County,
Colonie-Watervliet,1,Albany County,
Colosse,1,Oswego County,13131.0
Colton,1,St. Lawrence County,13625.0
Colton,1,St. Lawrence County,
Columbia,1,Herkimer County,
Columbia Center,1,Herkimer County,13357.0
Columbia University,1,New York County,10025.0
Columbiaville,1,Columbia County,12050.0
Columbus,1,Chenango County,13411.0
Columbus,1,Chenango County,
Columbus Circle,1,New York County,10023.0
Columbus Quarter,1,Chenango County,
Colvin,1,Onondaga County,13205.0
Colvin Elmwood,1,Onondaga County,13205.0
Commack,1,Suffolk County,11725.0
Como,1,Cayuga County,
Comstock,1,Washington County,12821.0
Comstock Corners,1,Niagara County,
Comstock Tract,1,Onondaga County,13027.0
Concord,1,Erie County,
Concord,1,Erie County,
Concord,1,Richmond County,10304.0
Conesus,1,Livingston County,14435.0
Conesus,1,Livingston County,
Conesus Lake Junction,1,Livingston County,
Conesville,1,Schoharie County,12076.0
Conesville,1,Schoharie County,
Conewango,1,Cattaraugus County,14726.0
Conewango,1,Cattaraugus County,
Conewango,2,Cattaraugus County,
Conewango,2,Chautauqua County,
Conewango Valley,2,Cattaraugus County,14726.0
Conewango Valley,2,Chautauqua County,14726.0
Coney Island,1,Kings County,11224.0
Coney Island,1,St. Lawrence County,
Conger Corners,1,Oneida County,13480.0
Congers,1,Rockland County,10920.0
Conifer,1,St. Lawrence County,12986.0
Conklin,1,Broome County,13748.0
Conklin,1,Broome County,
Conklin Center,1,Broome County,
Conklin Cove,1,Cayuga County,
Conklin Forks,1,Broome County,13903.0
Conklingville,1,Saratoga County,12835.0
Conklin Station,1,Broome County,
Connelly,1,Ulster County,12417.0
Connelly Park,1,Chautauqua County,14710.0
Conquest,1,Cayuga County,13140.0
Conquest,1,Cayuga County,
Constable,1,Franklin County,12926.0
Constable,1,Franklin County,
Constableville,1,Lewis County,13325.0
Constantia,1,Oswego County,13044.0
Constantia,1,Oswego County,
Constantia Center,1,Oswego County,13028.0
Continental Village,2,Putnam County,10566.0
Continental Village,2,Westchester County,10566.0
Converse,1,St. Lawrence County,
Cook Corners,1,Chautauqua County,
Cook Corners,1,Montgomery County,
Cook Corners,1,St. Lawrence County,13625.0
Cooksburg,1,Albany County,12469.0
Cooks Falls,1,Delaware County,12776.0
Cooks Mill,1,Franklin County,
Cookville,1,Genesee County,14036.0
Cooley,1,Sullivan County,
Coolidge Beach,1,Niagara County,14172.0
Coonrod,1,Oneida County,13440.0
Coons,1,Saratoga County,
Co-op City,1,Bronx County,10475.0
Cooper,1,New York County,10003.0
Cooper Plains,1,Steuben County,14827.0
Coopers,1,Steuben County,
Coopers Corners,1,Sullivan County,
Coopers Falls,1,St. Lawrence County,
Coopers Plains,1,Steuben County,14827.0
Cooperstown,1,Otsego County,13326.0
Cooperstown Junction,1,Otsego County,12116.0
Coopersville,1,Clinton County,12919.0
Coopersville,1,Livingston County,14517.0
Copake,1,Columbia County,12516.0
Copake,1,Columbia County,
Copake Falls,1,Columbia County,12517.0
Copake Lake,1,Columbia County,12521.0
Copenhagen,1,Lewis County,13626.0
Copiague,1,Suffolk County,11726.0
Coram,1,Suffolk County,11727.0
Corbett,1,Delaware County,13755.0
Corbettsville,1,Broome County,13749.0
Cordova,1,Chautauqua County,
Coreys,1,Franklin County,12986.0
Corfu,1,Genesee County,14036.0
Corinth,1,Saratoga County,12822.0
Corinth,1,Saratoga County,
Cork,1,Fulton County,
Cornell,1,Bronx County,10473.0
Corner,1,Ulster County,
Corners,1,Tompkins County,14850.0
Corning (city),1,Steuben County,14830.0
Corning (town),1,Steuben County,
Corning Manor,1,Steuben County,14830.0
Cornwall,1,Orange County,12518.0
Cornwall,1,Orange County,
Cornwall Landing,1,Orange County,12520.0
Cornwall-on-Hudson,1,Orange County,12520.0
Cornwallville,1,Greene County,12418.0
Corona,1,Queens County,11368.0
Corrado Corners,1,Herkimer County,
Cortland,1,Cortland County,13045.0
Cortlandt,1,Westchester County,
Cortlandt Manor,1,Westchester County,10566.0
Cortlandville,1,Cortland County,
Cortland West,1,Cortland County,
Corwin,1,Niagara County,
Cosmos Heights,1,Cortland County,13045.0
Cossayuna,1,Washington County,12823.0
Cossayuna Lake,1,Washington County,12823.0
Coss Corners,1,Steuben County,14810.0
Cottage,1,Cattaraugus County,14138.0
Cottage City,1,Ontario County,14424.0
Cottage Park,1,Chautauqua County,14750.0
Cottam Hill,1,Dutchess County,
Cottekill,1,Ulster County,12419.0
Cottons,1,Madison County,
Cottonwood Cove,1,Livingston County,
Cottonwood Point,1,Livingston County,14435.0
Country Knolls,1,Saratoga County,12019.0
Country Life Press,1,Nassau County,11530.0
Country Ridge Estates,1,Westchester County,10573.0
County Line,2,Niagara County,14098.0
County Line,2,Orleans County,14098.0
Couse,1,Rensselaer County,12061.0
Cove Neck,1,Nassau County,11771.0
Coventry,1,Chenango County,13778.0
Coventry,1,Chenango County,
Coventryville,1,Chenango County,13733.0
Covert,1,Seneca County,14847.0
Covert,1,Seneca County,
Coveville,1,Saratoga County,
Coveytown Corners,1,Franklin County,12917.0
Covington,1,Wyoming County,14525.0
Covington,1,Wyoming County,
Cowles Settlement,1,Cortland County,
Cowlesville,1,Wyoming County,14037.0
Coxsackie,1,Greene County,12051.0
Coxsackie,1,Greene County,
Crab Meadow,1,Suffolk County,
Crafts,1,Putnam County,10512.0
Cragsmoor,1,Ulster County,12420.0
Craigie Clair,1,Sullivan County,
Craigs,1,Livingston County,14525.0
Craigville,1,Orange County,10918.0
Crains Mills,1,Cortland County,13158.0
Cranberry Creek,1,Fulton County,12117.0
Cranberry Lake,1,St. Lawrence County,12927.0
Crandall Corners,1,Washington County,12154.0
Cranes Corners,1,Herkimer County,13340.0
Crane Street,1,Schenectady County,12303.0
Cranesville,1,Montgomery County,12010.0
Cranford,1,Bronx County,10470.0
Crary Mills,1,St. Lawrence County,13617.0
Craryville,1,Columbia County,12521.0
Craterclub,1,Essex County,12936.0
Crawford,1,Orange County,
Crawford,1,Ulster County,
Creeklocks,1,Ulster County,12411.0
Creekside,1,Erie County,14110.0
Crescent,1,Albany County,
Crescent,1,Saratoga County,12188.0
Crescent Beach,1,Monroe County,14612.0
Crescent Beach,1,Richmond County,10301.0
Crescent Park,1,Montgomery County,
Crescent Station,1,Albany County,
Crestview,1,Cattaraugus County,
Crest View Heights,1,Tioga County,13760.0
Crestwood,1,Westchester County,10707.0
Crestwood,1,Westchester County,
Crestwood Gardens,1,Westchester County,
Crittenden,1,Erie County,14038.0
Crittenden,1,Monroe County,
Crocketts,1,Cayuga County,13156.0
Crofts Corners,1,Putnam County,10579.0
Croghan,1,Lewis County,13327.0
Croghan,1,Lewis County,
Crompond,1,Westchester County,10517.0
Cronomer Valley,1,Orange County,
Cropseyville,1,Rensselaer County,12052.0
Crosby,1,Yates County,
Crosbyside,1,Warren County,
Cross River,1,Westchester County,10518.0
Cross Roads,1,Cayuga County,
Cross Roads Estates,1,Westchester County,10598.0
Croton,1,Schuyler County,14864.0
Crotona Park,1,Bronx County,10460.0
Croton Falls,1,Westchester County,10519.0
Croton-Harmon,1,Westchester County,
Croton Heights,1,Westchester County,10598.0
Croton North,1,Westchester County,
Croton-on-Hudson,1,Westchester County,10520.0
Crotonville,1,Westchester County,10562.0
Crown Heights,1,Dutchess County,
Crowningshield,1,Essex County,
Crown Point,1,Essex County,12928.0
Crown Point,1,Essex County,
Crown Point Center,1,Essex County,12928.0
Crown Point Centre,1,Essex County,
Crown Village,1,Nassau County,11762.0
Crugers,1,Westchester County,10521.0
Crum Creek,1,Fulton County,13452.0
Crum Town,1,Tioga County,
Crystal Beach,1,Ontario County,
Crystal Brook,1,Suffolk County,11766.0
Crystal Dale,1,Lewis County,13367.0
Crystal Lake,1,Albany County,12147.0
Crystal Lake,1,Cattaraugus County,14060.0
Crystal Run,1,Orange County,
Crystal Spring,1,Yates County,
Cuba,1,Allegany County,14727.0
Cuba,1,Allegany County,
Cuddebackville,1,Orange County,12729.0
Cullen,1,Herkimer County,13439.0
Culvertown,1,Sullivan County,
Cumberland Head,1,Clinton County,12901.0
Cumminsville,1,Livingston County,14437.0
Curriers,1,Wyoming County,14009.0
Curry,1,Sullivan County,12765.0
Currytown,1,Montgomery County,12166.0
Curtis,1,Herkimer County,
Curtis,1,Steuben County,14821.0
Cutchogue,1,Suffolk County,11935.0
Cutchogue-New Suffolk,1,Suffolk County,
Cutchogue Station,1,Suffolk County,
Cutting,1,Chautauqua County,14724.0
Cuyler,1,Cortland County,13050.0
Cuyler,1,Cortland County,
Cuylerville,1,Livingston County,14481.0
C.W. Post College,1,Nassau County,
Cypress Hills,1,Kings County,11208.0
