Region,Country,Location,Size (m),Payload (metric tonnes),Degrees of Freedom,X Horiz Disp (mm),Y Horiz Disp (mm),Z Vert Disp (mm),X Horiz Vel (mm/s),Y Horiz vel (mm/s),Z Vert vel (mm/s),X Horiz accel (m/s2),Y Horiz accel (m/s2),Z Vert accel (m/s2),Max Freq (Hz),Details checked
Asia,Iran,Sharif University of Technology (SUT)),4 x 4,30,3,pl/mi 125,pl/mi 200,?,pl/mi 500,pl/mi 800,?,pl/mi 50,pl/mi 40,?,50,7/19/2011
Asia,Japan,Aichi Institute of Technology,11 x 6,136,1,pl/mi 150,?,?,pl/mi 1000,?,?,pl/mi 10,?,?,50,?
Asia,Japan,Building Research Institute,3 x 4,20,3,?,?,?,?,?,?,?,?,?,?,?
Asia,Japan,Central Research Institute of Electric Power Industry,5 x 5,60,1,pl/mi 500,,,pl/mi 1500,,,pl/mi 10,,,30,12/3/2008
Asia,Japan,"NIED ‘E-Defence' Laboratory, Miki City",20 x 15,1200,6,pl/mi 1000,pl/mi 1000,pl/mi 500,pl/mi 2000,pl/mi 2000,pl/mi 700,pl/mi 9,pl/mi 9,pl/mi 15,50,3/3/2008
Asia,Japan,Fujita Corporation,4 x 4,25,1,pl/mi 500,,,pl/mi 1500,,,pl/mi 10,,,50,?
Asia,Japan,Hazama Corp Ltd.,6 x 4,80,3,pl/mi 300,pl/mi 150,pl/mi 100,pl/mi 1150,?,?,pl/mi 20,pl/mi 3,pl/mi 2,50,?
Asia,Japan,Hitachi Engineering Corp,4 x 4,20,1,pl/mi 150,?,?,pl/mi 750,?,?,pl/mi 20,?,?,30,?
Asia,Japan,Ishikawajima Harima Heavy Ind Corp.,4.5 x 4.5,35,6,pl/mi 100,pl/mi 100,pl/mi 67,pl/mi 750,pl/mi 750,pl/mi 500,pl/mi 15,pl/mi 15,pl/mi 10,50,?
Asia,Japan,JDC Corp.,?,20,6,pl/mi 300,?,?,pl/mi 1000,?,?,pl/mi 10,?,?,50,?
Asia,Japan,Kawasaki Heavy Industries Corp.,?,30,3,pl/mi 75,?,?,pl/mi 400,?,?,pl/mi 10,?,?,50,?
Asia,Japan,Kajima Corp. Ltd. (1 of 2),5 x 5,50,6,pl/mi 200,pl/mi 200,pl/mi 100,pl/mi 1000,pl/mi 1000,pl/mi 500,pl/mi 20,pl/mi 20,pl/mi 20,60,3/3/2008
Asia,Japan,Kajima Corp. Ltd. (2 of 2),4 x 4,20,2,pl/mi 150,,pl/mi 75,pl/mi 1140,,pl/mi 4450,pl/mi 20,,pl/mi 10,50,?
Asia,Japan,Kumagai-Gumi Corp Ltd,5 x 5,64,6,pl/mi 80,pl/mi 260,pl/mi 50,pl/mi 600,pl/mi 1500,pl/mi 500,pl/mi 30,pl/mi 10,pl/mi 10,70,?
Asia,Japan,Kyoto University,5 x 3,14,6,pl/mi 300,?,?,pl/mi 1500,?,?,pl/mi 10,?,?,50,?
Asia,Japan,Kyoto University Disaster Prevention Research Centre,3.5 diameter,?,6,?,?,?,?,?,?,?,?,?,?,?
Asia,Japan,Ministry of Construction,6 x 8,100,2,pl/mi 75,,?,pl/mi 600,,?,pl/mi 7,,?,30,?
Asia,Japan,Mitsubishi Electric Corp.,?,40,2,pl/mi 100,?,?,pl/mi 700,?,?,pl/mi 25,?,?,30,?
Asia,Japan,Mitsubishi Heavy Industries Corp.,?,100,3,pl/mi 50,?,?,pl/mi 1500,?,?,pl/mi 20,?,?,50,?
Asia,Japan,National Research Institute of Agriculture Engineering,6 x 4,45,3,pl/mi 150,?,?,pl/mi 750,?,?,pl/mi 10,?,?,40,?
Asia,Japan,NIED (Nat. Inst. for Disaster Prevention) (1 of 2),6 x 6,1100,3,pl/mi 1000,?,?,pl/mi 2000,?,?,pl/mi 10,?,?,15,?
Asia,Japan,NIED (Nat. Inst. for Disaster Prevention) (2 of 2),12 x 12,500,1,pl/mi 220,?,?,pl/mi 900,?,?,pl/mi 10,?,?,50,?
Asia,Japan,Nishimatsu Construction Corp,5.5 x 5.5,65,6,pl/mi 500,?,?,pl/mi 1500,?,?,pl/mi 20,?,?,50,?
Asia,Japan,Nuclear Power Engineering Corporation,15 x 15,908,2,pl/mi 200,,pl/mi 100,pl/mi 750,,pl/mi 375,pl/mi 18,,pl/mi 9,30,?
Asia,Japan,NYK Corporation,2.6 x 2.6,20,6,pl/mi 200,?,?,pl/mi 600,?,?,pl/mi 20,?,?,80,?
Asia,Japan,Obayashi-Gumi Corporation,5 x 5,46,3,pl/mi 600,?,?,pl/mi 2000,?,?,pl/mi 30,?,?,50,?
Asia,Japan,Okumura Corp.,?,60,6,pl/mi 125,?,?,pl/mi 1000,?,?,pl/mi 30,?,?,70,?
Asia,Japan,Penta-Ocean Construction Co. Ltd. (1 of 2),?,60,6,pl/mi 300,?,?,pl/mi 1000,?,?,pl/mi 5,?,?,70,?
Asia,Japan,Penta-Ocean Construction Co. Ltd. (2 of 2),?,60,6,pl/mi 200,?,?,pl/mi 750,?,?,pl/mi 10,?,?,70,?
Asia,Japan,Port and Airport Research Institute,3.4 x 3.4,55,2,pl/mi 200,,pl/mi 100,pl/mi 750,pl/mi 500,,pl/mi 8,pl/mi 15,,50,?
Asia,Japan,Public Works Research Institute (PWRI),8 x 8,300,6,pl/mi 600,pl/mi 600,pl/mi 300,pl/mi 2000,pl/mi 2000,pl/mi 1000,pl/mi 20,pl/mi 20,pl/mi 10,50,10/5/2008
Asia,Japan,Sanryo Heavy Industries Corporation,6 x 6,90.7,3,?,?,?,?,?,?,?,?,?,?,?
Asia,Japan,Shimizu Corporation,4 x 4,20,3,pl/mi 200,?,?,pl/mi 1000,?,?,pl/mi 10,?,?,50,?
Asia,Japan,Taisei Corp Ltd,4 x 4,20,2,pl/mi 200,?,?,pl/mi 450,?,?,pl/mi 10,?,?,50,?
Asia,Japan,Tobishima Corp Ltd,4 x 4,20,2,pl/mi 75,?,?,?,?,?,pl/mi 15,?,?,30,?
Asia,Japan,Tobishima Corp Ltd,?,20,6,pl/mi 200,?,?,pl/mi 800,?,?,pl/mi 10,?,?,30,?
Asia,Japan,Tokyu Const. Corp.,4 x 4,30,6,pl/mi 500,pl/mi 200,pl/mi 100,pl/mi 1500,pl/mi 1000,?,pl/mi 10,?,?,30,?
Asia,Japan,Toshiba Electric Co.,5 x 5,20,2,pl/mi 750,,pl/mi 380,pl/mi 400,,pl/mi 250,pl/mi 10,,pl/mi 7,30,?
Asia,Korea,Hyundai Institute of Construction Technology Development (1 of 2),2 x 2,5,2,pl/mi 75,pl/mi 75,,pl/mi 500,pl/mi 500,,pl/mi 10,pl/mi 10,,?,5/2/2009
Asia,Korea,Hyundai Institute of Construction Technology Development (2 of 2),5 x 3,30,1,pl/mi 100,,,pl/mi 500,,,pl/mi 10,,,?,5/2/2009
Asia,Korea,Korea Institute of Machinery and Metals,4 x 4,30,6,pl/mi 200,pl/mi 200,pl/mi 134,pl/mi 750,pl/mi 750,pl/mi 500,pl/mi 15,pl/mi 15,pl/mi 10,50,?
Asia,Korea,Pusan National University (1 of 3),5 x 5,300,2,pl/mi 300,pl/mi 200,,pl/mi 1000,pl/mi 1000,,pl/mi 20,pl/mi 20,,60,24/7/2008
Asia,Korea,Pusan National University (2 of 3),5 x 5,600,2,pl/mi 300,pl/mi 200,,pl/mi 1000,pl/mi 1000,,pl/mi 30,pl/mi 30,,60,24/7/2008
Asia,Korea,Pusan National University (3 of 3),4 x 4,300,6,pl/mi 300,pl/mi 200,pl/mi 150,pl/mi 1500,pl/mi 1500,pl/mi 1000,pl/mi 20,pl/mi 20,pl/mi 40,60,24/7/2008
Asia,Malaysia,Sabah University,1.5 x 1.5,?,?,?,?,?,?,?,?,?,?,?,?,?
Asia,Taiwan,National Center for Research in Earthquake Engineering,5 x 5,50,6,pl/mi 250,pl/mi 100,pl/mi 100,pl/mi 1000,pl/mi 600,pl/mi 500,pl/mi 10,pl/mi 30,pl/mi 10,50,12/3/2008
Australia,Australia,University of Melbourne,2 x 2,3,?,?,?,?,?,?,?,?,?,?,?,?
Australia,Australia,"University of Technology, Sydney",3 x 3,10,1,?,?,?,?,?,?,?,?,?,50,15/12/2009
Canada,Canada,Royal Military College,2.7 x 2.7,5,1,?,?,?,?,?,?,?,?,?,?,?
Canada,Canada,University of British Columbia (EERF Lab),4 x 4,30,6,?,?,?,?,?,?,?,?,?,?,?
Canada,Canada,University of Sherbrooke,? x ?,?,?,?,?,?,?,?,?,?,?,?,?,?
Europe,France,"Commissariat à l'Energie Atomique et aux Energies Alternatives (CEA), AZALEE (1 of 3)",6 x 6,100,6,pl/mi 125,pl/mi 125,pl/mi 100,pl/mi 700,pl/mi 700,pl/mi 700,pl/mi 10,pl/mi 10,pl/mi 25,50,27/01/2011
Europe,France,"Commissariat à l'Energie Atomique et aux Energies Alternatives (CEA), VESUVE (2 of 3)",4 x 3,20,1,pl/mi 125,,,pl/mi 1000,,,pl/mi 10,,,50,27/01/2011
Europe,France,"Commissariat à l'Energie Atomique et aux Energies Alternatives (CEA), TOURNESOL (3 of 3)",2 x 2,10,3,pl/mi 125,,pl/mi 100,pl/mi 2000,,pl/mi 1300,pl/mi 10,,10,50,27/01/2011
Europe,France,FCBA Institut technologique,6 x 6,10,1,pl/mi 125,,,pl/mi 800,,,pl/mi 20,,,50,02/2011
Europe,Greece,Aristotle University of Thessaloniki,1.2 x 1.2,15,2,pl/mi 50,,pl/mi 50,?,,?,?,,?,30,?
Europe,Greece,National Technical University of Athens,4 x 4,10,6,pl/mi 100,pl/mi 100,pl/mi 100,pl/mi 1000,pl/mi 1000,pl/mi 1000,pl/mi 20,pl/mi 20,pl/mi 40,100,12/3/2008
Europe,Italy,Ansaldo Meccanica Nucleare,3.5 x 3.5,6,3,pl/mi 70,?,?,pl/mi 860,?,?,?,?,?,60,?
Europe,Italy,"Department of Structures for Engineering and Architecture, University of Naples  - Shake Table",4 x 4,20,2,pl/mi 250,pl/mi 250,,pl/mi 1000,pl/mi 1000,,10,10,,50,-
Europe,Italy,ENEA,4 x 4,10,6,pl/mi 125,pl/mi 125,pl/mi 125,pl/mi 500,pl/mi 500,pl/mi 500,pl/mi 30,pl/mi 30,pl/mi 30,50,?
Europe,Italy,Enel. Hydro S.p.A.; business unit ISMES (1 of 3),4 x 4,60,6,pl/mi 100,pl/mi 100,pl/mi 100,pl/mi 550,pl/mi 550,pl/mi 440,pl/mi 30,pl/mi 30,pl/mi 20,120,?
Europe,Italy,European Centre for Training & Research in Earthquake Engineering (EUCENTRE)  - Shake Table,5.6 x 7,140,1,pl/mi 500,-,-,pl/mi 2200,-,-,59,-,-,50,-
Europe,Italy,European Centre for Training & Research in Earthquake Engineering (EUCENTRE)  - Bearing Testing System,1.6 x 4.4,5000 (vertical load),5,pl/mi 500,pl/mi 265,140,pl/mi 2200,pl/mi 600,pl/mi 250,18,-,-,20,-
Europe,Italy,European Centre for Training & Research in Earthquake Engineering (EUCENTRE)  - Damper Testing System,1.5 x 2,50,1,pl/mi 250,-,-,pl/mi 1180,-,-,10,-,-,20,-
Europe,Macedonia,"Institute of Earthquake Engineering and Engineering Seismology (IZIIS), University of SS. Cyril and Methodius in Skopje (1 of 2)",5 x 5,40,5,,pl/mi 125,pl/mi 60,,pl/mi 1000,pl/mi 500,,pl/mi 30,pl/mi 15,80,20/9/2011
Europe,Macedonia,"Institute of Earthquake Engineering and Engineering Seismology (IZIIS), University of SS. Cyril and Methodius in Skopje (2 of 2)",1.4 x 2.5,8,1,pl/mi 100,,,?,,,pl/mi 20,,,80,7/7/2008
Europe,The Netherlands,European Space Agency (ESA) ESTEC Test Centre,5.5 x 5.5,22.5,6,pl/mi 70,pl/mi 70,pl/mi 70,pl/mi 800,pl/mi 800,pl/mi 800,pl/mi 50,pl/mi 50,pl/mi 50,2-100,23/7/2008
Europe,Portugal,Laboratorio Nacional de Engenharia Civil (LNEC),5.6 x 5.6,40,3,pl/mi 175,pl/mi 175,pl/mi 175,pl/mi 200,pl/mi 200,pl/mi 200,pl/mi 18,pl/mi 11,pl/mi 6,20,?
Europe,Russia,Hydroproject Research Institute,5 x 5,50,3,pl/mi 70,pl/mi 70,pl/mi 40,pl/mi 600,?,?,pl/mi 20,pl/mi 20,?,40,?
Europe,Spain,CEDEX,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Europe,Turkey,Bogazici University (1 of 2),3 x 3,10,1,pl/mi 120,,,pl/mi 650,,,pl/mi 20,,,50,3/3/2008
Europe,Turkey,Bogazici University (2 of 2),0.7 x 0.7,0.1,3,pl/mi 120,pl/mi 120,pl/mi 120,pl/mi 1200,pl/mi 1200,pl/mi 1200,pl/mi 100,pl/mi 100,pl/mi 100,40,3/3/2008
Europe,Turkey,Middle East Technical University,2 x 1,?,?,?,?,?,?,?,?,?,?,?,?,?
Europe,UK,University of Bristol (EERC),3 x 3,17,6,pl/mi 150,pl/mi 150,pl/mi 150,pl/mi 1100,pl/mi 1100,pl/mi 1100,pl/mi 60,pl/mi 60,pl/mi 60,100,29/2/2008
Asia,Pakistan,"Earthquake Engineering Center, University of Engineering & Technology Peshawar",6.0 x 6.0,60,6,pl/mi 300,pl/mi 300,pl/mi 300,pl/mi 1100,pl/mi 1100,pl/mi 1100,pl/mi 14.7,pl/mi 14.7,pl/mi 14.7,50,
North America,Mexico,Universidad Nacional Autonoma de Mexico (UNAM),4 x 4,20,5,pl/mi 150,pl/mi 150,pl/mi 75,pl/mi 1100,pl/mi 1100,pl/mi 450,pl/mi 10,pl/mi 10,pl/mi 10,60,10/9/2008
USA,Colorado,"ANCO Engineers, Inc Boulder, Colorado",3 x 3,10,3,pl/mi 200,pl/mi 200,pl/mi 200,pl/mi 2000,pl/mi 2000,pl/mi 2000,pl/mi 30,pl/mi 30,pl/mi 30,40,16/10/2012
USA,Alabama,NASA,3 x 4.5,1,6,pl/mi 2440,?,?,pl/mi 100,?,?,?,?,?,?,?
USA,Alabama,Wyle Laboratories (1 of 3),6.1 x 5.5,27,2,pl/mi 152,?,?,pl/mi 890,?,?,pl/mi 60,?,?,100,16/10/2012
USA,Alabama,Wyle Laboratories (2 of 3),2.7 x 2.7,4.5,3,pl/mi 250,pl/mi 250,pl/mi 250,pl/mi 1120,pl/mi 1120,pl/mi 1120,pl/mi 45,pl/mi 45,pl/mi 45,100,16/10/2012
USA,Alabama,Wyle Laboratories (3 of 3),2.4 x 2.4,4.5,2,pl/mi 305,,pl/mi 228,pl/mi 1168,,pl/mi 838,pl/mi 70,,pl/mi 80,70,16/10/2012
USA,North Carolina,Duke University,1.2 x 1.2,5,1,pl/mi 75,,,pl/mi 500,,,pl/mi 50,,,60,15/4/2008
USA,California,University of California at Berkeley,6.1 x 6.1,45,6,pl/mi 127,pl/mi 127,pl/mi 51,pl/mi 762,pl/mi 762,pl/mi 254,pl/mi 15,pl/mi 15,pl/mi 20,20,30/4/2008
USA,California,"California State University, Fresno",2.4 x 2.0,?,1,pl/mi 125,,,?,,,?,,,?,19/11/2009
USA,California,University of California at San Diego,12.2 x 7.6,2000,1,pl/mi 750,,,pl/mi 1800,,,pl/mi 10,,,20,7/7/2008
USA,Connecticut,University of Connecticut,1.5 x 1.5,1,1,pl/mi 150,,,?,,,pl/mi 20,,,50,8/5/2008
USA,Illinois,University of Illinois at Urbana / Champaign,3.7 x 3.7,5,1,pl/mi 50,?,?,pl/mi 381,?,?,pl/mi 30,?,?,50,?
USA,New York,University at Buffalo (State University of New York) (2 identical tables of 3),3.6 x 3.6,50,6,pl/mi 150,pl/mi 150,pl/mi 75,pl/mi 1250,pl/mi 1250,pl/mi 500,pl/mi 12,pl/mi 12,pl/mi 12,100,12/3/2008
USA,New York,University at Buffalo (State University of New York) (3 of 3),3.7 x 3.7,50,5,pl/mi 150,,pl/mi 75,pl/mi 762,,pl/mi 500,pl/mi 12,,pl/mi 23,50,12/3/2008
USA,New York,Rensselaer Polytechnic Institute,1.7 x 2.6,5,1,pl/mi 130,,,pl/mi 270,,,pl/mi 20,,,50,8/5/2008
USA,Nevada,University of Nevada at Reno (3 identical biaxial tables),4.3 x 4.5,45,2,pl/mi 300,pl/mi 300,,pl/mi 1270,pl/mi 1270,,pl/mi 20,pl/mi 20,,50,8/2/2010
USA,Nevada,University of Nevada at Reno (6 axis table),2.75 x 2.75,50,6,pl/mi 75,pl/mi 300,pl/mi 100,?,?,?,pl/mi 20,pl/mi 40,pl/mi 10,50,13/3/2008
USA,Nevada,Dynamic Certification Laboratories,2.0 diameter,4.5,6,pl/mi 140,pl/mi 120,pl/mi 150,pl/mi 1000,pl/mi 1000,pl/mi 1200,pl/mi 98,pl/mi 98,pl/mi 108,100,17/7/2012
USA,Texas,Rice University,0.465m2,7,1,pl/mi 75,,,pl/mi 1400,,,pl/mi 20,,,50,8/5/2008
USA,USA,Civil Engineering Research Lab U.S. Army,3.6 x 3.6,45,3,pl/mi 300,?,?,pl/mi 1300,?,?,?,?,?,250,?
USA,Virginia,The George Washington University - Virginia Campus,3 x 3,?,6,?,?,?,?,?,?,?,?,?,?,?
