Representative,Years,State,Party,Lifespan
Kent E. Keller,,Illinois,Democratic,
Oscar Keller,,Minnesota,Republican,
Ric Keller,,Florida,Republican,
Augustine B. Kelley,,Pennsylvania,Democratic,
Harrison Kelley,,Kansas,Republican,
John Edward Kelley,,South Dakota,Populist,
Patrick H. Kelley,,Michigan,Republican,
William D. Kelley,,Pennsylvania,Republican,
Charles Kellogg,,New York,Democratic,
Francis William Kellogg,,Michigan,Republican,
Francis William Kellogg,,Alabama,Republican,
Orlando Kellogg,,New York,Whig,
Orlando Kellogg,,New York,Republican,
Stephen Wright Kellogg,,Connecticut,Republican,
William Kellogg,,Illinois,Republican,
William P. Kellogg,,Louisiana,Republican,
Edna F. Kelly,,New York,Democratic,
Edward A. Kelly,,Illinois,Democratic,
George B. Kelly,,New York,Democratic,
James Kelly,,Pennsylvania,Federalist,
John Kelly,,New York,Democratic,
Melville Clyde Kelly,,Pennsylvania,Republican,
Melville Clyde Kelly,,Pennsylvania,Progressive,
Melville Clyde Kelly,,Pennsylvania,Republican,
Richard Kelly,,Florida,Republican,
Sue W. Kelly,,New York,Republican,
William H. Kelsey,,New York,Oppositionist,
William H. Kelsey,,New York,Republican,
John R. Kelso,,Missouri,Independent Republican,
Omer Madison Kem,,Nebraska,Populist,
Gouverneur Kemble,,New York,Democratic,
Bolivar E. Kemp,,Louisiana,Democratic,
Jack Kemp,,New York,Republican,
Thomas Kempshall,,New York,Whig,
Thomas Kenan,,North Carolina,Democratic-Republican,
Charles West Kendall,,Nevada,Democratic,
Elva R. Kendall,,Kentucky,Republican,
John W. Kendall,,Kentucky,Democratic,
Jonas Kendall,,Massachusetts,Federalist,
Joseph G. Kendall,,Massachusetts,National Republican,
Joseph M. Kendall,,Kentucky,Democratic,
Nathan E. Kendall,,Iowa,Republican,
Samuel Austin Kendall,,Pennsylvania,Republican,
John E. Kenna,,West Virginia,Democratic,
Ambrose Kennedy,,Rhode Island,Republican,
Ambrose Jerome Kennedy,,Maryland,Democratic,
Andrew Kennedy,,Indiana,Democratic,
Charles A. Kennedy,,Iowa,Republican,
James Kennedy,,Ohio,Republican,
John F. Kennedy,,Massachusetts,Democratic,
John L. Kennedy,,Nebraska,Republican,
John P. Kennedy,,Maryland,Whig,
Joseph Patrick Kennedy II,,Massachusetts,Democratic,
Mark Kennedy,,Minnesota,Republican,
Martin J. Kennedy,,New York,Democratic,
Michael J. Kennedy,,New York,Democratic,
Patrick Kennedy,,Rhode Island,Democratic,
Robert P. Kennedy,,Ohio,Republican,
William Kennedy,,North Carolina,Democratic-Republican,
William Kennedy,,Connecticut,Democratic,
Barbara B. Kennelly,,Connecticut,Democratic,
Luther Martin Kennett,,Missouri,Oppositionist,
Edward Aloysius Kenney,,New Jersey,Democratic,
"William Kennon, Jr.",,Ohio,Democratic,
"William Kennon, Sr.",,Ohio,Democratic,
Everett Kent,,Pennsylvania,Democratic,
Joseph Kent,,Maryland,Democratic-Republican,
Joseph Kent,,Maryland,National Republican,
Moss Kent,,New York,Federalist,
William Kent,,California,Progressive Republican,
William Kent,,California,Independent,
William Scheuneman Kenyon,,New York,Republican,
Eugene James Keogh,,New York,Democratic,
Fred J. Kern,,Illinois,Democratic,
Francis Kernan,,New York,Democratic,
Brian D. Kerns,,Indiana,Republican,
Daniel Kerr,,Iowa,Republican,
James Kerr,,Pennsylvania,Democratic,
John Kerr,,Virginia,Democratic-Republican,
John Bozman Kerr,,Maryland,Whig,
John H. Kerr,,North Carolina,Democratic,
John Leeds Kerr,,Maryland,National Republican,
"John Kerr, Jr.",,North Carolina,Whig,
Josiah Kerr,,Maryland,Republican,
Michael C. Kerr,,Indiana,Democratic,
Winfield S. Kerr,,Ohio,Republican,
James Kerrigan,,New York,Independent Democrat,
John Kershaw,,South Carolina,Democratic-Republican,
Charles J. Kersten,,Wisconsin,Republican,
John C. Ketcham,,Michigan,Republican,
John H. Ketcham,,New York,Republican,
Winthrop Welles Ketcham,,Pennsylvania,Republican,
William M. Ketchum,,California,Republican,
William Kettner,,California,Democratic,
John A. Key,,Ohio,Democratic,
Philip Key,,Maryland,Pro-Administration,
Philip Barton Key,,Maryland,Federalist,
Elias Keyes,,Vermont,Democratic-Republican,
Martha Keys,,Kansas,Democratic,
David Kidder,,Maine,National Republican,
Zedekiah Kidwell,,Virginia,Democratic,
Andrew Kiefer,,Minnesota,Republican,
Charles Edward Kiefner,,Missouri,Republican,
Edgar Raymond Kiess,,Pennsylvania,Republican,
James Kilbourne,,Ohio,Democratic-Republican,
Clarence E. Kilburn,,New York,Republican,
Paul J. Kilday,,Texas,Democratic,
Constantine B. Kilgore,,Texas,Democratic,
Daniel Kilgore,,Ohio,Democratic,
David Kilgore,,Indiana,Republican,
Joe M. Kilgore,,Texas,Democratic,
Joseph Kille,,New Jersey,Democratic,
John Weinland Killinger,,Pennsylvania,Republican,
Carolyn Cheeks Kilpatrick,,Michigan,Democratic,
Mary Jo Kilroy,,Ohio,Democratic,
Jay Kim,,California,Republican,
Alanson M. Kimball,,Wisconsin,Republican,
Henry M. Kimball,1935.0,Michigan,Republican,
William P. Kimball,,Kentucky,Democratic,
William Kimmel,,Maryland,Democratic,
John Kincaid,,Kentucky,Democratic,
David Hayes Kincheloe,,Kentucky,Democratic,
George J. Kindel,,Colorado,Democratic,
Tom Kindness,,Ohio,Republican,
John J. Kindred,,New York,Democratic,
Adam King,,Pennsylvania,Democratic,
Andrew King,,Missouri,Democratic,
Austin Augustus King,,Missouri,Unionist,
Carleton J. King,,New York,Republican,
Cecil R. King,,California,Democratic,
Cyrus King,,Massachusetts,Federalist,
Daniel P. King,,Massachusetts,Whig,
David S. King,,Utah,Democratic,
Edward John King,,Illinois,Republican,
George Gordon King,,Rhode Island,Whig,
Henry King,,Pennsylvania,Democratic,
J. Floyd King,,Louisiana,Democratic,
James G. King,,New Jersey,Whig,
John King,,New York,Democratic,
John Alsop King,,New York,Whig,
Karl C. King,,Pennsylvania,Republican,
Perkins King,,New York,Democratic,
Preston King,,New York,Democratic,
Preston King,,New York,Free Soiler,
Rufus H. King,,New York,Oppositionist,
Thomas Butler King,,Georgia,Whig,
William H. King,,Utah,Democratic,
William R. King,,North Carolina,Democratic-Republican,
William S. King,,Minnesota,Republican,
Moses Kinkaid,,Nebraska,Republican,
Eugene F. Kinkead,,New Jersey,Democratic,
George L. Kinnard,,Indiana,Democratic,
Thomas Kinsella,,New York,Democratic,
Charles Kinsey,,New Jersey,Democratic-Republican,
William Medcalf Kinsey,,Missouri,Republican,
Martin Kinsley,,Massachusetts,Democratic-Republican,
J. Roland Kinzer,,Pennsylvania,Republican,
George Washington Kipp,,Pennsylvania,Democratic,
Andrew Jackson Kirk,,Kentucky,Republican,
Mark Kirk,,Illinois,Republican,
Ann Kirkpatrick,,Arizona,Democratic,
Joseph Kirkland,,New York,Federalist,
Littleton Kirkpatrick,,New Jersey,Democratic,
Sanford Kirkpatrick,,Iowa,Democratic,
Snyder S. Kirkpatrick,,Kansas,Republican,
William Kirkpatrick,,New York,Democratic-Republican,
William Huntington Kirkpatrick,,Pennsylvania,Republican,
William Sebring Kirkpatrick,,Pennsylvania,Republican,
Dorrance Kirtland,,New York,Democratic-Republican,
Michael J. Kirwan,,Ohio,Democratic,
John Kissel,,New York,Republican,
Aaron Kitchell,,New Jersey,Pro-Administration,
Aaron Kitchell,,New Jersey,Federalist,
Aaron Kitchell,,New Jersey,Democratic-Republican,
Bethuel Kitchen,,West Virginia,Republican,
Wade H. Kitchens,,Arkansas,Democratic,
Alvin Paul Kitchin,,North Carolina,Democratic,
Claude Kitchin,,North Carolina,Democratic,
William H. Kitchin,,North Carolina,Democratic,
William Walton Kitchin,,North Carolina,Democratic,
John W. Kittera,,Pennsylvania,Pro-Administration,
John W. Kittera,,Pennsylvania,Federalist,
Thomas Kittera,,Pennsylvania,National Republican,
George W. Kittredge,,New Hampshire,Democratic,
Richard M. Kleberg,,Texas,Democratic,
Rudolph Kleberg,,Texas,Democratic,
Jerry Kleczka,,Wisconsin,Democratic,
John C. Kleczka,,Wisconsin,Republican,
Arthur George Klein,,New York,Democratic,
Herbert Klein,,New Jersey,Democratic,
Ron Klein,,Florida,Democratic,
John J. Kleiner,,Indiana,Democratic,
Thomas S. Kleppe,,North Dakota,Republican,
Frank B. Klepper,,Missouri,Republican,
Ardolph Loges Kline,,New York,Republican,
Isaac Clinton Kline,,Pennsylvania,Republican,
Marcus C.L. Kline,,Pennsylvania,Democratic,
"John Klingensmith, Jr.",,Pennsylvania,Democratic,
Ron Klink,,Pennsylvania,Democratic,
Frank Le Blond Kloeb,,Ohio,Democratic,
Robert Klotz,,Pennsylvania,Democratic,
John C. Kluczynski,,Illinois,Democratic,
Scott L. Klug,,Wisconsin,Republican,
Theodore F. Kluttz,,North Carolina,Democratic,
Anthony L. Knapp,,Illinois,Democratic,
Charles Knapp,,New York,Republican,
Charles J. Knapp,,New York,Republican,
Charles L. Knapp,,New York,Republican,
Chauncey L. Knapp,,Massachusetts,American,
Chauncey L. Knapp,,Massachusetts,Republican,
Robert M. Knapp,,Illinois,Democratic,
Herman Knickerbocker,,New York,Federalist,
Frank C. Kniffin,,Ohio,Democratic,
Charles Landon Knight,,Ohio,Republican,
Jonathan Knight,,Pennsylvania,Oppositionist,
Nehemiah Knight,,Rhode Island,Democratic-Republican,
Joe Knollenberg,,Michigan,Republican,
Philip Knopf,,Illinois,Republican,
J. Proctor Knott,,Kentucky,Democratic,
Joseph R. Knowland,,California,Republican,
Freeman T. Knowles,,South Dakota,Populist,
Ebenezer Knowlton,,Maine,Oppositionist,
James Knox,,Illinois,Whig,
James Knox,,Illinois,Oppositionist,
Samuel Knox,,Missouri,Unconditional Unionist,
Victor A. Knox,,Michigan,Republican,
William Shadrach Knox,,Massachusetts,Republican,
Coya Knutson,,Minnesota,Democratic-Farmer-Labor,
Harold Knutson,,Minnesota,Republican,
Ed Koch,,New York,Democratic,
Leo Kocialkowski,,Illinois,Democratic,
Raymond P. Kogovsek,,Colorado,Democratic,
Jim Kolbe,,Arizona,Republican,
Joseph P. Kolter,,Pennsylvania,Democratic,
George Konig,,Maryland,Democratic,
Ernie Konnyu,,California,Republican,
Thomas F. Konop,,Wisconsin,Democratic,
William Henry Koontz,,Pennsylvania,Republican,
Michael J. Kopetski,,Oregon,Democratic,
Arthur W. Kopp,,Wisconsin,Republican,
William F. Kopp,,Iowa,Republican,
Herman P. Kopplemann,,Connecticut,Democratic,
Charles A. Korbly,,Indiana,Democratic,
Franklin F. Korell,,Oregon,Republican,
Horace R. Kornegay,,North Carolina,Democratic,
Suzanne Kosmas,,Florida,Democratic,
Peter H. Kostmayer,,Pennsylvania,Democratic,
Frank Kowalski,,Connecticut,Democratic,
Charles Kramer,,California,Democratic,
Ken Kramer,,Colorado,Republican,
Frank Kratovil,,Maryland,Democratic,
Milton Kraus,,Indiana,Republican,
Jacob Krebs,,Pennsylvania,Democratic,
John Hans Krebs,,California,Democratic,
Paul J. Krebs,,New Jersey,Democratic,
Aaron Shenk Kreider,,Pennsylvania,Republican,
Mike Kreidler,,Washington,Democratic,
George Kremer,,Pennsylvania,Democratic-Republican,
George Kremer,,Pennsylvania,Democratic,
George Frederic Kribbs,,Pennsylvania,Democratic,
John Kronmiller,,Maryland,Republican,
Bob Krueger,,Texas,Democratic,
Otto Krueger,,North Dakota,Republican,
Edward H. Kruse,,Indiana,Democratic,
Randy Kuhl,,New York,Republican,
Joseph Henry Kuhns,,Pennsylvania,Whig,
Monroe Henry Kulp,,Pennsylvania,Republican,
Jacob Michael Kunkel,,Maryland,Democratic,
John C. Kunkel,,Pennsylvania,Republican,
John Christian Kunkel,,Pennsylvania,Oppositionist,
John Christian Kunkel,,Pennsylvania,Republican,
Stanley H. Kunz,,Illinois,Democratic,
Theodore R. Kupferman,,New York,Republican,
Jacob Banks Kurtz,,Pennsylvania,Republican,
William Henry Kurtz,,Pennsylvania,Democratic,
Gustav Kustermann,,Wisconsin,Republican,
Andrew J. Kuykendall,,Illinois,Republican,
Dan Kuykendall,,Tennessee,Republican,
Steven T. Kuykendall,,California,Republican,
Ole J. Kvale,,Minnesota,Farmer-Labor,
Paul John Kvale,,Minnesota,Farmer-Labor,
John Henry Kyl,,Iowa,Republican,
Jon Kyl,,Arizona,Republican,
John Kyle,,Mississippi,Democratic,
Thomas B. Kyle,,Ohio,Republican,
Peter N. Kyros,,Maine,Democratic,
