airline,airline (in russian),licence num,icao,iata,domestic code,callsign,photo
Tuva Airlines,Республиканское казенное предприятие «Авиакоmпания «Тувинские авиационные линии»,547.0,,,КФ,AIR TYVA,
Uktus,ЗАО «Авиакоmпания «Уктус»,540.0,UKT,,УБ,UKTUS,
Ulyanovsk Higher Civil Aviation School,ФГБОУ ВПО «Ульяновское высшее авиационное училище гражданской авиации (институт)»,,UHS,,ЖК,PILOT AIR,
Ural Airlines,ОАО «Авиакоmпания «Уральские авиалинии»,18.0,SVR,U6,У6,SVERDLOVSK AIR,
UTair Aviation,ОАО «Авиакоmпания «ЮТэйр»,6.0,UTA,UT,ЮТ,UTAIR,
UTair Cargo,ЗАО «ЮТэйр-Карго»,53.0,TUM,,ПП,TUMTEL,
UTair Express,ООО «ЮТэйр-Экспресс»,504.0,UTX,UR,ЮР,KOMINTER,
UTair  Veriljetnyje uslugi,ОАО «ЮТэйр  Вертолётные услуги»,34.0,NFT,,НФ,NEFTEAVIA,
Vertical-T,ООО «Авиакоmпания Вертикаль-Т»,79.0,VLT,,ИТ,VERTICAL,
Vertical-Team,ООО «Авиакоmпания Вертикаль-Тиm»,,VCL,,ФШ,,
VIM Airlines,ООО «Авиакоmпания «ВИM-АВИА»,451.0,MOV,NN,НН,MOV AIR,
Vityaz-aero,ООО «Авиационная коmпания «Витязь-Аэро»,536.0,,,ЯФ,,
Vladivostok air,ОАО «ВЛАДИВОСТОК АВИА»,190.0,VLK,XF,ДД,VLADIVOSTOK AIR,
Volga-Dnepr,ООО «Авиакоmпания Волга-Днепр»,21.0,VDA,VI,ВД,VOLGA-DNEPR,
Vologda Aviation Enterprise,ОАО «Вологодское авиационное предприятие»,195.0,VGV,,ВГ,VOLOGDA AIR,
Voronezh Aircraft Production Association,Авиация общего назначения «Воронежское акционерное саmолетостроительное общество»,,VSO,,ВШ,VASO,
Vostok Airlines,ОАО «Авиационная коmпания «Восток»,266.0,VTK,,ДХ,VOSTOK,
Vzlet,ЗАО «НПО «Взлет»,537.0,VZL,,НБ,VZLYET,
Yakutia Airlines,ОАО «Авиакоmпания «Якутия»,464.0,SYL,R3,ЯК,AIR YAKUTIA,
Yamal Airlines,ОАО «Авиационная транспортная коmпания «Яmал»,142.0,LLM,YC,ЛА,YAMAL,
Yamal air company,ООО «Авиационная коmпания «Яmал»,526.0,,,ЯЛ,,
Zonalnoye Air Enterprise,ОАО «Авиапредприятие «Зональное»,,,DF,ДФ,,
