rank,mountain,height (m),height (ft),range,coordinates,prominence (m),parent mountain,first ascent,ascents (failed attempts) bef 2004
12.0,Broad Peak/K3,8051,26414,Baltoro Karakoram,35°48′38″N 76°34′06″E﻿ / ﻿35.81056°N 76.56833°E,1701,Gasherbrum I,1957,39 (19)
13.0,Gasherbrum II/K4,8034,26362,Baltoro Karakoram,35°45′28″N 76°39′12″E﻿ / ﻿35.75778°N 76.65333°E,1523,Gasherbrum I,1956,54 (12)
14.0,Shishapangma,8027,26335,Jugal Himalaya,28°21′12″N 85°46′43″E﻿ / ﻿28.35333°N 85.77861°E,2897,Cho Oyu,1964,43 (19)
15.0,Gyachung Kang,7952,26089,Mahalangur Himalaya,28°05′53″N 86°44′42″E﻿ / ﻿28.09806°N 86.74500°E,700,Cho Oyu,1964,5 (3)
,Gasherbrum III,7946,26070,Baltoro Karakoram,35°45′33″N 76°38′30″E﻿ / ﻿35.75917°N 76.64167°E,355,Gasherbrum II,1975,2 (2)
16.0,Annapurna II,7937,26040,Annapurna Himalaya,28°32′05″N 84°07′19″E﻿ / ﻿28.53472°N 84.12194°E,2437,Annapurna I,1960,6 (19)
17.0,Gasherbrum IV,7932,26024,Baltoro Karakoram,35°45′38″N 76°36′58″E﻿ / ﻿35.76056°N 76.61611°E,715,Gasherbrum III,1958,4 (11)
18.0,Himalchuli,7893,25896,Manaslu Himalaya,28°26′12″N 84°38′23″E﻿ / ﻿28.43667°N 84.63972°E *,1633,Manaslu,1960,6 (12)
19.0,Distaghil Sar,7884,25866,Hispar Karakoram,36°19′33″N 75°11′16″E﻿ / ﻿36.32583°N 75.18778°E,2525,K2,1960,3 (5)
20.0,Ngadi Chuli,7871,25823,Manaslu Himalaya,28°30′12″N 84°34′00″E﻿ / ﻿28.50333°N 84.56667°E,1020,Manaslu,1970,2 (6)
,Nuptse,7864,25801,Mahalangur Himalaya,27°58′03″N 86°53′13″E﻿ / ﻿27.96750°N 86.88694°E,319,Lhotse,1961,5 (12)
21.0,Khunyang Chhish,7823,25666,Hispar Karakoram,36°12′19″N 75°12′28″E﻿ / ﻿36.20528°N 75.20778°E *,1765,Distaghil Sar,1971,2 (6)
22.0,Masherbrum/K1,7821,25659,Masherbrum Karakoram,35°38′28″N 76°18′21″E﻿ / ﻿35.64111°N 76.30583°E,2457,Gasherbrum I,1960,4 (9)
23.0,Nanda Devi,7816,25643,Garhwal Himalaya,30°22′33″N 79°58′15″E﻿ / ﻿30.37583°N 79.97083°E,3139,Dhaulagiri,1936,14 (12)
24.0,Chomo Lonzo,7804,25604,Mahalangur Himalaya,27°55′50″N 87°06′28″E﻿ / ﻿27.93056°N 87.10778°E,590,Makalu,1954,3 (1)
25.0,Batura Sar,7795,25574,Batura Karakoram,36°30′37″N 74°31′21″E﻿ / ﻿36.51028°N 74.52250°E,3118,Distaghil Sar,1976,4 (6)
26.0,Kanjut Sar,7790,25558,Hispar Karakoram,36°12′20″N 75°25′01″E﻿ / ﻿36.20556°N 75.41694°E,1690,Khunyang Chhish,1959,2 (1)
27.0,Rakaposhi,7788,25551,Rakaposhi-Haramosh Karakoram,36°08′33″N 74°29′22″E﻿ / ﻿36.14250°N 74.48944°E,2818,Khunyang Chhish,1958,8 (13)
28.0,Namcha Barwa,7782,25531,Assam Himalaya,29°37′52″N 95°03′19″E﻿ / ﻿29.63111°N 95.05528°E,4106,Kangchenjunga,1992,1 (2)
29.0,Kamet,7756,25446,Garhwal Himalaya,30°55′12″N 79°35′30″E﻿ / ﻿30.92000°N 79.59167°E *,2825,Nanda Devi,1931,23 (14)
30.0,Dhaulagiri II,7751,25430,Dhaulagiri Himalaya,28°45′46″N 83°23′18″E﻿ / ﻿28.76278°N 83.38833°E,2396,Dhaulagiri,1971,4 (11)
31.0,Saltoro Kangri/K10,7742,25400,Saltoro Karakoram,35°23′57″N 76°50′53″E﻿ / ﻿35.39917°N 76.84806°E *,2160,Gasherbrum I,1962,2 (1)
32.0,Jannu,7711,25299,Kangchenjunga Himalaya,27°40′56″N 88°02′40″E﻿ / ﻿27.68222°N 88.04444°E *,1036,Kangchenjunga,1962,17 (12)
33.0,Tirich Mir,7708,25289,Hindu Kush,36°15′19″N 71°50′30″E﻿ / ﻿36.25528°N 71.84167°E *,3910,Batura Sar,1950,20 (11)
,Molamenqing,7703,25272,Langtang Himalaya,28°21′18″N 85°48′35″E﻿ / ﻿28.35500°N 85.80972°E,430,Shishapangma,1981,1 (0)
34.0,Gurla Mandhata,7694,25243,Nalakankar Himalaya,30°26′19″N 81°17′48″E﻿ / ﻿30.43861°N 81.29667°E,2788,Dhaulagiri,1985,6 (4)
35.0,Saser Kangri I/K22,7672,25171,Saser Karakoram,34°52′00″N 77°45′09″E﻿ / ﻿34.86667°N 77.75250°E,2304,Gasherbrum I,1973,6 (4)
36.0,Chogolisa,7665,25148,Masherbrum Karakoram,35°36′47″N 76°34′29″E﻿ / ﻿35.61306°N 76.57472°E,1624,Masherbrum,1975,4 (2)
,Dhaulagiri IV,7661,25135,Dhaulagiri Himalaya,28°44′09″N 83°18′55″E﻿ / ﻿28.73583°N 83.31528°E,469,Dhaulagiri II,1975,2 (10)
37.0,Kongur Tagh,7649,25095,Kongur Shan Kunlun,38°35′36″N 75°18′48″E﻿ / ﻿38.59333°N 75.31333°E,3585,Distaghil Sar,1981,2 (4)
,Dhaulagiri V,7618,24993,Dhaulagiri Himalaya,28°44′02″N 83°21′41″E﻿ / ﻿28.73389°N 83.36139°E *,340,Dhaulagiri IV,1975,2 (3)
38.0,Shispare,7611,24970,Batura Karakoram,36°26′26″N 74°40′51″E﻿ / ﻿36.44056°N 74.68083°E,1240,Batura Sar,1974,3 (1)
39.0,Trivor,7577,24859,Hispar Karakoram,36°17′15″N 75°05′06″E﻿ / ﻿36.28750°N 75.08500°E *,980,Distaghil Sar,1960,2 (5)
40.0,Gangkhar Puensum,7570,24836,Kula Kangri Himalaya,28°02′50″N 90°27′19″E﻿ / ﻿28.04722°N 90.45528°E *,2995,Kangchenjunga,unclimbed,0 (3)
41.0,Gongga Shan/ Minya Konka,7556,24790,Daxue Shan,29°35′43″N 101°52′47″E﻿ / ﻿29.59528°N 101.87972°E,3642,Mount Everest,1932,6 (7)
42.0,Annapurna III,7555,24787,Annapurna Himalaya,28°35′06″N 83°59′24″E﻿ / ﻿28.58500°N 83.99000°E,703,Annapurna I,1961,10 (17)
43.0,Muztagh Ata,7546,24757,Muztagata Kunlun,38°16′33″N 75°06′58″E﻿ / ﻿38.27583°N 75.11611°E,2735,Kongur Tagh,1956,Many
44.0,Skyang Kangri,7545,24754,Baltoro Karakoram,35°55′35″N 76°34′03″E﻿ / ﻿35.92639°N 76.56750°E,1085,K2,1976,1 (2)
45.0,Changtse,7543,24747,Mahalangur Himalaya,28°01′29″N 86°54′51″E﻿ / ﻿28.02472°N 86.91417°E,520,Mount Everest,1982,9 (9)
46.0,Kula Kangri,7538,24731,Kula Kangri Himalaya,28°13′37″N 90°36′59″E﻿ / ﻿28.22694°N 90.61639°E,1650,Gangkhar Puensum,1986,3 (2)
47.0,Kongur Tiube,7530,24705,Kongur Shan Kunlun,38°36′57″N 75°11′45″E﻿ / ﻿38.61583°N 75.19583°E,840,Kongur Tagh,1956,2 (3)
48.0,Mamostong Kangri,7516,24659,Rimo Karakoram,35°08′31″N 77°34′39″E﻿ / ﻿35.14194°N 77.57750°E,1803,Gasherbrum I,1984,5 (0)
49.0,Saser Kangri II E,7513,24649,Saser Karakoram,34°48′17″N 77°48′24″E﻿ / ﻿34.80472°N 77.80667°E,1450,Saser Kangri I,2011,0 (0)
50.0,Ismoil Somoni Peak,7495,24590,Pamir (Akademiya Nauk Range),38°56′35″N 72°00′57″E﻿ / ﻿38.94306°N 72.01583°E,3402,Muztagh Ata,1933,
51.0,Saser Kangri III,7495,24590,Saser Karakoram,34°50′44″N 77°47′06″E﻿ / ﻿34.84556°N 77.78500°E,850,Saser Kangri I,1986,1 (0)
52.0,Noshaq,7492,24580,Hindu Kush,36°25′56″N 71°49′43″E﻿ / ﻿36.43222°N 71.82861°E,2024,Tirich Mir,1960,33 (3)
53.0,Pumari Chhish,7492,24580,Hispar Karakoram,36°12′41″N 75°15′01″E﻿ / ﻿36.21139°N 75.25028°E,890,Khunyang Chhish,1979,1 (2)
54.0,Pasu Sar,7476,24528,Batura Karakoram,36°29′16″N 74°35′16″E﻿ / ﻿36.48778°N 74.58778°E,645,Batura Sar,1994,1 (0)
55.0,Yukshin Gardan Sar,7469,24505,Hispar Karakoram,36°15′04″N 75°22′29″E﻿ / ﻿36.25111°N 75.37472°E,1313,Pumari Chhish,1984,4 (1)
56.0,Teram Kangri I,7462,24482,Siachen Karakoram,35°34′48″N 77°04′42″E﻿ / ﻿35.58000°N 77.07833°E,1702,Gasherbrum I,1975,2 (0)
57.0,Jongsong Peak,7462,24482,Kangchenjunga Himalaya,27°52′54″N 88°08′09″E﻿ / ﻿27.88167°N 88.13583°E,1298,Kangchenjunga,1930,2 (3)
58.0,Malubiting,7458,24469,Rakaposhi-Haramosh Karakoram,36°00′12″N 74°52′31″E﻿ / ﻿36.00333°N 74.87528°E,2193,Rakaposhi,1971,2 (6)
59.0,Gangapurna,7455,24459,Annapurna Himalaya,28°36′18″N 83°57′49″E﻿ / ﻿28.60500°N 83.96361°E,563,Annapurna III,1965,8 (13)
60.0,Jengish Chokusu/ Tömur/Pk Pobeda,7439,24406,Tian Shan,42°02′05″N 80°07′47″E﻿ / ﻿42.03472°N 80.12972°E,4148,Ismail Samani Peak,1938,
61.0,K12,7428,24370,Saltoro Karakoram,35°17′45″N 77°01′20″E﻿ / ﻿35.29583°N 77.02222°E,1978,Saltoro Kangri,1974,4 (2)
62.0,Yangra/ Ganesh I,7422,24350,Ganesh Himalaya,28°23′29″N 85°07′38″E﻿ / ﻿28.39139°N 85.12722°E,2352,Manaslu,1955,1 (6)
63.0,Sia Kangri,7422,24350,Siachen Karakoram,35°39′48″N 76°45′42″E﻿ / ﻿35.66333°N 76.76167°E,640,Gasherbrum I,1934,6 (0)
64.0,Momhil Sar,7414,24324,Hispar Karakoram,36°19′04″N 75°02′11″E﻿ / ﻿36.31778°N 75.03639°E *,980,Trivor,1964,2 (6)
65.0,Kabru N,7412,24318,Kangchenjunga Himalaya,27°38′02″N 88°07′00″E﻿ / ﻿27.63389°N 88.11667°E,780,Kangchenjunga,1994,1 (2)
66.0,Skil Brum,7410,24311,Baltoro Karakoram,35°51′03″N 76°25′43″E﻿ / ﻿35.85083°N 76.42861°E,1152,K2,1957,2 (1)
67.0,Haramosh,7409,24308,Rakaposhi Karakoram,35°50′24″N 74°53′51″E﻿ / ﻿35.84000°N 74.89750°E,2277,Malubiting,1958,4 (3)
68.0,Istor-o-Nal,7403,24288,Hindu Kush,36°22′32″N 71°53′54″E﻿ / ﻿36.37556°N 71.89833°E,1040,Noshaq,1969,4 (5)
69.0,Ghent Kangri,7401,24281,Saltoro Karakoram,35°31′04″N 76°48′02″E﻿ / ﻿35.51778°N 76.80056°E,1493,Saltoro Kangri,1961,4 (0)
70.0,Ultar Sar,7388,24239,Batura Karakoram,36°23′27″N 74°43′00″E﻿ / ﻿36.39083°N 74.71667°E,700,Shispare,1996,2 (5)
71.0,Rimo I,7385,24229,Rimo Karakoram,35°21′18″N 77°22′08″E﻿ / ﻿35.35500°N 77.36889°E,1438,Teram Kangri I,1988,1 (3)
72.0,Churen Himal,7385,24229,Dhaulagiri Himalaya,28°44′05″N 83°13′03″E﻿ / ﻿28.73472°N 83.21750°E,600,Dhaulagiri IV,1970,3 (0)
73.0,Teram Kangri III,7382,24219,Siachen Karakoram,35°35′59″N 77°02′53″E﻿ / ﻿35.59972°N 77.04806°E,520,Teram Kangri I,1979,1 (0)
74.0,Sherpi Kangri,7380,24213,Saltoro Karakoram,35°27′58″N 76°46′53″E﻿ / ﻿35.46611°N 76.78139°E *,1000,Ghent Kangri,1976,1 (1)
75.0,Labuche Kang,7367,24170,Labuche Himalaya,28°18′15″N 86°21′03″E﻿ / ﻿28.30417°N 86.35083°E,1957,Cho Oyu,1987,1 (0)
76.0,Kirat Chuli,7362,24153,Kangchenjunga Himalaya,27°47′16″N 88°11′43″E﻿ / ﻿27.78778°N 88.19528°E,1168,Kangchenjunga,1939,1 (6)
,Abi Gamin,7355,24131,Garhwal Himalaya,30°55′57″N 79°36′09″E﻿ / ﻿30.93250°N 79.60250°E,217,Kamet,1950,17 (2)
77.0,Nangpai Gosum,7350,24114,Mahalangur Himalaya,28°04′24″N 86°36′51″E﻿ / ﻿28.07333°N 86.61417°E,500,Cho Oyu,1996,3 (1)
,Gimmigela/ The Twins,7350,24114,Kangchenjunga Himalaya,27°44′27″N 88°09′31″E﻿ / ﻿27.74083°N 88.15861°E,432,Kangchenjunga,1994,3 (1)
78.0,Saraghrar,7349,24111,Hindu Kush,36°32′51″N 72°06′54″E﻿ / ﻿36.54750°N 72.11500°E,1979,Noshaq,1959,2 (3)
79.0,Jomolhari,7326,24035,Jomolhari Himalaya,27°49′36″N 89°16′04″E﻿ / ﻿27.82667°N 89.26778°E *,2077,Gangkhar Puensum,1937,4 (0)
80.0,Chamlang,7321,24019,Mahalangur Himalaya,27°46′30″N 86°58′47″E﻿ / ﻿27.77500°N 86.97972°E,1240,Lhotse,1961,7 (1)
81.0,Chongtar,7315,23999,Baltoro Karakoram,35°54′55″N 76°25′45″E﻿ / ﻿35.91528°N 76.42917°E,1300,Skil Brum,1994,1 (1)
82.0,Baltoro Kangri,7312,23990,Masherbrum Karakoram,35°38′21″N 76°40′24″E﻿ / ﻿35.63917°N 76.67333°E,1200,Chogolisa,1976,1 (0)
83.0,Siguang Ri,7309,23980,Mahalangur Himalaya,28°08′50″N 86°41′06″E﻿ / ﻿28.14722°N 86.68500°E,650,Cho Oyu,1989,2 (1)
84.0,The Crown/ Huang Guan,7295,23934,Yengisogat Karakoram,36°06′24″N 76°12′21″E﻿ / ﻿36.10667°N 76.20583°E,1919,Skil Brum (K2),1993,1 (3)
85.0,Gyala Peri,7294,23930,Assam Himalaya,29°48′52″N 94°58′07″E﻿ / ﻿29.81444°N 94.96861°E,2942,Mount Everest,1986,1 (0)
86.0,Porong Ri,7292,23924,Langtang Himalaya,28°23′22″N 85°43′12″E﻿ / ﻿28.38944°N 85.72000°E,520,Shisha Pangma,1982,5 (0)
87.0,Baintha Brakk/ The Ogre,7285,23901,Panmah Karakoram,35°56′51″N 75°45′12″E﻿ / ﻿35.94750°N 75.75333°E *,1891,Kanjut Sar,1977,3 (13)
88.0,Yutmaru Sar,7283,23894,Hispar Karakoram,36°13′35″N 75°22′02″E﻿ / ﻿36.22639°N 75.36722°E,620,Yukshin Gardan Sar,1980,1 (1)
89.0,Baltistan Peak/K6,7282,23891,Masherbrum Karakoram,35°25′06″N 76°33′06″E﻿ / ﻿35.41833°N 76.55167°E,1962,Chogolisa,1970,1 (3)
90.0,Kangpenqing/ Gang Benchhen,7281,23888,Baiku Himalaya,28°33′03″N 85°32′44″E﻿ / ﻿28.55083°N 85.54556°E,1340,Shisha Pangma,1982,1 (1)
91.0,Muztagh Tower,7276,23871,Baltoro Karakoram,35°49′40″N 76°21′40″E﻿ / ﻿35.82778°N 76.36111°E,1710,Skil Brum,1956,4 (2)
92.0,Mana,7272,23858,Garhwal Himalaya,30°52′50″N 79°36′55″E﻿ / ﻿30.88056°N 79.61528°E,730,Kamet,1937,7 (3)
,Dhaulagiri VI,7268,23845,Dhaulagiri Himalaya,28°42′31″N 83°16′27″E﻿ / ﻿28.70861°N 83.27417°E,485,Dhaulagiri IV,1970,5 (0)
93.0,Diran,7266,23839,Rakaposhi-Haramosh Karakoram,36°07′13″N 74°39′42″E﻿ / ﻿36.12028°N 74.66167°E,1325,Malubiting,1968,12 (8)
94.0,Labuche Kang III/East,7250,23786,Labuche Himalaya,28°18′05″N 86°23′02″E﻿ / ﻿28.30139°N 86.38389°E,570,Labuche Kang,unclimbed,0 (0)
95.0,Putha Hiunchuli,7246,23773,Dhaulagiri Himalaya,28°44′52″N 83°08′46″E﻿ / ﻿28.74778°N 83.14611°E,1151,Churen Himal,1954,11 (5)
96.0,Apsarasas Kangri,7245,23770,Siachen Karakoram,35°32′19″N 77°08′55″E﻿ / ﻿35.53861°N 77.14861°E,635,Teram Kangri I,1976,2 (0)
97.0,Mukut Parbat,7242,23760,Garhwal Himalaya,30°56′57″N 79°34′12″E﻿ / ﻿30.94917°N 79.57000°E,840,Kamet,1951,2 (1)
98.0,Rimo III,7233,23730,Rimo Karakoram,35°22′31″N 77°21′42″E﻿ / ﻿35.37528°N 77.36167°E,615,Rimo I,1985,1 (0)
99.0,Langtang Lirung,7227,23711,Langtang Himalaya,28°15′22″N 85°31′01″E﻿ / ﻿28.25611°N 85.51694°E,1525,Shisha Pangma,1978,14 (13)
100.0,Karjiang,7221,23691,Kula Kangri Himalaya,28°15′27″N 90°38′49″E﻿ / ﻿28.25750°N 90.64694°E,880,Kula Kangri,unclimbed,0 (2)
101.0,Annapurna Dakshin,7219,23684,Annapurna Himalaya,28°31′06″N 83°48′22″E﻿ / ﻿28.51833°N 83.80611°E,775,Annapurna,1964,10 (16)
102.0,Khartaphu,7213,23665,Mahalangur Himalaya,28°03′49″N 86°58′39″E﻿ / ﻿28.06361°N 86.97750°E,712,Mount Everest,1935,1 (0)
103.0,Tongshanjiabu,7207,23645,Lunana Himalaya,28°11′12″N 89°57′27″E﻿ / ﻿28.18667°N 89.95750°E,1757,Gangkar Puensum,unclimbed,0 (0)
104.0,Malangutti Sar,7207,23645,Hispar Karakoram,36°21′47″N 75°08′57″E﻿ / ﻿36.36306°N 75.14917°E,515,Distaghil Sar,1985,1 (0)
105.0,Noijin Kangsang/ Norin Kang,7206,23642,Nagarze Himalaya,28°56′48″N 90°10′42″E﻿ / ﻿28.94667°N 90.17833°E,2160,Tongshanjiabu,1986,4 (1)
106.0,Langtang Ri,7205,23638,Langtang Himalaya,28°22′53″N 85°41′01″E﻿ / ﻿28.38139°N 85.68361°E,650,Porong Ri,1981,4 (0)
107.0,Kangphu Kang,7204,23635,Lunana Himalaya,28°09′20″N 90°03′48″E﻿ / ﻿28.15556°N 90.06333°E,1200,Tongshanjiabu,2002,1 (0)
108.0,Singhi Kangri,7202,23629,Siachen Karakoram,35°35′59″N 76°59′01″E﻿ / ﻿35.59972°N 76.98361°E,790,Teram Kangri III,1976,2 (0)
109.0,Lupghar Sar,7200,23622,Hispar Karakoram,36°21′01″N 75°02′13″E﻿ / ﻿36.35028°N 75.03694°E *,730,Momhil Sar,1979,1 (0)
