rnd ,pick num,nfl team,player,pos ,college,conf ,notes
3,71.0,San Diego Chargers,Ben Leber,LB,Kansas State,Big 12,
3,72.0,Chicago Bears,Roosevelt Williams,CB,Tuskegee,SIAC,from Dallas
3,73.0,Carolina Panthers,Will Witherspoon,LB,Georgia,SEC,from Cincinnati
3,74.0,Indianapolis Colts,Joseph Jefferson,SS,Western Kentucky,Gateway,
3,75.0,Dallas Cowboys,Derek Ross,CB,Ohio State,Big Ten,from Kansas City
3,76.0,Cleveland Browns,Melvin Fowler,C,Maryland,ACC,from Jacksonville
3,77.0,Tennessee Titans,Rocky Calmus,LB,Oklahoma,Big 12,
3,78.0,New York Giants,Jeff Hatch,OT,Penn,Ivy,
3,79.0,Washington Redskins,Rashad Bauman,CB,Oregon,Pac-10,from Cleveland via Jacksonville
3,80.0,Atlanta Falcons,Will Overstreet,LB,Tennessee,SEC,
3,81.0,Arizona Cardinals,Josh McCown,QB,Sam Houston State,Southland,
3,82.0,New Orleans Saints,James Allen,LB,Oregon State,Pac-10,
3¤,83.0,Houston Texans,Charles Hill,NT,Maryland,ACC,
3,84.0,St. Louis Rams,Lamar Gordon,FB,North Dakota State,NCIAC,from Washington via Kansas City
3,,Denver Broncos,forfeited due to a salary cap violation,forfeited due to a salary cap violation,forfeited due to a salary cap violation,forfeited due to a salary cap violation,forfeited due to a salary cap violation
3,85.0,Seattle Seahawks,Kris Richard,CB,USC,Pac-10,
3,86.0,Tampa Bay Buccaneers,Marquise Walker,WR,Michigan,Big Ten,
3,87.0,Washington Redskins,Cliff Russell,WR,Utah,MWC,from Baltimore
3,88.0,New York Jets,Chris Baker,TE,Michigan State,Big Ten,
3,89.0,Jacksonville Jaguars,Akin Ayodele,LB,Purdue,Big Ten,from Oakland via Washington
3,90.0,Miami Dolphins,Seth McKinney,C,Texas A&M,Big 12,
3,91.0,Philadelphia Eagles,Brian Westbrook,RB,Villanova,A-10,
3,,San Francisco 49ers,forfeited due to a salary cap violation,forfeited due to a salary cap violation,forfeited due to a salary cap violation,forfeited due to a salary cap violation,forfeited due to a salary cap violation
3,92.0,Green Bay Packers,Marques Anderson,FS,UCLA,Pac-10,
3,93.0,Chicago Bears,Terrence Metcalf,G,Mississippi,SEC,
3,94.0,Pittsburgh Steelers,Chris Hope,FS,Florida State,ACC,
3,95.0,St. Louis Rams,Eric Crouch,WR,Nebraska,Big 12,2001 Heisman Trophy winner
3,96.0,Denver Broncos,Dorsett Davis,DT,Mississippi State,SEC,from New England viaWashington and Baltimore
3*,97.0,Buffalo Bills,Coy Wire,SS,Stanford,Pac-10,
3*,98.0,Arizona Cardinals,Dennis Johnson,DE,Kentucky,SEC,
4,99.0,Houston Texans,Jonathan Wells,RB,Ohio State,Big Ten,
4,100.0,Carolina Panthers,Dante Wesley,CB,,SWAC,
4,101.0,Cleveland Browns,Kevin Bentley,LB,Northwestern,Big Ten,from Detroit
4,102.0,San Francisco 49ers,Jeff Chandler,K,Florida,SEC,from Buffalo
4,103.0,San Diego Chargers,Justin Peelle,TE,Oregon,Pac-10,
4,104.0,Chicago Bears,Alex Brown,DE,Florida,SEC,from Dallas
4,105.0,Minnesota Vikings,Brian Williams,DB,NC State,ACC,
4,106.0,Indianapolis Colts,David Thornton,LB,North Carolina,ACC,
4,107.0,Kansas City Chiefs,Omar Easy,FB,Penn State,Big Ten,
4,108.0,Jacksonville Jaguars,David Garrard,QB,East Carolina,C-USA,
4,109.0,Cincinnati Bengals,Travis Dorsch,K,Purdue,Big Ten,
4,110.0,Tennessee Titans,Mike Echols,CB,Wisconsin,Big Ten,from N.Y. Giants
4,111.0,Cleveland Browns,Ben Taylor,LB,Virginia Tech,Big East,
4,112.0,Baltimore Ravens,Dave Zastudil,P,Ohio,MAC,from Atlanta via Denver
4,113.0,Arizona Cardinals,Nate Dwyer,DT,Kansas,Big 12,
4,114.0,Miami Dolphins,Randy McMichael,TE,Georgia,SEC,from New Orleans
4,115.0,Tennessee Titans,Tony Beckham,CB,,WIAC,
4¤,116.0,Atlanta Falcons,Martin Bibla,G,Miami (FL),Big East,from Houston
4,117.0,New England Patriots,Rohan Davey,QB,LSU,SEC,from Denver
4,118.0,Jacksonville Jaguars,Chris Luzar,TE,Virginia,ACC,from Washington
4,119.0,Tampa Bay Buccaneers,Travis Stephens,RB,Tennessee,SEC,
4,120.0,Seattle Seahawks,Terreal Bierria,SS,Georgia,SEC,
4,121.0,New York Jets,Alan Harper,NT,Fresno State,WAC,
4,122.0,Cleveland Browns,Darnell Sanders,TE,Ohio State,Big Ten,from Oakland
4,123.0,Baltimore Ravens,Ron Johnson,WR,Minnesota,Big Ten,
4,124.0,Philadelphia Eagles,Scott Peters,C,Arizona State,Pac-10,
4,125.0,New Orleans Saints,Keyuo Craver,CB,Nebraska,Big 12,from Miami
4,126.0,New England Patriots,Jarvis Green,DE,LSU,SEC,from Green Bay
4,127.0,San Francisco 49ers,Kevin Curtis,DB,Texas Tech,Big 12,
4,128.0,Pittsburgh Steelers,Larry Foote,LB,Michigan,Big Ten,
4,129.0,Dallas Cowboys,Jamar Martin,FB,Ohio State,Big Ten,from Chicago
4,130.0,St. Louis Rams,Travis Scott,G,Arizona State,Pac-10,
4,131.0,Denver Broncos,Sam Brandon,SS,UNLV,MWC,from New England
4*,132.0,Minnesota Vikings,Ed Ta'amu,G,Utah,MWC,
4*,133.0,Tennessee Titans,Rocky Boiman,LB,Notre Dame,Ind.,
4*,134.0,Detroit Lions,John Taylor,DE,Montana State,Big Sky,
4*,135.0,Green Bay Packers,Najeh Davenport,RB,Miami (FL),Big East,
5,136.0,Houston Texans,Jarrod Baxter,FB,New Mexico,MWC,
5,137.0,Carolina Panthers,Randy Fasani,QB,Stanford,Pac-10,
5,138.0,Detroit Lions,John Owens,TE,Notre Dame,Ind.,
5,139.0,Buffalo Bills,Justin Bannan,DT,Colorado,Big 12,
5,140.0,Chicago Bears,Bobby Gray,S,Louisiana Tech,WAC,from Dallas
5,141.0,Cleveland Browns,Andra Davis,LB,Florida,SEC,from Minnesota
5,142.0,San Diego Chargers,Terry Charles,WR,Portland State,Big Sky,
5,143.0,Kansas City Chiefs,Scott Fujita,LB,California,Pac-10,
5,144.0,Denver Broncos,Herb Haygood,WR,Michigan State,Big Ten,from Jacksonville via New England
5,145.0,Carolina Panthers,Kyle Johnson,FB,Syracuse,Big East,from Cincinnati
5,146.0,Seattle Seahawks,Rocky Bernard,DT,Texas A&M,Big 12,from Indianapolis
5,147.0,Oakland Raiders,Kenyon Coleman,DE,UCLA,Pac-10,from Cleveland
5,148.0,Atlanta Falcons,Kevin McCadam,S,Virginia Tech,Big East,
5,149.0,Arizona Cardinals,Jason McAddley,WR,Alabama,SEC,
5,150.0,New Orleans Saints,Mel Mitchell,S,Western Kentucky,Gateway,
5,151.0,Tennessee Titans,Jake Schifino,WR,Akron,MAC,
5,152.0,New York Giants,Nick Greisen,LB,Wisconsin,Big Ten,
5¤,153.0,Houston Texans,Ramon Walker,S,Pittsburgh,Big East,
5,154.0,New York Jets,Jonathan Goodwin,G,Michigan,Big Ten,from Washington
5,155.0,Baltimore Ravens,Terry Jones,TE,Alabama,SEC,from Denver
5,156.0,Green Bay Packers,Aaron Kampman,DE,Iowa,Big Ten,from Seattle
5,157.0,Tampa Bay Buccaneers,Jermaine Phillips,S,Georgia,SEC,
5,158.0,Atlanta Falcons,Kurt Kittner,QB,Illinois,Big Ten,from Oakland
5,159.0,Washington Redskins,Andre Lott,S,Tennessee,SEC,from Baltimore
5,160.0,Washington Redskins,Robert Royal,TE,LSU,SEC,N.Y. Jets
5,161.0,Miami Dolphins,Omare Lowe,S,Washington,Pac-10,
5,162.0,Philadelphia Eagles,Freddie Milons,WR,Alabama,SEC,
5,163.0,San Francisco 49ers,Brandon Doman,QB,BYU,MWC,
5,164.0,Green Bay Packers,Craig Nall,QB,Northwestern State,Southland,
5,165.0,Chicago Bears,Bryan Knight,LB,Pittsburgh,Big East,
5,166.0,Pittsburgh Steelers,Verron Haynes,RB,Georgia,SEC,
5,167.0,St. Louis Rams,Courtland Bullard,LB,Ohio State,Big Ten,
5,168.0,Dallas Cowboys,Pete Hunter,CB,Virginia Union,CIAA,from New England
5*,169.0,Seattle Seahawks,Ryan Hannam,TE,Northern Iowa,Gateway,
5*,170.0,Miami Dolphins,Sam Simmons,WR,Northwestern,Big Ten,
5*,171.0,Seattle Seahawks,Matt Hill,OT,Boise State,WAC,
5*,172.0,San Francisco 49ers,Josh Shaw,DT,Michigan State,Big Ten,
6,173.0,Houston Texans,DeMarcus Faggins,CB,Kansas State,Big 12,
6,174.0,Carolina Panthers,Keith Heinrich,TE,Sam Houston State,Southland,
6,175.0,Detroit Lions,Chris Cash,CB,USC,Pac-10,
6,176.0,Buffalo Bills,Kevin Thomas,CB,UNLV,MWC,
6,177.0,Minnesota Vikings,Nick Rogers,LB,Georgia Tech,ACC,
6,178.0,San Diego Chargers,Matt Anderle,OT,Minnesota,Big Ten,
6,179.0,Dallas Cowboys,Tyson Walter,C,Ohio State,Big Ten,
6,180.0,Jacksonville Jaguars,Clenton Ballard,DT,Southwest Texas State,Southland,
6,181.0,Cincinnati Bengals,Marquand Manuel,S,Florida,SEC,
6,182.0,Indianapolis Colts,David Pugh,DT,Virginia Tech,Big East,
6,183.0,Indianapolis Colts,James Lewis,DB,Miami (FL),Big East,from Kansas City via St. Louis
6,184.0,Atlanta Falcons,Kahlil Hill,WR,Iowa,Big Ten,
6,185.0,Arizona Cardinals,Josh Scobey,RB,Kansas State,Big 12,
6,186.0,New Orleans Saints,J. T. O'Sullivan,QB,UC Davis,Div. II Ind.,
6,187.0,Tennessee Titans,Justin Hartwig,C,Kansas,Big 12,
6,188.0,New York Giants,Wesly Mallard,LB,Oregon,Pac-10,
6,189.0,Oakland Raiders,Keyon Nash,DB,Albany State,SIAC,from Cleveland
6¤,190.0,Houston Texans,Howard Green,DT,LSU,SEC,
6,191.0,Denver Broncos,Jeb Putzier,TE,Boise State,WAC,
6,192.0,Washington Redskins,Reggie Coleman,OT,Tennessee,SEC,
6,193.0,Tampa Bay Buccaneers,John Stamper,DE,South Carolina,SEC,
6,194.0,Seattle Seahawks,Craig Jarrett,P,Michigan State,Big Ten,
6,195.0,Baltimore Ravens,Lamont Brightful,CB,Eastern Washington,Big Sky,
6,196.0,New Orleans Saints,John Gilmore,TE,Penn State,Big Ten,from NY Jets
6,197.0,Oakland Raiders,Larry Ned,RB,San Diego State,MWC,
6,198.0,Philadelphia Eagles,Tyreo Harrison,LB,Notre Dame,Ind.,
6,199.0,Chicago Bears,Adrian Peterson,RB,Georgia Southern,SoCon,from Miami
6,200.0,Green Bay Packers,Mike Houghton,OT,San Diego State,MWC,
6,201.0,San Francisco 49ers,Mark Anelli,TE,Wisconsin,Big Ten,
6,202.0,Pittsburgh Steelers,Lee Mays,WR,UTEP,WAC,
6,203.0,Chicago Bears,Jamin Elliott,WR,Delaware,A-10,
6,204.0,Indianapolis Colts,Brian Allen,RB,Stanford,Pac-10,
6,205.0,St. Louis Rams,Steve Bellisari,QB,Ohio State,Big Ten,
6*,206.0,Baltimore Ravens,Javin Hunter,WR,Notre Dame,Ind.,
6*,207.0,Baltimore Ravens,Chester Taylor,RB,Toledo,MAC,
6*,208.0,Dallas Cowboys,DeVeren Johnson,WR,Sacred Heart,NEC,
6*,209.0,Baltimore Ravens,Chad Williams,S,Southern Miss,C-USA,
6*,210.0,Chicago Bears,Bryan Fletcher,TE,UCLA,Pac-10,
6*,211.0,Dallas Cowboys,Bob Slowikowski,TE,Virginia Tech,Big East,
7,212.0,Pittsburgh Steelers,Lavar Glover,DB,Cincinnati,C-USA,from Houston
7,213.0,Carolina Panthers,Pete Campion,G,North Dakota State,NCIAC,
7,214.0,Detroit Lions,Luke Staley,RB,BYU,MWC,
7,215.0,Buffalo Bills,Mike Pucillo,C,Auburn,SEC,
7,216.0,San Diego Chargers,Seth Burford,QB,Cal Poly SLO,Ind.,
7,217.0,Atlanta Falcons,Michael Coleman,WR,Widener,Middle Atlantic,from Dallas
7,218.0,Minnesota Vikings,Chad Beasley,OT,Virginia Tech,Big East,
7,219.0,Cincinnati Bengals,Joey Evans,DE,North Carolina,ACC,
7,220.0,Indianapolis Colts,Josh Mallard,DE,Georgia,SEC,
7,221.0,Kansas City Chiefs,Maurice Rodriguez,LB,Fresno State,WAC,
7,222.0,Jacksonville Jaguars,Kendall Newson,WR,Middle Tenn. State,Sun Belt,
7,223.0,Arizona Cardinals,Mike Banks,TE,Iowa State,Big 12,
7,224.0,New Orleans Saints,Derrius Monroe,DE,Virginia Tech,Big East,
7,225.0,Tennessee Titans,Darrell Hill,WR,Northern Illinois,MAC,
7,226.0,New York Giants,Daryl Jones,WR,Miami (FL),Big East,
7,227.0,Cleveland Browns,Joaquin Gonzalez,OT,Miami (FL),Big East,
7,228.0,Denver Broncos,Chris Young,S,Georgia Tech,ACC,from Atlanta
7¤,229.0,Houston Texans,"Greg \Stylez G.\"" White""",DE,Minnesota,Big Ten,
7,230.0,Washington Redskins,Jeff Grau,C,UCLA,Pac-10,
7,231.0,Denver Broncos,Monsanto Pope,DT,Virginia,ACC,
7,232.0,Seattle Seahawks,Jeff Kelly,QB,Southern Miss,C-USA,
7,233.0,Tampa Bay Buccaneers,Tim Wansley,CB,Georgia,SEC,
7,234.0,Washington Redskins,Greg Scott,DE,Hampton,MEAC,from N.Y. Jets via New England
7,235.0,Oakland Raiders,Ronald Curry,WR,North Carolina,ACC,
7,236.0,Baltimore Ravens,Wes Pate,QB,Stephen F. Austin,Southland,
7,237.0,New England Patriots,Antwoine Womack,RB,Virginia,ACC,from Miami via Dallas
7,238.0,Philadelphia Eagles,Raheem Brock,DE,Temple,Big East,
7,239.0,San Francisco 49ers,Eric Heitmann,C,Stanford,Pac-10,
7,240.0,Tennessee Titans,Carlos Hall,DE,Arkansas,SEC,from Green Bay
7,241.0,Miami Dolphins,Leonard Henry,RB,East Carolina,C-USA,from Chicago
7,242.0,Pittsburgh Steelers,Brett Keisel,DE,BYU,MWC,
7,243.0,St. Louis Rams,Chris Massey,FB,Marshall,MAC,
7,244.0,Atlanta Falcons,Kevin Shaffer,OT,Tulsa,WAC,
7*,245.0,New York Giants,Quincy Monk,LB,North Carolina,ACC,
7*,246.0,Jacksonville Jaguars,Steve Smith,DB,Oregon,Pac-10,
7*,247.0,Jacksonville Jaguars,Hayden Epstein,K,Michigan,Big Ten,
7*,248.0,San Francisco 49ers,Kyle Kosier,OT,Arizona State,Pac-10,
7*,249.0,Buffalo Bills,Rodney Wright,WR,Fresno State,WAC,
7*,250.0,Tampa Bay Buccaneers,Tracey Wistrom,TE,Nebraska,Big 12,
7*,251.0,Buffalo Bills,Jarrett Ferguson,RB,Virginia Tech,Big East,
7*,252.0,Detroit Lions,Matt Murphy,TE,Maryland,ACC,
7*,253.0,New England Patriots,David Givens,WR,Notre Dame,Ind.,
7*,254.0,Tampa Bay Buccaneers,Aaron Lockett,WR,Kansas State,Big 12,
7*,255.0,Tampa Bay Buccaneers,Zack Quaccia,C,Stanford,Pac-10,
7*,256.0,San Francisco 49ers,Teddy Gaines,DB,Tennessee,SEC,
7*,257.0,Washington Redskins,Rock Cartwright,RB,Kansas State,Big 12,
7^,258.0,Carolina Panthers,Brad Franklin,CB,,Sun Belt,
7^,259.0,Detroit Lions,Victor Rogers,OT,Colorado,Big 12,
7^,260.0,Buffalo Bills,Dominique Stevenson,LB,Tennessee,SEC,
7¤,261.0,Houston Texans,Ahmad Miller,DT,UNLV,MWC,
