Season/Torneo,Jornada or Other,Home Team,Result,Away Team,Stadium,Date
Invierno 1997,Quarterfinals Ida,Chivas,1-3,America,Estadio Jalisco,"November 18, 1997"
Invierno 1997,Quarterfinals Vuelta,America,1-0,Chivas,Estadio Azteca,"November 21, 1997"
Verano 1998,4,America,0-0,Chivas,Estadio Azteca,"January 15, 1998"
Invierno 1998,8,Chivas,1-0,America,Estadio Jalisco,"September 20, 1998"
Verano 1999,8,America,0-1,Chivas,Estadio Azteca,"March 7, 1999"
Invierno 1999,5,America,2-0,Chivas,Estadio Azteca,"September 12, 1999"
Invierno 1999,Quarterfinals Ida,Chivas,0-0,America,Estadio Jalisco,"December 2, 1999"
Invierno 1999,Quarterfinals Vuelta,America,1-0,Chivas,Estadio Azteca,"December 5, 1999"
Verano 2000,5,Chivas,3-0,America,Estadio Jalisco,"February 13, 2000"
Invierno 2000,7,America,0-3,Chivas,Estadio Azteca,"September 10, 2000"
Verano 2001,7,Chivas,1-2,America,Estadio Jalisco,"February 14, 2001"
Invierno 2001,14,Chivas,1-1,America,Estadio Jalisco,"October 21, 2001"
Verano 2002,14,America,2-3,Chivas,Estadio Azteca,"March 31, 2002"
Apertura 2002,2,Chivas,0-1,America,Estadio Jalisco,"August 11, 2002"
Clausura 2003,2,America,1-1,Chivas,Estadio Azteca,"January 19, 2002"
Apertura 2003,17,America,1-2,Chivas,Estadio Azteca,"November 9, 2003"
Clausura 2004,17,Chivas,0-1,America,Estadio Jalisco,"May 1, 2004"
Apertura 2004,9,Chivas,1-1,America,Estadio Jalisco,"October 2, 2004"
Clausura 2005,9,America,3-3,Chivas,Estadio Azteca,"March 13, 2005"
Apertura 2005,7,America,0-0,Chivas,Estadio Azteca,"September 11, 2005"
Clausura 2006,7,Chivas,1-0,America,Estadio Jalisco,"February 26, 2006"
Apertura 2006,11,Chivas,2-0,America,Estadio Jalisco,"September 30, 2006"
Apertura 2006,Semifinals Ida,Chivas,2-0,America,Estadio Jalisco,"November 30, 2006"
Apertura 2006,Semifinals Vuelta,America,0-0,Chivas,Estadio Azteca,"December 3, 2006"
Clausura 2007,11,America,1-0,Chivas,Estadio Azteca,"March 18, 2007"
Clausura 2007,Semifinals Ida,America,1-0,Chivas,Estadio Azteca,"May 17, 2007"
Clausura 2007,Semifinals Vuelta,Chivas,0-1,America,Estadio Jalisco,"May 20, 2007"
Apertura 2007,14,America,2-1,Chivas,Estadio Azteca,"October 28, 2007"
Clausura 2008,14 (Clasico 200),Chivas,3-2,America,Estadio Jalisco,"April 13, 2008"
Apertura 2008,14,America,1-2,Chivas,Estadio Azteca,"October 26, 2008"
Clausura 2009,14,Chivas,1-0,America,Estadio Jalisco,"April 19, 2009"
Apertura 2009,13,America,1-0,Chivas,Estadio Azteca,"October 25, 2009"
Bicentenario 2010,13,Chivas,1-0,America,Estadio Jalisco,"April 4, 2010"
Apertura 2010,13,America,0-0,Chivas,Estadio Azteca,"October 24, 2010"
Clausura 2011,13,Chivas,3-0,America,Estadio Omnilife,"April 10, 2011"
Apertura 2011,14,America,1-3,Chivas,Estadio Azteca,"October 23, 2011"
Clausura 2012,14,Chivas,0-1,America,Estadio Omnilife,"April 8, 2012"
Apertura 2012,12,America,1-3,Chivas,Estadio Azteca,"October 6, 2012"
Clausura 2013,12,Chivas,0-2,America,Estadio Omnilife,"March 31, 2013"
Apertura 2013,13,America,2-0,Chivas,Estadio Azteca,"October 5, 2013"
Clausura 2014,13,Chivas,0-4,America,Estadio Omnilife,"March 30, 2014"
