city,county,population (2011),population (2002),altitude (m),year status granted* or first attested
Pașcani,Iași,33745,42172,,
Dej,Cluj,33497,38478,,
Reghin,Mureș,33281,36023,,
Năvodari,Constanța,32981,32400,,1968*
Câmpina,Prahova,32935,38758,,1864*
Mioveni,Argeș,31998,35849,,1989*
Câmpulung,Argeș,31767,38285,,
Caracal,Olt,30954,34603,,1538
Săcele,Brașov,30798,29967,,1971*
Făgăraș,Brașov,30714,36121,,1291
Fetești,Ialomița,30217,33197,,1965*
Sighișoara,Mureș,28102,32287,,1367*
Borșa,Maramureș,27611,27247,,1968*
Roșiorii de Vede,Teleorman,27416,31873,,
Curtea de Argeș,Argeș,27359,32626,,1330
Sebeș,Alba,27019,29475,,
Huși,Vaslui,26266,33320,,
Fălticeni,Suceava,25723,33867,,
Pantelimon,Ilfov,25596,16019,,2005*
Oltenița,Călărași,24822,31434,,
Turnu Măgurele,Teleorman,24772,30187,,
Caransebeș,Caraș-Severin,24689,31199,,
Dorohoi,Botoșani,24309,31073,,
Vulcan,Hunedoara,24160,33186,,1953*
Rădăuți,Suceava,23822,32151,,
Zărnești,Brașov,23476,26520,,1951*
Lupeni,Hunedoara,23390,31409,,1941*/1960*
Aiud,Alba,22876,28909,,
Petrila,Hunedoara,22692,28742,,1956*
Câmpia Turzii,Cluj,22223,29852,,
Buftea,Ilfov,22178,19617,,1968*
Târnăveni,Mureș,22075,29828,,1912*
Popești-Leordeni,Ilfov,21895,15115,,2004*
Moinești,Bacău,21787,25532,,
Codlea,Brașov,21708,24814,,1950*
Cugir,Alba,21376,30244,,1960*
Carei,Satu Mare,21112,25590,,1871*
Gherla,Cluj,20982,24232,,
Blaj,Alba,20630,21819,,1271
Comănești,Bacău,19568,26237,,1952*
Motru,Gorj,19079,25860,,1966*
Târgu Neamț,Neamț,18695,22634,,
Moreni,Dâmbovița,18687,22868,,1948*
Târgu Secuiesc,Covasna,18491,22251,,
Gheorgheni,Harghita,18377,21245,,
Orăștie,Hunedoara,18227,24354,,
Balș,Olt,18164,23147,,1921*
Băicoi,Prahova,17981,20234,,1948*
Drăgășani,Vâlcea,17871,22499,,
Salonta,Bihor,17735,20006,,
Băilești,Dolj,17437,22231,,1921*
Calafat,Dolj,17336,21227,,
Cernavodă,Constanța,17022,20514,,
Filiași,Dolj,16900,20159,,1968*
Câmpulung Moldovenesc,Suceava,16722,21862,,1866*
Corabia,Olt,16441,21932,,1871*
Adjud,Vrancea,16045,20776,,
Breaza,Prahova,15928,18863,,1952*
Bocșa,Caraș-Severin,15842,19023,,1960*
Marghita,Bihor,15770,18650,,1967*
Baia Sprie,Maramureș,15476,15735,,
Bragadiru,Ilfov,15329,8165,,2005*
Luduș,Mureș,15328,18647,,1960*
Urziceni,Ialomița,15308,19088,,
Vișeu de Sus,Maramureș,15037,18444,,1956*
Râșnov,Brașov,15022,16242,,
Buhuși,Bacău,14562,21993,,1930*
Ștefănești,Argeș,14541,12983,,2004*
Brad,Hunedoara,14495,18075,,1941*
Șimleu Silvaniei,Sălaj,14436,17053,,
Vatra Dornei,Suceava,14429,17864,,1907*
Mizil,Prahova,14312,17075,,1830*
Cisnădie,Sibiu,14282,17204,,1948*
Pucioasa,Dâmbovița,14254,16489,,1929*
Chitila,Ilfov,14184,12643,,2005*
Zimnicea,Teleorman,14058,16787,,
Toplița,Harghita,13929,16839,,1956*
Otopeni,Ilfov,13861,10515,,2000*
Ovidiu,Constanța,13847,13458,,1989*
Gura Humorului,Suceava,13667,16740,,1904*
Găești,Dâmbovița,13317,16598,,
Vicovu de Sus,Suceava,13308,14125,,2004*
Țăndărei,Ialomița,13219,14591,,1968*
Ocna Mureș,Alba,13036,15697,,1956*
Bolintin-Vale,Giurgiu,12929,11464,,1989*
Avrig,Sibiu,12815,16215,,1989*
Pecica,Arad,12762,13024,,2004*
Simeria,Hunedoara,12556,14571,,1956*
Moldova Nouă,Caraș-Severin,12350,15112,,1968*
Sânnicolau Mare,Timiș,12312,13007,,1942*
Vălenii de Munte,Prahova,12257,13898,,
Dărmănești,Bacău,12247,14232,,1989*
Dăbuleni,Dolj,12182,13888,,2004*
Comarnic,Prahova,11970,13532,,1968*
Negrești-Oaș,Satu Mare,11867,16356,,1965*
Rovinari,Gorj,11816,12603,,1981*
Scornicești,Olt,11766,13751,,1989*
Târgu Lăpuș,Maramureș,11744,14139,,1968*
Săcueni,Bihor,11526,11665,,2004*
Videle,Teleorman,11508,12498,,
Sântana,Arad,11428,12936,,2003*
Oravița,Caraș-Severin,11382,15222,,
Târgu Ocna,Bacău,11300,14184,,1774*
Călan,Hunedoara,11279,14714,,1961*
Boldești-Scăeni,Prahova,11137,11505,,
Măgurele,Ilfov,11041,9200,,2005*
Hârlău,Iași,10905,12260,,1968*
Drăgănești-Olt,Olt,10894,13181,,
Jimbolia,Timiș,10808,10497,,1950*
Mărășești,Vrancea,10671,13070,,
Beiuș,Bihor,10667,12089,,1451*
Beclean,Bistrița-Năsăud,10628,12033,,1968*
Urlați,Prahova,10541,11858,,
Oțelu Roșu,Caraș-Severin,10510,13128,,1960*
Strehaia,Mehedinți,10506,12564,,1921*
Târgu Frumos,Iași,10475,13763,,
Orșova,Mehedinți,10441,15379,,
Sinaia,Prahova,10410,14636,,1880*
Jibou,Sălaj,10407,12283,,1968*
Sovata,Mureș,10385,12219,,1952*
Costești,Argeș,10375,12091,,1968*
Ianca,Brăila,10343,12886,,1989*
Lipova,Arad,10313,11491,,1440*
Dolhasca,Suceava,10298,11009,,2004*
Topoloveni,Argeș,10219,10329,,1968*
Murfatlar,Constanța,10216,10857,,1989*
Nehoiu,Buzău,10211,12650,,1989*
Flămânzi,Botoșani,10136,11799,,2004*
Covasna,Covasna,10114,12306,,1952*
Aleșd,Bihor,10066,10852,,1968*
Valea lui Mihai,Bihor,9902,10665,,1844*/1930*/1989*
Darabani,Botoșani,9893,12002,,1926*/1968*
Hațeg,Hunedoara,9685,12507,,
Sângeorz-Băi,Bistrița-Năsăud,9679,10702,,
Titu,Dâmbovița,9658,10711,,1968*
Cristuru Secuiesc,Harghita,9650,11291,,1956*
Hârșova,Constanța,9642,11198,,
Liteni,Suceava,9596,9851,,2004*
Năsăud,Bistrița-Năsăud,9587,11365,,
Podu Iloaiei,Iași,9573,9739,,2005*
Eforie,Constanța,9473,9294,,
Odobești,Vrancea,9364,8000,,
Huedin,Cluj,9346,9955,,1961*
Ineu,Arad,9260,10416,,1967*
Salcea,Suceava,9015,8719,,2004*
Seini,Maramureș,8987,9439,,1989*
Uricani,Hunedoara,8972,12177,,1965*
Babadag,Tulcea,8940,10878,,
Bumbești-Jiu,Gorj,8932,11882,,1989*
Bușteni,Prahova,8894,11787,,1946*
Agnita,Sibiu,8732,12115,,1950*
Iernut,Mureș,8705,9833,,1989*
Baraolt,Covasna,8672,10464,,
Tășnad,Satu Mare,8631,10188,,1968*
Roznov,Neamț,8593,9171,,2003*
Băbeni,Vâlcea,8451,9475,,2002*
Negrești,Vaslui,8380,10481,,1968*
Recaș,Timiș,8336,8560,,2004*
Măcin,Tulcea,8245,11803,,
Târgu Cărbunești,Gorj,8034,9338,,1968*
Chișineu-Criș,Arad,7987,8724,,1968*
Siret,Suceava,7976,10003,,
Mihăilești,Giurgiu,7923,7161,,
Budești,Călărași,7725,9596,,1989*
Plopeni,Prahova,7718,10083,,1968*
Panciu,Vrancea,7664,9834,,1956*
Călimănești,Vâlcea,7622,8923,,1927*
Fieni,Dâmbovița,7587,8092,,1968*
Șomcuta Mare,Maramureș,7565,7708,,2004*
Întorsura Buzăului,Covasna,7528,9081,,1968*
Zlatna,Alba,7490,9254,,
Anina,Caraș-Severin,7485,10594,,1952*
Curtici,Arad,7453,9762,,1968*
Nădlac,Arad,7398,8422,,1968*
Dumbrăveni,Sibiu,7388,8812,,
Victoria,Brașov,7386,9059,,1954*
Amara,Ialomița,7345,7627,,2004*
Pătârlagele,Buzău,7304,8290,,2004*
Techirghiol,Constanța,7292,7388,,
Pogoanele,Buzău,7275,7614,,1989*
Ulmeni,Maramureș,7270,7153,,2004*
Câmpeni,Alba,7221,8587,,1961*
Cehu Silvaniei,Sălaj,7214,8468,,1968*
Tăuții-Măgherăuș,Maramureș,7136,6713,,2004*
Murgeni,Vaslui,7119,7674,,2003*
Tismana,Gorj,7035,7894,,2004*
Buziaș,Timiș,7023,8128,,1956*
Segarcea,Dolj,7019,8704,,1968*
Săveni,Botoșani,6999,8685,,1920*/1968*
Pâncota,Arad,6946,7418,,1968*
Ungheni,Mureș,6945,6554,,2004*
Sărmașu,Mureș,6942,7493,,2003*
Răcari,Dâmbovița,6930,6892,,2004*
Tălmaciu,Sibiu,6905,9147,,1989*
Cajvana,Suceava,6901,7263,,2004*
Vlăhița,Harghita,6898,7392,,
Fundulea,Călărași,6851,6217,,1989*
Livada,Satu Mare,6773,7004,,2006*
Făget,Timiș,6761,7519,,1994*
Teiuș,Alba,6695,7338,,1994*
Bicaz,Neamț,6543,8911,,1960*
Ștei,Bihor,6529,9466,,1956*
Însurăței,Brăila,6528,7501,,1989*
Lehliu Gară,Călărași,6502,6667,,1989*
Târgu Bujor,Galați,6299,8044,,1968*
Piatra-Olt,Olt,6299,6583,,1989*
Horezu,Vâlcea,6263,7446,,1968*
Deta,Timiș,6260,6423,,1810*/1968*
Ardud,Satu Mare,6231,6486,,2004*
Bălan,Harghita,6115,9295,,1968*
Slănic,Prahova,6034,7249,,1892*
Brezoi,Vâlcea,6022,7589,,1968*
Sebiș,Arad,5979,6829,,
Frasin,Suceava,5876,6532,,2004*
Gătaia,Timiș,5861,8103,,2004*
Potcoava,Olt,5743,6111,,2004*
Miercurea Nirajului,Mureș,5554,5824,,2003*
Broșteni,Suceava,5506,6603,,2004*
Novaci,Gorj,5431,6151,,1968*
Săliște,Sibiu,5421,6092,,2003*
Copșa Mică,Sibiu,5404,5157,,1961*
Băneasa,Constanța,5384,5538,,2004*
Baia de Aramă,Mehedinți,5349,5724,,1968*
Ciacova,Timiș,5348,7285,,2004*
Ștefănești,Botoșani,5314,5628,,2004*
Vânju Mare,Mehedinți,5311,7074,,1968*
Geoagiu,Hunedoara,5294,6290,,2000*
Rupea,Brașov,5269,6246,,1951*
Sângeorgiu de Pădure,Mureș,5166,5492,,2003*
Negru Vodă,Constanța,5088,5529,,
Abrud,Alba,5072,6803,,
Isaccea,Tulcea,5026,5374,,
Băile Herculane,Caraș-Severin,5008,6051,,
Milișăuți,Suceava,5005,8433,,2004*
Cavnic,Maramureș,4976,5494,,1968*
Fierbinți-Târg,Ialomița,4969,5253,,2004*
Săliștea de Sus,Maramureș,4893,5196,,1365/2004*
Bălcești,Vâlcea,4864,5780,,2002*
Berbești,Vâlcea,4836,5704,,2003*
Predeal,Brașov,4755,5615,1030.0,1935*
Ghimbav,Brașov,4698,5112,,2002*
Azuga,Prahova,4440,6119,,1948*
Țicleni,Gorj,4414,5205,,1968*
Aninoasa,Hunedoara,4360,6108,,1989*
Bucecea,Botoșani,4274,5128,,2004*
Slănic Moldova,Bacău,4198,5375,,
Băile Olănești,Vâlcea,4186,4814,,
Miercurea Sibiului,Sibiu,3910,4063,,2004*
Sulina,Tulcea,3663,5140,,
Bechet,Dolj,3657,3864,,2004*
Făurei,Brăila,3592,4626,,1968*
Ocna Sibiului,Sibiu,3562,4184,,
Baia de Arieș,Alba,3461,4877,,1998*
Ocnele Mari,Vâlcea,3309,3591,,1960*
Căzănești,Ialomița,3271,3641,,2004*
Dragomirești,Maramureș,3213,3132,,2004*
Berești,Galați,2916,3926,,1968*
Borsec,Harghita,2585,3109,,1956*
Băile Govora,Vâlcea,2449,3147,,1927*
Vașcău,Bihor,2315,3032,,1956*
Solca,Suceava,2188,4687,,1926*
Nucet,Bihor,2165,2851,,1956*
Băile Tușnad,Harghita,1641,1802,,1968*
