Unnamed: 0,Average population (x 1000),Live births,Deaths,Natural change,Crude birth rate (per 1000),Crude death rate (per 1000),Natural change (per 1000),Fertility rates
1973,34 921,672 963,301 803,371 160,19.3,8.7,10.7,284
1974,35 288,688 711,300 403,388 308,19.6,8.5,11.0,289
1975,35 688,669 378,298 192,371 186,18.8,8.4,10.5,280
1976,36 118,677 456,299 007,378 449,18.9,8.3,10.5,279
1977,36 564,656 357,294 324,362 033,18.1,8.1,10.0,265
1978,36 741,636 892,296 781,340 111,17.3,8.1,9.2,253
1979,37 289,601 992,291 213,310 779,16.2,7.8,8.4,235
1980,37 527,571 018,289 344,281 674,15.2,7.7,7.5,219
1981,37 741,533 008,293 386,239 622,14.1,7.8,6.3,204
1982,37 942,515 706,286 655,229 051,13.6,7.6,6.0,194
1983,38 122,485 352,302 569,182 783,12.7,7.9,4.8,180
1984,38 279,473 281,299 409,173 872,12.4,7.8,4.5,173
1985,38 419,456 298,312 532,143 766,11.9,8.1,3.7,164
1986,38 536,438 750,310 413,128 337,11.4,8.1,3.3,156
1987,38 631,426 782,310 073,116 709,11.0,8.0,3.0,150
1988,38 716,418 919,319 437,99 482,10.8,8.3,2.6,145
1989,38 792,408 434,324 796,83 638,10.5,8.4,2.2,140
1990,38 851,401 425,333 142,68 283,10.3,8.6,1.8,136
1991,38 940,395 989,337 691,58 298,10.2,8.7,1.5,133
1992,39 068,396 747,331 515,65 232,10.2,8.5,1.7,132
1993,39 190,385 786,339 661,46 125,9.8,8.7,1.2,126
1994,39 295,370 148,338 242,31 906,9.4,8.6,0.8,121
1995,39 387,363 469,346 227,17 242,9.2,8.8,0.4,118
1996,39 478,362 626,351 449,11 177,9.2,8.9,0.3,117
1997,39 582,369 035,349 521,19 514,9.3,8.8,0.5,119
1998,39 721,365 193,360 511,4 682,9.2,9.1,0.1,115
1999,39 927,380 130,371 102,9 028,9.5,9.3,0.2,120
2000,40 264,397 632,360 391,37 241,9.9,9.0,0.9,123
2001,40 476,406 380,360 131,46 249,10.0,8.8,1.1,124
2002,41 035,418 846,368 618,50 228,10.1,8.9,1.2,126
2003,41 827,441 881,384 828,57 053,10.5,9.2,1.4,131
2004,42 547,454 591,371 934,82 657,10.6,8.7,1.9,133
2005,43 296,466 371,387 355,79 016,10.7,8.9,1.8,135
2006,44 009,482 957,371 478,111 479,10.9,8.4,2.5,136
2007,44 784,492 527,385 361,107 166,10.9,8.5,2.4,140
2008,45 668,518 503,384 198,134 305,11.4,8.4,3.0,146
2009,46 239,493 717,383 209,110 508,10.7,8.2,2.5,139
2010,46 486,485 252,380 234,105 218,10.5,8.2,2.3,1.38
2011,46 667,470 553,386 017,84 536,10.2,8.4,1.8,1.34
2012,46 818,454 648,402 950,51 698,9.7,8.6,1.1,1.32
2013,,,,,,,,1.29
