date,name,moving from,moving to,fee
14 July 2009,Daniel Candeias,Porto,Recreativo Huelva,Loan
14 July 2009,Ibson,Porto,Spartak Moscow,Undisclosed Fee
14 July 2009,Tininho,Belenenses,Steaua București,Free
14 July 2009,Saulo,Belenenses,Celta Vigo,Free
14 July 2013,Pedro Celestino,Sporting CP,Belenenses,Free
15 July 2009,Radamel Falcao,River Plate,Porto,"  3,930,000"
15 July 2009,Diego Valeri,Lanús,Porto,Undisclosed Fee
17 July 2009,Helder Barbosa,Porto,Vitoria de Setúbal,Loan
17 July 2009,Carlos Carneiro,Paços de Ferreira,Vizela,Free
18 July 2009,Wanderley,Cruzeiro,Maritimo,"  750,000"
18 July 2009,Aldo,Cruzeiro,Maritimo,Loan
18 July 2009,Ruca,Porto,Maritimo,Free
18 July 2009,Bruno Grassi,Maritimo,Tourizense,Loan
18 July 2009,Ruben Lima,Benfica,Vitoria de Setúbal,Loan
18 July 2009,Leandro Lima,Porto,Cruzeiro,Loan
18 July 2009,Aly Cissokho,Porto,Lyon,"  15,000,000"
19 July 2009,Gonçalo,Nacional,Santa Clara,Loan
19 July 2009,Roberto Tucker,Quilmes,Leixões,Free
24 July 2009,Alberto,Rio Branco,União de Leiria,Free
24 July 2009,Hammes,Rio Branco,União de Leiria,Free
20 July 2009,Maykon,Belenenses,Paços de Ferreira,Free
20 July 2009,Pele,Porto,Real Valladolid,Loan
20 July 2009,Barroca,Tourizense,Academica de Coimbra,Free
21 July 2009,Javi Garcia,Real Madrid,Benfica,"  7,000,000"
21 July 2009,Sebastián Prediger,Colon,Porto,"  2,000,000"
21 July 2009,Weldon,Sport,Benfica,"  276,000"
22 July 2009,Przemysław Kaźmierczak,Porto,Vitoria de Setúbal,Free
23 July 2009,Miguel Rosa,Benfica,Carregado,Loan
23 July 2009,Ivan Santos,Benfica,Carregado,Loan
23 July 2009,Abdou Guirassy,Ribeirão,Nacional,Free
23 July 2009,Felipe Caicedo,Manchester City,Sporting CP,Loan
24 July 2009,Vitor Castanheira,Braga,Chaves,Free
24 July 2009,Barge,Estoril,Belenenses,Free
24 July 2009,Maciel,União de Leiria,Trofense,Loan
27 July 2009,Milan Stepanov,Porto,Málaga,Loan
29 July 2009,Miguel Fidalgo,Nacional,Academica de Coimbra,Loan
31 July 2009,Júlio Cesar,Belenenses,Benfica,"  500,000"
8 August 2009,Igor Pita,Nacional,Beira-Mar,Loan
12 August 2009,Hugo Santos,Naval,Operário,Free
17 August 2009,Kheireddine Zarabi,Belenenses,Vitoria de Setúbal,Free
17 August 2009,Nelson Benitez,Porto,Leixões,Loan
21 August 2009,Beto,Recreativo Huelva,Belenenses,Free
24 August 2009,Adriano,Porto,Braga,Free
26 August 2009,Amaury Bischoff,Arsenal,Academica de Coimbra,Free
26 August 2009,Mehdi Kerrouche,Gazelec Ajaccio,Naval,Free
28 August 2009,Felipe Menezes,Goiás,Benfica,Undisclosed Fee
29 August 2009,Nuno Coelho,Porto,Academica de Coimbra,Free
29 August 2009,Bruno Vale,Porto,Belenenses,Loan
29 August 2009,Miguel Ángel Angulo,Valencia,Sporting CP,Free
29 August 2009,Tiago Luis,Santos,União de Leiria,Loan
29 August 2009,Wênio,Vitoria de Guimarães,Leixões,Free
29 August 2009,Jorginho,Braga,Gaziantepspor,Free
30 August 2009,Roland Linz,Braga,Gaziantepspor,Undisclosed Fee
30 August 2009,Seydou Kone,Botoșani,União de Leiria,Free
30 August 2009,El Hadji Diouf,AEK Athens,Vitoria de Setúbal,Loan
31 August 2009,Milan Purović,Sporting CP,Videoton,Loan
31 August 2009,Nuno Frechaut,Braga,Metz,Free
31 August 2009,Ivo Pinto,Porto,Vitoria de Setúbal,Loan
31 August 2009,Patric,Benfica,Cruzeiro,Loan
31 August 2009,Tiago Pinto,Sporting CP,Braga,Free
